配方ID,順序,種類,名稱,名稱狀態,數量,等級條件,等級,條件備註,原文
fusion-a0200,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0200,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0201,1,寵物,魔術地雷,已對應寵物表,,指定,1,,Lv1魔術地雷
fusion-a0201,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0201,3,道具,魔術核心,來源原文,10,,,,魔術核心×10
fusion-a0201,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0201,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0202,1,寵物,闇影地雷,已對應寵物表,,指定,1,,Lv1闇影地雷
fusion-a0202,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0202,3,道具,闇影核心,來源原文,10,,,,闇影核心×10
fusion-a0202,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0202,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0203,1,寵物,閃光地雷,已對應寵物表,,指定,1,,Lv1閃光地雷
fusion-a0203,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0203,3,道具,閃光核心,來源原文,10,,,,閃光核心×10
fusion-a0203,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0203,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0204,1,寵物,強襲地雷,已對應寵物表,,指定,1,,Lv1強襲地雷
fusion-a0204,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0204,3,道具,強襲核心,來源原文,10,,,,強襲核心×10
fusion-a0204,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0204,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0205,1,寵物,劍次,已對應寵物表,,指定,1,,Lv1劍次
fusion-a0205,2,道具,刀客劍次設計圖ABCDE,已對應道具庫,1,,,,刀客劍次設計圖ABCDE×1
fusion-a0206,1,寵物,狂魔劍次,已對應寵物表,,任意,,,任意等級的狂魔劍次
fusion-a0206,2,道具,轉生刀魄,已對應道具庫,1,,,,轉生刀魄×1
fusion-a0207,1,寵物,刀客劍次,已對應寵物表,,指定,1,,Lv1刀客劍次
fusion-a0207,2,道具,狂魔刀譜,已對應道具庫,1,,,,狂魔刀譜×1
fusion-a0208,1,寵物,牛丸,已對應寵物表,,任意,,,任意等級的牛丸
fusion-a0208,2,道具,變異之源,已對應道具庫,10,,,,變異之源×10
fusion-a0208,3,道具,精靈王契約,已對應道具庫,10,,,,精靈王契約×10
fusion-a0209,1,寵物,血腥魔刃,已對應寵物表,,任意,,,任意等級的血腥魔刃
fusion-a0209,2,道具,閃耀變異之源,已對應道具庫,3,,,,閃耀變異之源×3
fusion-a0209,3,道具,流刃鍛刀石,來源原文,10,,,,流刃鍛刀石×10
fusion-a0209,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0209,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0210,1,寵物,石像魔王,已對應寵物表,,任意,,,任意等級的石像魔王
fusion-a0210,2,道具,閃耀變異之源,已對應道具庫,3,,,,閃耀變異之源×3
fusion-a0210,3,道具,石像魔王塊,來源原文,10,,,,石像魔王塊×10
fusion-a0210,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0210,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0211,1,寵物,殺龍之刃,已對應寵物表,,指定,1,,Lv1的殺龍之刃
fusion-a0211,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0211,3,道具,逆刃鍛刀石,來源原文,10,,,,逆刃鍛刀石×10
fusion-a0211,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0211,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0212,1,寵物,鐮刀魔,已對應寵物表,,任意,,,任意等級的鐮刀魔
fusion-a0212,2,道具,鐮刀魔設計圖ABCDE,已對應道具庫,1,,,,鐮刀魔設計圖ABCDE×1
fusion-a0213,1,寵物,暗黑僧侶,已對應寵物表,,任意,,,任意等級的暗黑僧侶
fusion-a0213,2,道具,暗黑僧侶設計圖ABCDE,已對應道具庫,1,,,,暗黑僧侶設計圖ABCDE×1
fusion-a0214,1,寵物,斬首者,已對應寵物表,,任意,,,任意等級的斬首者
fusion-a0214,2,道具,斬首者設計圖ABCDE,已對應道具庫,1,,,,斬首者設計圖ABCDE×1
fusion-a0215,1,寵物,冥界死神,已對應寵物表,,任意,,,任意等級的冥界死神
fusion-a0215,2,道具,冥界死神設計圖ABCDE,已對應道具庫,1,,,,冥界死神設計圖ABCDE×1
fusion-a0216,1,寵物,武士和馬,已對應寵物表,,指定,1,,Lv1武士和馬
fusion-a0216,2,道具,侍魂之證,已對應道具庫,1,,,,侍魂之證×1
fusion-a0217,1,寵物,和馬,已對應寵物表,,指定,1,,Lv1和馬
fusion-a0217,2,道具,武士和馬設計圖ABCDE,已對應道具庫,1,,,,武士和馬設計圖ABCDE×1
fusion-a0218,1,寵物,侍魂和馬,已對應寵物表,,任意,,,任意等級的侍魂和馬
fusion-a0218,2,道具,轉生武魂,已對應道具庫,1,,,,轉生武魂×1
fusion-a0219,1,寵物,風月之靈,已對應寵物表,,任意,,,任意等級的風月之靈
fusion-a0219,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0219,3,道具,月靈花,來源原文,10,,,,月靈花×10
fusion-a0219,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0219,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0220,1,寵物,皎月之靈,已對應寵物表,,任意,,,任意等級的皎月之靈
fusion-a0220,2,道具,閃耀變異之源,已對應道具庫,3,,,,閃耀變異之源×3
fusion-a0220,3,道具,皎月花,來源原文,10,,,,皎月花×10
fusion-a0220,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0220,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0221,1,寵物,猩紅之靈,已對應寵物表,,任意,,,任意等級的猩紅之靈
fusion-a0221,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0221,3,道具,月靈花,來源原文,10,,,,月靈花×10
fusion-a0221,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0221,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0222,1,寵物,水月之靈,已對應寵物表,,任意,,,任意等級的水月之靈
fusion-a0222,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0222,3,道具,月靈花,來源原文,10,,,,月靈花×10
fusion-a0222,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0222,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0223,1,寵物,月宮之靈,已對應寵物表,,任意,,,任意等級的月宮之靈
fusion-a0223,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0223,3,道具,月靈花,來源原文,10,,,,月靈花×10
fusion-a0223,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0223,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0224,1,寵物,暗月之靈,已對應寵物表,,任意,,,任意等級的暗月之靈
fusion-a0224,2,道具,閃耀變異之源,已對應道具庫,3,,,,閃耀變異之源×3
fusion-a0224,3,道具,暗月花,來源原文,10,,,,暗月花×10
fusion-a0224,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0224,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0225,1,寵物,炎精靈,已對應寵物表,,指定,1,,Lv1炎精靈
fusion-a0225,2,道具,火元素之卵,來源原文,3,,,,火元素之卵×3
fusion-a0225,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0225,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0226,1,寵物,木精靈,已對應寵物表,,指定,1,,Lv1木精靈
fusion-a0226,2,道具,地元素之卵,來源原文,3,,,,地元素之卵×3
fusion-a0226,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0226,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0227,1,寵物,光精靈,已對應寵物表,,指定,1,,Lv1光精靈
fusion-a0227,2,道具,風元素之卵,來源原文,3,,,,風元素之卵×3
fusion-a0227,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0227,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0228,1,寵物,冰精靈,已對應寵物表,,指定,1,,Lv1冰精靈
fusion-a0228,2,道具,水元素之卵,來源原文,3,,,,水元素之卵×3
fusion-a0228,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0228,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0228,5,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0229,1,寵物,天啟者猶大,已對應寵物表,,任意,,,任意等級的天啟者猶大
fusion-a0229,2,道具,轉生鎧甲,已對應道具庫,1,,,,轉生鎧甲×1
fusion-a0230,1,寵物,地獄將軍,已對應寵物表,,指定,1,,Lv1地獄將軍
fusion-a0230,2,道具,猶大設計圖ABCDE,已對應道具庫,1,,,,猶大設計圖ABCDE×1
fusion-a0231,1,寵物,猶大,已對應寵物表,,指定,1,,Lv1的猶大
fusion-a0231,2,道具,天啟鎧甲,已對應道具庫,1,,,,天啟鎧甲×1
fusion-a0232,1,寵物,符能青鸞,已對應寵物表,,任意,,,任意等級的符能青鸞
fusion-a0232,2,道具,閃耀變異之源,已對應道具庫,3,,,,閃耀變異之源×3
fusion-a0232,3,道具,青鸞之翼,來源原文,10,,,,青鸞之翼×10
fusion-a0232,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0232,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0233,1,寵物,幽紫妖靈,已對應寵物表,,任意,,,任意等級的幽紫妖靈
fusion-a0233,2,道具,閃耀變異之源,已對應道具庫,3,,,,閃耀變異之源×3
fusion-a0233,3,道具,幽靈魔鏡,來源原文,10,,,,幽靈魔鏡×10
fusion-a0233,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0233,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0234,1,寵物,德魯伊之鬼,已對應寵物表,,指定,1,,Lv1的德魯伊之鬼
fusion-a0234,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0234,3,道具,德魯伊之血,來源原文,10,,,,德魯伊之血×10
fusion-a0234,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0234,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0235,1,寵物,雷霆幻獸,已對應寵物表,,任意,,,任意等級的雷霆幻獸
fusion-a0235,2,道具,閃耀變異之源,已對應道具庫,3,,,,閃耀變異之源×3
fusion-a0235,3,道具,神獸之力,來源原文,10,,,,神獸之力×10
fusion-a0235,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0235,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0236,1,寵物,蟲毒魔蟹,已對應寵物表,,任意,,,任意等級的蟲毒魔蟹
fusion-a0236,2,道具,閃耀變異之源,已對應道具庫,3,,,,閃耀變異之源×3
fusion-a0236,3,道具,毒蟹精魄,來源原文,10,,,,毒蟹精魄×10
fusion-a0236,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0236,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0237,1,寵物,散步花妖,已對應寵物表,,指定,1,,Lv1散步花妖
fusion-a0237,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0237,3,道具,星綠草,來源原文,10,,,,星綠草×10
fusion-a0237,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0237,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0238,1,寵物,黃金鼠王,已對應寵物表,,任意,,,任意等級的黃金鼠王
fusion-a0238,2,道具,變異之源×3 22週年鼠王彩帶,來源原文,10,,,,變異之源×3 22週年鼠王彩帶×10
fusion-a0238,3,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0238,4,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0239,1,寵物,純白液態史萊姆,已對應寵物表,,任意,,,任意等級的純白液態史萊姆
fusion-a0239,2,道具,變異之源×3 22週年史萊姆精華,來源原文,10,,,,變異之源×3 22週年史萊姆精華×10
fusion-a0239,3,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0239,4,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0240,1,寵物,懷舊樹精,已對應寵物表,,任意,,,任意等級的懷舊樹精
fusion-a0240,2,道具,變異之源×3 22週年樹精寶珠,來源原文,10,,,,變異之源×3 22週年樹精寶珠×10
fusion-a0240,3,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0240,4,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0241,1,寵物,布雷歐,已對應寵物表,,指定,1,,Lv1布雷歐
fusion-a0241,2,道具,布雷歐設計圖ABCDE,已對應道具庫,1,,,,布雷歐設計圖ABCDE×1
fusion-a0242,1,寵物,紅翼奇美拉,已對應寵物表,,任意,,,任意等級的紅翼奇美拉
fusion-a0242,2,道具,轉生火蛋殼,已對應道具庫,1,,,,轉生火蛋殼×1
fusion-a0243,1,寵物,改造布雷歐,已對應寵物表,,任意,,,任意等級的改造布雷歐
fusion-a0243,2,道具,浴火雛菊,已對應道具庫,1,,,,浴火雛菊×1
fusion-a0244,1,寵物,赤炎黃蜂,已對應寵物表,,任意,,,任意等級的赤炎黃蜂
fusion-a0244,2,道具,變異之源×3 22週年黃蜂基因,來源原文,10,,,,變異之源×3 22週年黃蜂基因×10
fusion-a0244,3,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0244,4,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0245,1,寵物,櫻花螳螂,已對應寵物表,,任意,,,任意等級的櫻花螳螂
fusion-a0245,2,道具,變異之源×3 22週年螳螂基因,來源原文,10,,,,變異之源×3 22週年螳螂基因×10
fusion-a0245,3,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0245,4,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0246,1,寵物,暗黑水龍蜥,已對應寵物表,,任意,,,任意等級的暗黑水龍蜥
fusion-a0246,2,道具,變異之源×3 22週年水龍蜥基因,來源原文,10,,,,變異之源×3 22週年水龍蜥基因×10
fusion-a0246,3,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0246,4,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0247,1,寵物,巨錘魔偶,已對應寵物表,,指定,1,,Lv1巨錘魔偶
fusion-a0247,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0247,3,道具,神隱之帽,來源原文,10,,,,神隱之帽×10
fusion-a0247,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0247,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0248,1,寵物,暗醫阿魯巴斯,已對應寵物表,,任意,,,任意等級的暗醫阿魯巴斯
fusion-a0248,2,道具,轉生手術刀,已對應道具庫,1,,,,轉生手術刀×1
fusion-a0249,1,寵物,阿魯巴斯克隆體,已對應寵物表,,任意,,,任意等級的阿魯巴斯克隆體
fusion-a0249,2,道具,超級手術刀,已對應道具庫,1,,,,超級手術刀×1
fusion-a0250,1,寵物,阿魯巴斯,已對應寵物表,,原文待確認,,,Lv阿魯巴斯
fusion-a0250,2,道具,阿魯巴斯克隆體設計圖ABCDE,已對應道具庫,1,,,,阿魯巴斯克隆體設計圖ABCDE×1
fusion-a0251,1,寵物,水母霸王,已對應寵物表,,指定,1,,Lv1水母霸王
fusion-a0251,2,道具,變異之源,已對應道具庫,7,,,,變異之源×7
fusion-a0251,3,道具,海洋變異能量塊,來源原文,100,,,,海洋變異能量塊×100
fusion-a0252,1,寵物,水母霸王,已對應寵物表,,指定,1,,Lv1水母霸王
fusion-a0252,2,道具,水母再生結晶,來源原文,1,,,,水母再生結晶×1
fusion-a0253,1,寵物,小魚仙,已對應寵物表,,指定,1,,Lv1小魚仙
fusion-a0253,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0253,3,道具,琴韻徽章,來源原文,10,,,,琴韻徽章×10
fusion-a0253,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0253,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0254,1,寵物,樹精,已對應寵物表,,指定,100,,Lv100的樹精
fusion-a0254,2,道具,古代巨櫻種子,來源原文,3,,,,古代巨櫻種子×3
fusion-a0254,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0254,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0254,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0255,1,寵物,暗裔龍祖,已對應寵物表,,任意,,,任意等級的暗裔龍祖
fusion-a0255,2,道具,閃耀變異之源,已對應道具庫,3,,,,閃耀變異之源×3
fusion-a0255,3,道具,暗裔覺醒,來源原文,10,,,,暗裔覺醒×10
fusion-a0255,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0255,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0256,1,寵物,口袋龍,已對應寵物表,,指定,1,,Lv1口袋龍
fusion-a0256,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0256,3,道具,元素感知,來源原文,10,,,,元素感知×10
fusion-a0256,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0256,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0257,1,寵物,鼠王,已對應寵物表,,指定,1,,Lv1鼠王
fusion-a0257,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0257,3,道具,艷陽傳承,來源原文,10,,,,艷陽傳承×10
fusion-a0257,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0257,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0258,1,寵物,百香小妖,已對應寵物表,,指定,1,,Lv1百香小妖
fusion-a0258,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0258,3,道具,百香精華,來源原文,10,,,,百香精華×10
fusion-a0258,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0258,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0259,1,寵物,達哈卡,已對應寵物表,,原文待確認,,,Lv達哈卡
fusion-a0259,2,道具,九頭巨蛇設計圖ABCDE,已對應道具庫,1,,,,九頭巨蛇設計圖ABCDE×1
fusion-a0260,1,寵物,喪屍魔龍,已對應寵物表,,任意,,,任意等級的喪屍魔龍
fusion-a0260,2,道具,轉生蛇毒,已對應道具庫,1,,,,轉生蛇毒×1
fusion-a0261,1,寵物,九頭巨蛇,已對應寵物表,,任意,,,任意等級的九頭巨蛇
fusion-a0261,2,道具,化龍泉水,已對應道具庫,1,,,,化龍泉水×1
fusion-a0262,1,寵物,蜜瓜小妖,已對應寵物表,,指定,1,,Lv1蜜瓜小妖
fusion-a0262,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0262,3,道具,蜜瓜精華,來源原文,10,,,,蜜瓜精華×10
fusion-a0262,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0262,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0263,1,寵物,聖劍,已對應寵物表,,任意,,,任意等級的聖劍
fusion-a0263,2,道具,聖劍再生結晶,來源原文,1,,,,聖劍再生結晶×1
fusion-a0263,3,金幣,金幣,已定義,20000,,,,"金幣20,000G"
fusion-a0264,1,寵物,隕星之刃,已對應寵物表,,指定,1,,Lv1隕星之刃
fusion-a0264,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0264,3,道具,聖晶石,來源原文,10,,,,聖晶石×10
fusion-a0264,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0264,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0265,1,寵物,冰霜之刃,已對應寵物表,,指定,1,,Lv1冰霜之刃
fusion-a0265,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0265,3,道具,聖晶石,來源原文,10,,,,聖晶石×10
fusion-a0265,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0265,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0266,1,寵物,滅魔之刃,已對應寵物表,,指定,1,,Lv1滅魔之刃
fusion-a0266,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0266,3,道具,聖晶石,來源原文,10,,,,聖晶石×10
fusion-a0266,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0266,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0267,1,寵物,碧空之刃,已對應寵物表,,指定,1,,Lv1碧空之刃
fusion-a0267,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0267,3,道具,聖晶石,來源原文,10,,,,聖晶石×10
fusion-a0267,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0267,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0268,1,寵物,魔劍,已對應寵物表,,任意,,,任意等級的魔劍
fusion-a0268,2,道具,魔劍再生結晶,來源原文,1,,,,魔劍再生結晶×1
fusion-a0268,3,金幣,金幣,已定義,20000,,,,"金幣20,000G"
fusion-a0269,1,寵物,裁岩劍,已對應寵物表,,指定,1,,Lv1裁岩劍
fusion-a0269,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0269,3,道具,魔晶石,來源原文,10,,,,魔晶石×10
fusion-a0269,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0269,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0270,1,寵物,霧雨劍,已對應寵物表,,指定,1,,Lv1霧雨劍
fusion-a0270,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0270,3,道具,魔晶石,來源原文,10,,,,魔晶石×10
fusion-a0270,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0270,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0271,1,寵物,赤炎劍,已對應寵物表,,指定,1,,Lv1赤炎劍
fusion-a0271,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0271,3,道具,魔晶石,來源原文,10,,,,魔晶石×10
fusion-a0271,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0271,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0272,1,寵物,疾風劍,已對應寵物表,,指定,1,,Lv1疾風劍
fusion-a0272,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0272,3,道具,魔晶石,來源原文,10,,,,魔晶石×10
fusion-a0272,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0272,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0273,1,寵物,神聖巨龍,已對應寵物表,,任意,,,任意等級的神聖巨龍
fusion-a0273,2,道具,轉生龍魂,已對應道具庫,1,,,,轉生龍魂×1
fusion-a0274,1,寵物,神聖翼龍,已對應寵物表,,任意,,,任意等級的神聖翼龍
fusion-a0274,2,道具,聖龍血脈,已對應道具庫,1,,,,聖龍血脈×1
fusion-a0275,1,寵物,七尾狐,已對應寵物表,,指定,70,,Lv70七尾狐
fusion-a0275,2,道具,七尾狐之契,來源原文,1,,,,七尾狐之契×1
fusion-a0275,3,道具,尾狐細胞,來源原文,40,,,,尾狐細胞×40
fusion-a0276,1,寵物,五尾狐,已對應寵物表,,指定,50,,Lv50五尾狐
fusion-a0276,2,道具,五尾狐之契,來源原文,1,,,,五尾狐之契×1
fusion-a0276,3,道具,尾狐細胞,來源原文,30,,,,尾狐細胞×30
fusion-a0277,1,寵物,三尾狐,已對應寵物表,,指定,30,,Lv30三尾狐
fusion-a0277,2,道具,三尾狐之契,來源原文,1,,,,三尾狐之契×1
fusion-a0277,3,道具,尾狐細胞,來源原文,20,,,,尾狐細胞×20
fusion-a0278,1,寵物,一尾狐,已對應寵物表,,指定,10,,Lv10一尾狐
fusion-a0278,2,道具,一尾狐之契,來源原文,1,,,,一尾狐之契×1
fusion-a0278,3,道具,尾狐細胞,來源原文,10,,,,尾狐細胞×10
fusion-a0279,1,寵物,冰精靈,已對應寵物表,,指定,1,,Lv1冰精靈
fusion-a0279,2,道具,水元素之卵,來源原文,3,,,,水元素之卵×3
fusion-a0279,3,道具,閃耀變異之源,已對應道具庫,10,,,,閃耀變異之源×10
fusion-a0279,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
fusion-a0279,5,金幣,金幣,已定義,50000,,,,"金幣50,000G"
fusion-a0280,1,寵物,九尾狐,已對應寵物表,,指定,1,,Lv1九尾狐
fusion-a0280,2,道具,返祖之珠,來源原文,1,,,,返祖之珠×1
fusion-a0280,3,道具,變異之源,已對應道具庫,10,,,,變異之源×10
fusion-a0281,1,寵物,強襲地雷,已對應寵物表,,指定,1,,Lv1強襲地雷
fusion-a0281,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0281,3,道具,強襲核心,來源原文,10,,,,強襲核心×10
fusion-a0281,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0281,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0282,1,寵物,閃光地雷,已對應寵物表,,指定,1,,Lv1閃光地雷
fusion-a0282,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0282,3,道具,閃光核心,來源原文,10,,,,閃光核心×10
fusion-a0282,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0282,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0283,1,寵物,天使路西法,已對應寵物表,,任意,,,任意等級的天使路西法
fusion-a0283,2,道具,轉生之羽,已對應道具庫,1,,,,轉生之羽×1
fusion-a0284,1,寵物,光明天使,已對應寵物表,,任意,,,任意等級的光明天使
fusion-a0284,2,道具,天使之羽,已對應道具庫,1,,,,天使之羽×1
fusion-a0285,1,寵物,天狼星,已對應寵物表,,任意,,,任意等級的天狼星
fusion-a0285,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0285,3,道具,地獄火,來源原文,10,,,,地獄火×10
fusion-a0285,4,道具,精靈王契約,已對應道具庫,50,,,,精靈王契約×50
fusion-a0285,5,金幣,金幣,已定義,100000,,,,"金幣100,000G"
fusion-a0286,1,寵物,冥界騎士,已對應寵物表,,指定,1,,Lv1冥界騎士
fusion-a0286,2,道具,變異之源,已對應道具庫,3,,,,變異之源×3
fusion-a0286,3,道具,冥界單劍,來源原文,10,,,,冥界單劍×10
fusion-a0286,4,道具,精靈王契約,已對應道具庫,100,,,,精靈王契約×100
