活動日期,公告日,活動／期別,NPC,所需寵物,所需道具,獲得寵物,合成樹,入手方法,公告連結
未載明（公告日 2023-12-20）,2023-12-20,冰雪奇緣 來自聖誕的新夥伴,NPC：奇奇卡(精靈城寵物店15，6）,Lv1的舞動花妖,變異之源*3 琉璃草*10 精靈王契約*50 100000G金幣,Lv1琉璃花妖王,"Lv1的舞動花妖 ＋ 變異之源×3 ＋ 琉璃草×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1琉璃花妖王",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10844.html)
未載明（公告日 2023-12-20）,2023-12-20,冰雪奇緣 來自聖誕的新夥伴,NPC：奇奇卡(精靈城寵物店15，6）,Lv1水藍鼠,變異之源*3 聖誕冰雪*10 精靈王契約*50 100000G金幣,Lv1冰雪水藍鼠,"Lv1水藍鼠 ＋ 變異之源×3 ＋ 聖誕冰雪×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1冰雪水藍鼠",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10844.html)
2023-12-14～2023-01-01,2023-12-13,黑夜之影 夢魘奪魂之主,NPC：裘瑟貝（法蘭城 195.67）,Lv1陰影,奪魂陰影設計圖ABCDE*1,Lv1奪魂陰影,Lv1陰影 ＋ 奪魂陰影設計圖ABCDE×1 ＝ Lv1奪魂陰影,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html)
2023-12-14～2023-01-01,2023-12-13,黑夜之影 夢魘奪魂之主,NPC：裘瑟貝（法蘭城 195.67）,Lv1闇影,奪魂闇影設計圖ABCDE*1,Lv1奪魂闇影,Lv1闇影 ＋ 奪魂闇影設計圖ABCDE×1 ＝ Lv1奪魂闇影,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html)
2023-12-14～2023-01-01,2023-12-13,黑夜之影 夢魘奪魂之主,NPC：艾薇拉（魔法大學研究所 10.30）,Lv1奪魂陰影,奪魂晶礦*1,Lv1奪魂陰影（概率95%） Lv1奪魂陰影之主（概率5%）,Lv1奪魂陰影 ＋ 奪魂晶礦×1 ＝ / ├ Lv1奪魂陰影（概率95%） / └ Lv1奪魂陰影之主（概率5%）,所需寵物：前置合成：Lv1陰影 ＋ 奪魂陰影設計圖ABCDE×1 ＝ Lv1奪魂陰影；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html)
2023-12-14～2023-01-01,2023-12-13,黑夜之影 夢魘奪魂之主,NPC：艾薇拉（魔法大學研究所 10.30）,Lv1奪魂闇影,奪魂晶礦*1,Lv1奪魂闇影（概率95%） Lv1奪魂闇影之主（概率5%）,Lv1奪魂闇影 ＋ 奪魂晶礦×1 ＝ / ├ Lv1奪魂闇影（概率95%） / └ Lv1奪魂闇影之主（概率5%）,所需寵物：前置合成：Lv1闇影 ＋ 奪魂闇影設計圖ABCDE×1 ＝ Lv1奪魂闇影；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html)
2023-12-14～2023-01-01,2023-12-13,黑夜之影 夢魘奪魂之主,NPC：艾爾文（魔法大學研究所 8.31）,任意等級的奪魂陰影之主,轉生影珠*1,Lv1奪魂陰影,任意等級的奪魂陰影之主 ＋ 轉生影珠×1 ＝ Lv1奪魂陰影,所需寵物：前置合成：Lv1奪魂陰影 ＋ 奪魂晶礦×1 ＝ / ├ Lv1奪魂陰影（概率95%） / └ Lv1奪魂陰影之主（概率5%）；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html)
2023-12-14～2023-01-01,2023-12-13,黑夜之影 夢魘奪魂之主,NPC：艾爾文（魔法大學研究所 8.31）,任意等級的奪魂闇影之主,轉生影珠*1,Lv1奪魂闇影,任意等級的奪魂闇影之主 ＋ 轉生影珠×1 ＝ Lv1奪魂闇影,所需寵物：前置合成：Lv1奪魂闇影 ＋ 奪魂晶礦×1 ＝ / ├ Lv1奪魂闇影（概率95%） / └ Lv1奪魂闇影之主（概率5%）；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html)
未載明（公告日 2023-12-06）,2023-12-06,蒼月聖域的呼喚 探尋元素秘境,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的雪兒精靈,變異之源*3 極寒雪兒精靈進化卡*10 精靈王契約*50 100000G金幣,Lv1極寒雪兒精靈,"任意等級的雪兒精靈 ＋ 變異之源×3 ＋ 極寒雪兒精靈進化卡×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1極寒雪兒精靈",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10764.html)
未載明（公告日 2023-12-06）,2023-12-06,蒼月聖域的呼喚 探尋元素秘境,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的聖誕精靈,變異之源*3 銀雪聖誕精靈進化卡*10 精靈王契約*50 100000G金幣,Lv1銀雪聖誕精靈,"任意等級的聖誕精靈 ＋ 變異之源×3 ＋ 銀雪聖誕精靈進化卡×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1銀雪聖誕精靈",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10764.html)
未載明（公告日 2023-12-06）,2023-12-06,蒼月聖域的呼喚 探尋元素秘境,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的絲諾精靈,變異之源*3 寒晶絲諾精靈進化卡*10 精靈王契約*50 100000G金幣,Lv1寒晶絲諾精靈,"任意等級的絲諾精靈 ＋ 變異之源×3 ＋ 寒晶絲諾精靈進化卡×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1寒晶絲諾精靈",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10764.html)
未載明（公告日 2023-12-06）,2023-12-06,蒼月聖域的呼喚 探尋元素秘境,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的愛絲精靈,變異之源*3 冰雪愛絲精靈進化卡*10 精靈王契約*50 100000G金幣,Lv1冰雪愛絲精靈,"任意等級的愛絲精靈 ＋ 變異之源×3 ＋ 冰雪愛絲精靈進化卡×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1冰雪愛絲精靈",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10764.html)
未載明（公告日 2023-11-23）,2023-11-23,挑戰星辰塔 鍛造傳奇套裝,NPC：奇奇卡(精靈城寵物店15，6）,Lv1魔術地雷,變異之源*3 魔術核心*10 精靈王契約*50 100000G金幣,Lv1魔術機甲ROX,"Lv1魔術地雷 ＋ 變異之源×3 ＋ 魔術核心×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1魔術機甲ROX",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10704.html)
未載明（公告日 2023-11-23）,2023-11-23,挑戰星辰塔 鍛造傳奇套裝,NPC：奇奇卡(精靈城寵物店15，6）,Lv1闇影地雷,變異之源*3 闇影核心*10 精靈王契約*50 100000G金幣,Lv1闇影機甲NXT,"Lv1闇影地雷 ＋ 變異之源×3 ＋ 闇影核心×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1闇影機甲NXT",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10704.html)
未載明（公告日 2023-11-23）,2023-11-23,挑戰星辰塔 鍛造傳奇套裝,NPC：奇奇卡(精靈城寵物店15，6）,Lv1閃光地雷,變異之源*3 閃光核心*10 精靈王契約*50 100000G金幣,Lv1閃光機甲AEX,"Lv1閃光地雷 ＋ 變異之源×3 ＋ 閃光核心×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1閃光機甲AEX",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10704.html)
未載明（公告日 2023-11-23）,2023-11-23,挑戰星辰塔 鍛造傳奇套裝,NPC：奇奇卡(精靈城寵物店15，6）,Lv1強襲地雷,變異之源*3 強襲核心*10 精靈王契約*50 100000G金幣,Lv1強襲機甲LMX,"Lv1強襲地雷 ＋ 變異之源×3 ＋ 強襲核心×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1強襲機甲LMX",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10704.html)
2023-11-11～2023-12-12,2023-11-10,刀客之志 狂魔與少年,NPC：裘瑟貝（法蘭城 195.67）,Lv1劍次,刀客劍次設計圖ABCDE*1,Lv1刀客劍次,Lv1劍次 ＋ 刀客劍次設計圖ABCDE×1 ＝ Lv1刀客劍次,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10564.html)
2023-11-11～2023-12-12,2023-11-10,刀客之志 狂魔與少年,NPC：和夫（魔法大學研究所 9.27）,任意等級的狂魔劍次,轉生刀魄*1,Lv1刀客劍次,任意等級的狂魔劍次 ＋ 轉生刀魄×1 ＝ Lv1刀客劍次,所需寵物：前置合成：Lv1刀客劍次 ＋ 狂魔刀譜×1 ＝ / ├ Lv1刀客劍次（概率95%） / └ Lv1狂魔劍次（概率5%）；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10564.html)
2023-11-11～2023-12-12,2023-11-10,刀客之志 狂魔與少年,NPC：刀客秀川（魔法大學研究所 8.26）,Lv1刀客劍次,狂魔刀譜*1,Lv1刀客劍次（概率95%） Lv1狂魔劍次（概率5%）,Lv1刀客劍次 ＋ 狂魔刀譜×1 ＝ / ├ Lv1刀客劍次（概率95%） / └ Lv1狂魔劍次（概率5%）,所需寵物：前置合成：Lv1劍次 ＋ 刀客劍次設計圖ABCDE×1 ＝ Lv1刀客劍次；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10564.html)
2023-11-09～2023-12-28,2023-11-09,新職業登場！無雙刀客參上,NPC：蘆一郎（精靈城刀客公會 15.19）,任意等級的牛丸,變異之源*10 精靈王契約*10,Lv1牛丸（概率98%） Lv1牛鬼丸（概率2%）,任意等級的牛丸 ＋ 變異之源×10 ＋ 精靈王契約×10 ＝ / ├ Lv1牛丸（概率98%） / └ Lv1牛鬼丸（概率2%）,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10534.html)
2023-11-09～2023-11-23,2023-11-09,新職業登場！無雙刀客參上,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的血腥魔刃,閃耀變異之源*3 流刃鍛刀石*10 精靈王契約*50 100000G金幣,Lv1血腥流刃,"任意等級的血腥魔刃 ＋ 閃耀變異之源×3 ＋ 流刃鍛刀石×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1血腥流刃",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10534.html)
2023-11-09～2023-11-23,2023-11-09,新職業登場！無雙刀客參上,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的石像魔王,閃耀變異之源*3 石像魔王塊*10 精靈王契約*50 100000G金幣,Lv1深淵石像魔王,"任意等級的石像魔王 ＋ 閃耀變異之源×3 ＋ 石像魔王塊×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1深淵石像魔王",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10534.html)
2023-11-09～2023-11-23,2023-11-09,新職業登場！無雙刀客參上,NPC：奇奇卡(精靈城寵物店15，6）,Lv1的殺龍之刃,變異之源*3 逆刃鍛刀石*10 精靈王契約*50 100000G金幣,Lv1殺龍逆刃,"Lv1的殺龍之刃 ＋ 變異之源×3 ＋ 逆刃鍛刀石×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1殺龍逆刃",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10534.html)
未載明（公告日 2023-10-25）,2023-10-25,萬聖狂欢 百魅之夜,NPC：裘瑟貝（法蘭城 195.67）,任意等級的鐮刀魔,鐮刀魔設計圖ABCDE*1,Lv1改造鐮刀魔,任意等級的鐮刀魔 ＋ 鐮刀魔設計圖ABCDE×1 ＝ Lv1改造鐮刀魔,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10474.html)
未載明（公告日 2023-10-25）,2023-10-25,萬聖狂欢 百魅之夜,NPC：裘瑟貝（法蘭城 195.67）,任意等級的暗黑僧侶,暗黑僧侶設計圖ABCDE*1,Lv1改造暗黑僧侶,任意等級的暗黑僧侶 ＋ 暗黑僧侶設計圖ABCDE×1 ＝ Lv1改造暗黑僧侶,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10474.html)
未載明（公告日 2023-10-25）,2023-10-25,萬聖狂欢 百魅之夜,NPC：裘瑟貝（法蘭城 195.67）,任意等級的斬首者,斬首者設計圖ABCDE*1,Lv1改造斬首者,任意等級的斬首者 ＋ 斬首者設計圖ABCDE×1 ＝ Lv1改造斬首者,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10474.html)
未載明（公告日 2023-10-25）,2023-10-25,萬聖狂欢 百魅之夜,NPC：裘瑟貝（法蘭城 195.67）,任意等級的冥界死神,冥界死神設計圖ABCDE*1,Lv1改造冥界死神,任意等級的冥界死神 ＋ 冥界死神設計圖ABCDE×1 ＝ Lv1改造冥界死神,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10474.html)
2023-10-10～2023-11-11,2023-10-09,劍之侍魂 武魂狂人,NPC：隆一（魔法大學研究所 24.31）,Lv1武士和馬,侍魂之證*1,Lv1武士和馬（概率95%） Lv1侍魂和馬（概率5%）,Lv1武士和馬 ＋ 侍魂之證×1 ＝ / ├ Lv1武士和馬（概率95%） / └ Lv1侍魂和馬（概率5%）,所需寵物：前置合成：Lv1和馬 ＋ 武士和馬設計圖ABCDE×1 ＝ Lv1武士和馬；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10404.html)
2023-10-10～2023-11-11,2023-10-09,劍之侍魂 武魂狂人,NPC：裘瑟貝（法蘭城 195.67）,Lv1和馬,武士和馬設計圖ABCDE*1,Lv1武士和馬,Lv1和馬 ＋ 武士和馬設計圖ABCDE×1 ＝ Lv1武士和馬,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10404.html)
2023-10-10～2023-11-11,2023-10-09,劍之侍魂 武魂狂人,NPC：和夫（魔法大學研究所 25.33）,任意等級的侍魂和馬,轉生武魂*1,Lv1武士和馬,任意等級的侍魂和馬 ＋ 轉生武魂×1 ＝ Lv1武士和馬,所需寵物：前置合成：Lv1武士和馬 ＋ 侍魂之證×1 ＝ / ├ Lv1武士和馬（概率95%） / └ Lv1侍魂和馬（概率5%）；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10404.html)
未載明（公告日 2023-09-22）,2023-09-22,嫦娥公主伴佳節 飛仙奔月共團圓（秘寶8折特惠！）,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的風月之靈,變異之源*3 月靈花*10 精靈王契約*50 100000G金幣,Lv1風月公主,"任意等級的風月之靈 ＋ 變異之源×3 ＋ 月靈花×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1風月公主",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html)
未載明（公告日 2023-09-22）,2023-09-22,嫦娥公主伴佳節 飛仙奔月共團圓（秘寶8折特惠！）,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的皎月之靈,閃耀變異之源*3 皎月花*10 精靈王契約*50 100000G金幣,Lv1皎月公主,"任意等級的皎月之靈 ＋ 閃耀變異之源×3 ＋ 皎月花×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1皎月公主",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html)
未載明（公告日 2023-09-22）,2023-09-22,嫦娥公主伴佳節 飛仙奔月共團圓（秘寶8折特惠！）,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的猩紅之靈,變異之源*3 月靈花*10 精靈王契約*50 100000G金幣,Lv1猩紅公主,"任意等級的猩紅之靈 ＋ 變異之源×3 ＋ 月靈花×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1猩紅公主",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html)
未載明（公告日 2023-09-22）,2023-09-22,嫦娥公主伴佳節 飛仙奔月共團圓（秘寶8折特惠！）,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的水月之靈,變異之源*3 月靈花*10 精靈王契約*50 100000G金幣,Lv1水月公主,"任意等級的水月之靈 ＋ 變異之源×3 ＋ 月靈花×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1水月公主",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html)
未載明（公告日 2023-09-22）,2023-09-22,嫦娥公主伴佳節 飛仙奔月共團圓（秘寶8折特惠！）,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的月宮之靈,變異之源*3 月靈花*10 精靈王契約*50 100000G金幣,Lv1月宮公主,"任意等級的月宮之靈 ＋ 變異之源×3 ＋ 月靈花×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1月宮公主",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html)
未載明（公告日 2023-09-22）,2023-09-22,嫦娥公主伴佳節 飛仙奔月共團圓（秘寶8折特惠！）,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的暗月之靈,閃耀變異之源*3 暗月花*10 精靈王契約*50 100000G金幣,Lv1暗月公主,"任意等級的暗月之靈 ＋ 閃耀變異之源×3 ＋ 暗月花×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1暗月公主",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html)
未載明（公告日 2023-09-21）,2023-09-21,霸氣魔蛇現世 元素使限時返場,NPC：愛卡勒恩(寵物研究所15，8）,Lv1炎精靈,火元素之卵*3 閃耀變異之源*10 精靈王契約*100,烈焰元素使,Lv1炎精靈 ＋ 火元素之卵×3 ＋ 閃耀變異之源×10 ＋ 精靈王契約×100 ＝ 烈焰元素使,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10324.html)
未載明（公告日 2023-09-21）,2023-09-21,霸氣魔蛇現世 元素使限時返場,NPC：愛卡勒恩(寵物研究所15，8）,Lv1木精靈,地元素之卵*3 閃耀變異之源*10 精靈王契約*100,大地元素使,Lv1木精靈 ＋ 地元素之卵×3 ＋ 閃耀變異之源×10 ＋ 精靈王契約×100 ＝ 大地元素使,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10324.html)
未載明（公告日 2023-09-21）,2023-09-21,霸氣魔蛇現世 元素使限時返場,NPC：愛卡勒恩(寵物研究所15，8）,Lv1光精靈,風元素之卵*3 閃耀變異之源*10 精靈王契約*100,天空元素使,Lv1光精靈 ＋ 風元素之卵×3 ＋ 閃耀變異之源×10 ＋ 精靈王契約×100 ＝ 天空元素使,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10324.html)
未載明（公告日 2023-09-21）,2023-09-21,霸氣魔蛇現世 元素使限時返場,NPC：寵物研究所的愛卡勒恩(法蘭城 116.75）,Lv1冰精靈,水元素之卵*3 閃耀變異之源*10 精靈王契約*100 50000G金幣,Lv1海洋元素使,"Lv1冰精靈 ＋ 水元素之卵×3 ＋ 閃耀變異之源×10 ＋ 精靈王契約×100 ＋ 金幣50,000G ＝ Lv1海洋元素使",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10324.html)
2023-09-09～2023-10-10,2023-09-08,開啟回憶的羈絆 白銀之魂猶大,NPC：馬娜喜（魔法大學研究所 57.38）,任意等級的天啟者猶大,轉生鎧甲*1,Lv1猶大,任意等級的天啟者猶大 ＋ 轉生鎧甲×1 ＝ Lv1猶大,所需寵物：前置合成：Lv1的猶大 ＋ 天啟鎧甲×1 ＝ / ├ Lv1猶大（概率95%） / └ Lv1天啟者猶大（概率5%）；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10254.html)
2023-09-09～2023-10-10,2023-09-08,開啟回憶的羈絆 白銀之魂猶大,NPC：裘瑟貝（法蘭城 195.67）,Lv1地獄將軍,猶大設計圖ABCDE*1,Lv1猶大,Lv1地獄將軍 ＋ 猶大設計圖ABCDE×1 ＝ Lv1猶大,所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10254.html)
2023-09-09～2023-10-10,2023-09-08,開啟回憶的羈絆 白銀之魂猶大,NPC：皮德榮（魔法大學研究所 58.39）,Lv1的猶大,天啟鎧甲*1,Lv1猶大（概率95%） Lv1天啟者猶大（概率5%）,Lv1的猶大 ＋ 天啟鎧甲×1 ＝ / ├ Lv1猶大（概率95%） / └ Lv1天啟者猶大（概率5%）,所需寵物：前置合成：Lv1地獄將軍 ＋ 猶大設計圖ABCDE×1 ＝ Lv1猶大；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10254.html)
未載明（公告日 2023-09-08）,2023-09-08,不死的試煉 挑戰幽靈道場,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的符能青鸞,閃耀變異之源*3 青鸞之翼*10 精靈王契約*50 100000G金幣,Lv1青鸞聖鳥,"任意等級的符能青鸞 ＋ 閃耀變異之源×3 ＋ 青鸞之翼×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1青鸞聖鳥",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10234.html)
未載明（公告日 2023-09-08）,2023-09-08,不死的試煉 挑戰幽靈道場,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的幽紫妖靈,閃耀變異之源*3 幽靈魔鏡*10 精靈王契約*50 100000G金幣,Lv1幽紫魔靈,"任意等級的幽紫妖靈 ＋ 閃耀變異之源×3 ＋ 幽靈魔鏡×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1幽紫魔靈",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10234.html)
未載明（公告日 2023-09-08）,2023-09-08,不死的試煉 挑戰幽靈道場,NPC：奇奇卡(精靈城寵物店15，6）,Lv1的德魯伊之鬼,變異之源*3 德魯伊之血*10 精靈王契約*50 100000G金幣,Lv1德魯伊之魂,"Lv1的德魯伊之鬼 ＋ 變異之源×3 ＋ 德魯伊之血×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1德魯伊之魂",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10234.html)
未載明（公告日 2023-08-24）,2023-08-24,相遇花妖王 雷霆幻獸大加強,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的雷霆幻獸,閃耀變異之源*3 神獸之力*10 精靈王契約*50 100000G金幣,Lv1雷霆神獸,"任意等級的雷霆幻獸 ＋ 閃耀變異之源×3 ＋ 神獸之力×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1雷霆神獸",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10184.html)
未載明（公告日 2023-08-24）,2023-08-24,相遇花妖王 雷霆幻獸大加強,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的蟲毒魔蟹,閃耀變異之源*3 毒蟹精魄*10 精靈王契約*50 100000G金幣,Lv1噬魂毒蟹,"任意等級的蟲毒魔蟹 ＋ 閃耀變異之源×3 ＋ 毒蟹精魄×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1噬魂毒蟹",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10184.html)
未載明（公告日 2023-08-24）,2023-08-24,相遇花妖王 雷霆幻獸大加強,NPC：奇奇卡(精靈城寵物店15，6）,Lv1散步花妖,變異之源*3 星綠草*10 精靈王契約*50 100000G金幣,Lv1星綠花妖王,"Lv1散步花妖 ＋ 變異之源×3 ＋ 星綠草×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1星綠花妖王",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10184.html)
未載明（公告日 2023-08-09）,2023-08-09,22週年慶最終彈,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的黃金鼠王,變異之源*3 22週年鼠王彩帶*10 精靈王契約*50 100000G金幣,Lv1 22週年鼠王,"任意等級的黃金鼠王 ＋ 變異之源×3 22週年鼠王彩帶×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1 22週年鼠王",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10104.html)
未載明（公告日 2023-08-09）,2023-08-09,22週年慶最終彈,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的純白液態史萊姆,變異之源*3 22週年史萊姆精華*10 精靈王契約*50 100000G金幣,Lv1 22週年液態史萊姆,"任意等級的純白液態史萊姆 ＋ 變異之源×3 22週年史萊姆精華×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1 22週年液態史萊姆",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10104.html)
未載明（公告日 2023-08-09）,2023-08-09,22週年慶最終彈,NPC：奇奇卡(精靈城寵物店15，6）,任意等級的懷舊樹精,變異之源*3 22週年樹精寶珠*10 精靈王契約*50 100000G金幣,Lv1 22週年樹精,"任意等級的懷舊樹精 ＋ 變異之源×3 22週年樹精寶珠×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1 22週年樹精",所需寵物：公告未另載；所需道具：公告未另載,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10104.html)
