名稱,分類,子分類,等級,說明,入手方式,image
惡玉A菌,採集,伐木,2,相關任務： 鯰魚洞窟,採集：[伐木](/採集/伐木)　鯰魚大王的胃袋 / 鯰魚大王的大腸；採集：[狩獵](/採集/狩獵)　鯰魚大王的胃袋 / 鯰魚大王的大腸,/img/採集/惡玉A菌.gif
惡玉B菌,採集,伐木,2,相關任務： 鯰魚洞窟,採集：[伐木](/採集/伐木)　鯰魚大王的胃袋 / 鯰魚大王的大腸；採集：[狩獵](/採集/狩獵)　鯰魚大王的胃袋 / 鯰魚大王的大腸,/img/採集/惡玉B菌.gif
惡玉C菌,採集,伐木,2,相關任務： 鯰魚洞窟,採集：[伐木](/採集/伐木)　鯰魚大王的胃袋 / 鯰魚大王的大腸；採集：[狩獵](/採集/狩獵)　鯰魚大王的胃袋 / 鯰魚大王的大腸,/img/採集/惡玉C菌.gif
惡玉菌首領A,採集,伐木,2,相關任務： 鯰魚洞窟,採集：[伐木](/採集/伐木)　鯰魚大王的胃袋 / 鯰魚大王的大腸；採集：[狩獵](/採集/狩獵)　鯰魚大王的胃袋 / 鯰魚大王的大腸,/img/採集/惡玉菌首領A.gif
惡玉菌首領B,採集,伐木,2,相關任務： 鯰魚洞窟,採集：[伐木](/採集/伐木)　鯰魚大王的胃袋 / 鯰魚大王的大腸；採集：[狩獵](/採集/狩獵)　鯰魚大王的胃袋 / 鯰魚大王的大腸,/img/採集/惡玉菌首領B.gif
惡玉菌首領C,採集,伐木,2,相關任務： 鯰魚洞窟,採集：[伐木](/採集/伐木)　鯰魚大王的胃袋 / 鯰魚大王的大腸；採集：[狩獵](/採集/狩獵)　鯰魚大王的胃袋 / 鯰魚大王的大腸,/img/採集/惡玉菌首領C.gif
惡玉菌首領D,採集,伐木,2,相關任務： 鯰魚洞窟,採集：[伐木](/採集/伐木)　鯰魚大王的胃袋 / 鯰魚大王的大腸；採集：[狩獵](/採集/狩獵)　鯰魚大王的胃袋 / 鯰魚大王的大腸,/img/採集/惡玉菌首領D.gif
月桂木,採集,伐木,10,木材類,採集：[伐木](/採集/伐木)　哈拿可半島亞紀城南門外,/img/採集/月桂木.gif
月桂樹的葉子,採集,伐木,1,香草類,"採集：[伐木](/採集/伐木)　6.0德威特島(111,244)",/img/採集/月桂樹的葉子.gif
果梨,採集,伐木,4,香草類,"配方材料（帽子）；配方材料（藥水）；採集：[伐木](/採集/伐木)　芙蕾雅島法蘭城西門外(510,127)",/img/採集/果梨.gif
桃木,採集,伐木,5,香草類,"配方材料（帽子）；配方材料（藥水）；採集：[伐木](/採集/伐木)　芙蕾雅島法蘭城西門外(521,126) / 芙蕾雅亞留特村南門外(629,173)",/img/採集/桃木.gif
檸檬草,採集,伐木,2,香草類,"配方材料（帽子）；配方材料（料理）；配方材料（藥水）；採集：[伐木](/採集/伐木)　芙蕾雅島法蘭城西門外(515,100)",/img/採集/檸檬草.gif
水果？,採集,伐木,10,鑑定後為謎之皮,採集：[伐木](/採集/伐木)　芙蕾雅、德威特島全域，隨機取得,/img/採集/水果？.gif
海賊的寶箱,採集,伐木,3,相關任務： 海賊的洞窟,採集：[伐木](/採集/伐木)　海賊的森林全域；採集：[挖掘](/採集/挖掘)　海賊的礦山全域；採集：[狩獵](/採集/狩獵)　海賊的島嶼全域,/img/採集/海賊的寶箱.gif
琵琶木,採集,伐木,5,木材類,"配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（鎧甲）；配方材料（長袍）；配方材料（盾牌）；採集：[伐木](/採集/伐木)　米內葛爾島阿凱魯法域(203,346)",/img/採集/琵琶木.gif
番紅花,採集,伐木,6,香草類,"配方材料（帽子）；配方材料（藥水）；採集：[伐木](/採集/伐木)　庫魯克斯島哥拉爾鎮東門外(378,385)",/img/採集/番紅花.gif
百里香,採集,伐木,7,香草類,"配方材料（帽子）；配方材料（衣服）；配方材料（藥水）；採集：[伐木](/採集/伐木)　莎蓮娜島傑諾瓦鎮西門外(175,497)(173,500) / 莎蓮娜島魔法大學裡面(24,59)(朴、杉、瞿麥) / 梅布爾隘地(196,173)(蘋果薄荷) / 庫魯克斯島哥拉爾鎮東門外(474,409)",/img/採集/百里香.gif
瞿麥,採集,伐木,8,香草類,"配方材料（帽子）；配方材料（藥水）；採集：[伐木](/採集/伐木)　莎蓮娜島傑諾瓦鎮東門外(262,574) / 莎蓮娜島傑諾瓦鎮東門外(346,472) / 莎蓮娜島魔法大學裡面(24,59)(朴、杉、百里香) / 庫魯克斯島哥拉爾鎮東門外(446,569) / 法蘭城遺跡(139,128)(蘋果薄荷)",/img/採集/瞿麥.gif
竹子,採集,伐木,體驗,木材類,"採集：[伐木](/採集/伐木)　芙蕾雅島法蘭城東門外(490,196)",/img/採集/竹子.gif
絲柏,採集,伐木,9,木材類,"配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；採集：[伐木](/採集/伐木)　莎蓮娜島阿巴尼斯域(105,158)",/img/採集/絲柏.gif
腐爛的樹枝,採集,伐木,3,相關任務： 海賊的洞窟,"採集：[伐木](/採集/伐木)　芙蕾雅亞留特域(550,19)；採集：[挖掘](/採集/挖掘)　維諾亞海底洞窟2F",/img/採集/腐爛的樹枝.gif
茴香,採集,伐木,9,香草類,"配方材料（帽子）；配方材料（藥水）；採集：[伐木](/採集/伐木)　莎蓮娜島傑諾瓦域(283,371)(178,510)",/img/採集/茴香.gif
茶葉,採集,伐木,1,香草類,"採集：[伐木](/採集/伐木)　6.0德威特島(76,283) / 日耀之域(374,396)",/img/採集/茶葉.gif
菊花,採集,伐木,2,香草類,"採集：[伐木](/採集/伐木)　水曜之域(411,341)",/img/採集/菊花.gif
薄荷,採集,伐木,2,香草類,"採集：[伐木](/採集/伐木)　水曜之域(449,252)",/img/採集/薄荷.gif
蘋果薄荷,採集,伐木,1,香草類,"配方材料（藥水）；採集：[伐木](/採集/伐木)　芙蕾雅島法蘭城西門外(500,85)",/img/採集/蘋果薄荷.gif
蝴蝶花,採集,伐木,3,香草類,"配方材料（帽子）；配方材料（藥水）；採集：[伐木](/採集/伐木)　芙蕾雅島法蘭城西門外(505,120) / 亞留特村域(635,162) / 布拉基姆高地(55,189)(62,179)",/img/採集/蝴蝶花.gif
謝爾席拉的樹枝,採集,伐木,3,相關任務： 海賊的洞窟,"採集：[伐木](/採集/伐木)　芙蕾雅亞留特域(550,19)",/img/採集/謝爾席拉的樹枝.gif
赤松,採集,伐木,6,木材類,"配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（鎧甲）；配方材料（長袍）；配方材料（盾牌）；採集：[伐木](/採集/伐木)　索奇亞島加納村南門外(627,431) / 米內葛爾島阿凱魯法域(192,373) / 庫魯克斯島哥拉爾鎮東門外(432,437)",/img/採集/赤松.gif
連翹,採集,伐木,2,香草類,"採集：[伐木](/採集/伐木)　水曜之域(462,184)",/img/採集/連翹.gif
鋼騎之礦,採集,伐木,6,相關任務： 海賊的洞窟,配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（帽子）；配方材料（鎧甲）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）；採集：[伐木](/採集/伐木)　海賊的森林全域；採集：[挖掘](/採集/挖掘)　海賊的礦山全域；採集：[狩獵](/採集/狩獵)　海賊的島嶼全域,/img/採集/鋼騎之礦.gif
鐵杉,採集,伐木,4,木材類,"配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（鎧甲）；配方材料（長袍）；配方材料（盾牌）；採集：[伐木](/採集/伐木)　芙蕾雅島亞留特村東門外(640,70) / 芙蕾雅島維諾亞域(422,431)",/img/採集/鐵杉.gif
香草,採集,伐木,8,香草類,"配方材料（帽子）；採集：[伐木](/採集/伐木)　米內葛爾島坎那貝拉村西門外(476,241)",/img/採集/香草.gif
高級番茄,採集,伐木,1,相關任務： 藥劑師就職,"採集：[伐木](/採集/伐木)　法蘭城貝蒂的家(231,102)裡的田；採集：[狩獵](/採集/狩獵)　法蘭城貝蒂的家(231,102)裡的田",/img/採集/高級番茄.gif
魔法紅蘿蔔,採集,伐木,8,相關任務： 生產系階級提昇Ⅲ,"配方材料（帽子）；配方材料（衣服）；配方材料（長袍）；配方材料（料理）；配方材料（藥水）；採集：[伐木](/採集/伐木)　莎蓮娜魔法大學裡面(33,167)(蘋果薄荷)",/img/採集/魔法紅蘿蔔.gif
黃月木,採集,伐木,3,木材類,"配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（鎧甲）；配方材料（長袍）；配方材料（盾牌）；採集：[伐木](/採集/伐木)　芙蕾雅島亞留特村東門外(625,133) / 索奇亞島奇利村北門外(272,287)",/img/採集/黃月木.gif
亞爾登礦,採集,挖掘,8,特殊類,採集：[挖掘](/採集/挖掘)　6.0德威特島,/img/採集/亞爾登礦.gif
克德謝爾礦,採集,挖掘,8,特殊類,採集：[挖掘](/採集/挖掘)　6.0德威特島,/img/採集/克德謝爾礦.gif
冰塊,採集,挖掘,3,相關任務： 夏日冰品,"採集：[挖掘](/採集/挖掘)　6.0德威特島(79,59)",/img/採集/冰塊.gif
勒格耐席鉧,採集,挖掘,9,礦石類,"採集：[挖掘](/採集/挖掘)　莎蓮娜西方洞窟B1(21,27)(阿村側)",/img/採集/勒格耐席鉧.gif
古代種子,採集,挖掘,5,相關任務： 穿越時空,"採集：[挖掘](/採集/挖掘)　奴克冰原(454,177)",/img/採集/古代種子.gif
喜馬拉斯礦,採集,挖掘,10,礦石類,"採集：[挖掘](/採集/挖掘)　伊利斯礦山大坑道(118,125)(銅)",/img/採集/喜馬拉斯礦.gif
天青石,採集,挖掘,1,相關任務： 礦工用安全帽,"採集：[挖掘](/採集/挖掘)　國營24坑道B3西北方(6,4)樓梯下到B4(5,3)",/img/採集/天青石.gif
太古的道具,採集,挖掘,10,鑑定後為太古的道具,採集：[挖掘](/採集/挖掘)　國營24坑道地下、維諾亞洞窟全域,/img/採集/太古的道具.gif
奧利哈鋼,採集,挖掘,10,礦石類,"採集：[挖掘](/採集/挖掘)　莎蓮娜西方洞窟B2(40,45)",/img/採集/奧利哈鋼.gif
幻之銀,採集,挖掘,8,礦石類,"採集：[挖掘](/採集/挖掘)　莎蓮娜海洞B2(37,6)",/img/採集/幻之銀.gif
幻之鋼,採集,挖掘,7,礦石類,"採集：[挖掘](/採集/挖掘)　莎蓮娜海洞B2(44,48)(43,56)",/img/採集/幻之鋼.gif
永久冰石,採集,挖掘,8,相關任務： 生產系階級提昇Ⅲ,配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（頭盔）；配方材料（鎧甲）；配方材料（靴子）；配方材料（盾牌）；採集：[挖掘](/採集/挖掘)　青龍的洞窟B2西北區,/img/採集/永久冰石.gif
海賊劍,採集,挖掘,3,相關任務： 海賊的洞窟,"採集：[挖掘](/採集/挖掘)　謝歐爾洞窟裡約(4,11)處走到另一邊(27,36)附近",/img/採集/海賊劍.gif
瑪瑙,採集,挖掘,1,特殊類,採集：[挖掘](/採集/挖掘)　6.0德威特島,/img/採集/瑪瑙.gif
白金,採集,挖掘,6,礦石類,"採集：[挖掘](/採集/挖掘)　莎蓮娜海洞往B2的樓梯附近 / 維諾亞洞穴B1(8,69)附近(法蘭側)",/img/採集/白金.gif
破破爛爛的劍,採集,挖掘,3,相關任務： 海賊的洞窟,"採集：[挖掘](/採集/挖掘)　謝歐爾洞窟裡約(4,11)處走到另一邊(27,36)附近",/img/採集/破破爛爛的劍.gif
碎石頭,採集,挖掘,體驗,礦石類,採集：[挖掘](/採集/挖掘)　國營24坑道B1~B2,/img/採集/碎石頭.gif
純銀,採集,挖掘,4,礦石類,"配方材料（藥水）；採集：[挖掘](/採集/挖掘)　維諾亞洞窟B1(47,70)(45,70)(法蘭側)附近 / 哈巴魯東邊洞窟B1(17,6)(14,15)(亞村側)",/img/採集/純銀.gif
縞瑪瑙,採集,挖掘,1,相關任務： 礦工用安全帽,"採集：[挖掘](/採集/挖掘)　國營24坑道B3(20,20) / 國營24坑道B3(13,21)",/img/採集/縞瑪瑙.gif
萊姆騎士礦,採集,挖掘,8,特殊類,採集：[挖掘](/採集/挖掘)　6.0德威特島,/img/採集/萊姆騎士礦.gif
藍龍之鱗,採集,挖掘,8,相關任務： 生產系階級提昇Ⅲ,"配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（帽子）；配方材料（鎧甲）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）；採集：[挖掘](/採集/挖掘)　青龍的洞窟(106,54)最上層的青龍之巢(63,36)",/img/採集/藍龍之鱗.gif
謝爾哈特礦,採集,挖掘,9,礦石類,"採集：[挖掘](/採集/挖掘)　海之通道(34,38)附近",/img/採集/謝爾哈特礦.gif
赤鐵礦,採集,挖掘,1,相關任務： 礦工用安全帽,"採集：[挖掘](/採集/挖掘)　國營24坑道B3東北方(28,3)樓梯下到B4(21,16)",/img/採集/赤鐵礦.gif
達馬斯礦,採集,挖掘,8,礦石類,"採集：[挖掘](/採集/挖掘)　南恰拉山第一通道(9,33)",/img/採集/達馬斯礦.gif
鈦礦石,採集,挖掘,5,相關任務： 月亮俱樂部,採集：[挖掘](/採集/挖掘)　維諾亞海底洞窟地下2F全域,/img/採集/鈦礦石.gif
雅達曼鎝,採集,挖掘,10,礦石類,"採集：[挖掘](/採集/挖掘)　薰風村外西邊通道(59,60)",/img/採集/雅達曼鎝.gif
井底蛙,採集,狩獵,4,相關任務： 魔族改造計劃,"配方材料（藥水）；採集：[狩獵](/採集/狩獵)　角笛大風穴(135,5)",/img/採集/井底蛙.gif
亞留特獅子的皮,採集,狩獵,3,相關任務： 海賊的洞窟,"採集：[狩獵](/採集/狩獵)　芙蕾雅(621,33)",/img/採集/亞留特獅子的皮.gif
伊勢蝦,採集,狩獵,9,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　庫魯克斯哥拉爾域(147,402)",/img/採集/伊勢蝦.gif
傳說中的鹿皮,採集,狩獵,體驗,食材類,"採集：[狩獵](/採集/狩獵)　芙蕾雅島(649,228)",/img/採集/傳說中的鹿皮.gif
咖哩塊,採集,狩獵,7,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　布拉基姆高地(131,224)",/img/採集/咖哩塊.gif
大豆,採集,狩獵,2,食材類,"採集：[狩獵](/採集/狩獵)　法蘭城遺跡(111,54)",/img/採集/大豆.gif
小麥粉,採集,狩獵,1,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　米內葛爾島坎那貝拉域(616,378) / ☆法蘭城科特利亞酒吧(219,136)內找恰普(24,9)以20個蕃茄交換1瓶蕃茄醬 / 利用蕃茄醬至亞諾曼城(192,108)食品店內的愛吃蕃茄醬的蕾娜(14,16)換得小麥粉",/img/採集/小麥粉.gif
惡魔魚,採集,狩獵,4,相關任務： 魔族改造計劃,"配方材料（藥水）；採集：[狩獵](/採集/狩獵)　索奇亞(282,404)(腐爛的樹枝)",/img/採集/惡魔魚.gif
戀愛蘋果,採集,狩獵,5,相關任務： 月亮俱樂部,"配方材料（藥水）；採集：[狩獵](/採集/狩獵)　莎蓮娜傑諾瓦(267,558)附近",/img/採集/戀愛蘋果.gif
摩斯蜥蝪,採集,狩獵,4,相關任務： 魔族改造計劃,"採集：[狩獵](/採集/狩獵)　索奇亞(528,326)",/img/採集/摩斯蜥蝪.gif
星鰻,採集,狩獵,5,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　芙蕾雅島維諾亞域(425,466)",/img/採集/星鰻.gif
桃冠,採集,狩獵,2,相關任務： 仙人就職,"配方材料（藥水）；採集：[狩獵](/採集/狩獵)　世外桃源4(27,30)",/img/採集/桃冠.gif
桃茂,採集,狩獵,2,相關任務： 仙人就職,"配方材料（藥水）；採集：[狩獵](/採集/狩獵)　世外桃源3(27,30)",/img/採集/桃茂.gif
桃連蛇,採集,狩獵,2,相關任務： 仙人就職,"配方材料（藥水）；採集：[狩獵](/採集/狩獵)　世外桃源2(27,30)",/img/採集/桃連蛇.gif
海膽,採集,狩獵,9,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　庫魯克斯哥拉爾域(163,412)",/img/採集/海膽.gif
海苔,採集,狩獵,4,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　芙蕾雅島亞留特域(621,27)",/img/採集/海苔.gif
溼地毒蛇,採集,狩獵,8,食材類,"採集：[狩獵](/採集/狩獵)　地底湖地下2F的小島(37,49)(腐爛的樹枝)",/img/採集/溼地毒蛇.gif
濕地毒蛇,採集,狩獵,8,相關任務： 生產系階級提昇Ⅲ,"配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（鞋子）；配方材料（藥水）；採集：[狩獵](/採集/狩獵)　地底湖地下2F的小島與(38.54)對話傳送過去(37,49)",/img/採集/濕地毒蛇.gif
牛奶,採集,狩獵,2,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　米內葛爾島坎那貝拉域(635,388)",/img/採集/牛奶.gif
牛肉,採集,狩獵,5,食材類,"配方材料（料理）；配方材料（藥水）；採集：[狩獵](/採集/狩獵)　索奇亞島奇利域(215,225)(350,340)(359,375)(320,333) / 庫魯克斯島哥拉爾域(372,418)",/img/採集/牛肉.gif
狐皮,採集,狩獵,4,相關任務： 風之洞窟,配方材料（長袍）；採集：[狩獵](/採集/狩獵)　索奇亞島 風之洞窟山頂(miss率極高),/img/採集/狐皮.gif
生物？,採集,狩獵,10,鑑定後為土龍,採集：[狩獵](/採集/狩獵)　芙蕾雅、德威特島全域，隨機取得,/img/採集/生物？.gif
甲魚,採集,狩獵,10,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　庫魯克斯哥拉爾域(298,291)",/img/採集/甲魚.gif
白菜,採集,狩獵,3,食材類,"採集：[狩獵](/採集/狩獵)　梅布爾隘地(195,58)",/img/採集/白菜.gif
石鯛魚,採集,狩獵,2,食材類,"採集：[狩獵](/採集/狩獵)　米內葛爾島坎那貝拉域(674,387)",/img/採集/石鯛魚.gif
砂糖,採集,狩獵,6,食材類,配方材料（料理）；採集：[狩獵](/採集/狩獵)　維諾亞村村長家購買(4G/個) / 艾夏島中村蔬果店購買(8G/個),/img/採集/砂糖.gif
竹筍,採集,狩獵,4,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　芙蕾雅島亞留特域(533,40)",/img/採集/竹筍.gif
竹莢魚,採集,狩獵,4,食材類,"採集：[狩獵](/採集/狩獵)　芙蕾雅島亞留特域(683,76)",/img/採集/竹莢魚.gif
胡椒,採集,狩獵,5,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　庫魯克斯島米諾基亞域(549,857) / 布拉基姆高地(150,267)",/img/採集/胡椒.gif
腐爛的皮,採集,狩獵,3,相關任務： 海賊的洞窟,"採集：[狩獵](/採集/狩獵)　芙蕾雅(621,33)",/img/採集/腐爛的皮.gif
芝麻娃娃,採集,狩獵,5,相關任務： 家族設立,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　梅布爾隘地(198,128)",/img/採集/芝麻娃娃.gif
花蜜結晶,採集,狩獵,5,相關任務： 穿越時空,"採集：[狩獵](/採集/狩獵)　德威特島美洛平原(492,426)",/img/採集/花蜜結晶.gif
芹菜,採集,狩獵,4,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　芙蕾雅島亞留特域(601,47)",/img/採集/芹菜.gif
蕃茄,採集,狩獵,1,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　芙蕾雅島(495,191)、德威特島全域",/img/採集/蕃茄.gif
蝙蝠,採集,狩獵,1,作用不明,"採集：[狩獵](/採集/狩獵)　法蘭城畢夫魯的家(206,37)裡的廚房",/img/採集/蝙蝠.gif
螃蟹,採集,狩獵,8,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　莎蓮娜島傑諾瓦域(318,503)",/img/採集/螃蟹.gif
蟬蛻,採集,狩獵,3,食材類,"採集：[狩獵](/採集/狩獵)　水曜之域(39,76)",/img/採集/蟬蛻.gif
豬肉,採集,狩獵,5,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　芙蕾雅島炎洞前的平原(300,440)",/img/採集/豬肉.gif
辣椒,採集,狩獵,7,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　布拉基姆高地(276,301)",/img/採集/辣椒.gif
醬油,採集,狩獵,3,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　德威特島摩頓域(339,565)",/img/採集/醬油.gif
阿巴尼斯哈密瓜,採集,狩獵,8,相關任務： 生產系階級提昇Ⅲ,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　魔法大學2樓(14,37)出去右側(87,78)",/img/採集/阿巴尼斯哈密瓜.gif
雞肉,採集,狩獵,4,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　庫魯克斯島哥拉爾域(266,378)",/img/採集/雞肉.gif
雞蛋,採集,狩獵,1,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　索奇亞島奇利域(297,361)",/img/採集/雞蛋.gif
霜降牛肉,採集,狩獵,8,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　庫魯克斯島哥拉爾域(408,442)",/img/採集/霜降牛肉.gif
青椒,採集,狩獵,2,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　芙蕾雅島法蘭城域(592,287)",/img/採集/青椒.gif
馬鈴薯,採集,狩獵,5,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　莎蓮娜島傑諾瓦域(190,469) / 布拉基姆高地(224,327)",/img/採集/馬鈴薯.gif
高級奶油,採集,狩獵,7,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　莎蓮娜島傑諾瓦域(154,349)",/img/採集/高級奶油.gif
魚翅,採集,狩獵,10,食材類,"配方材料（料理）；採集：[狩獵](/採集/狩獵)　庫魯克斯哥拉爾域(389,535)",/img/採集/魚翅.gif
鮭魚,採集,狩獵,5,食材類,"採集：[狩獵](/採集/狩獵)　梅布爾隘地(202,161)",/img/採集/鮭魚.gif
鹿皮,採集,狩獵,體驗,食材類,"配方材料（頭盔）；配方材料（帽子）；配方材料（鎧甲）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）；採集：[狩獵](/採集/狩獵)　芙蕾雅島(654,247)；採集：[狩獵](/採集/狩獵)　芙蕾雅島亞留特域(629,178)",/img/採集/鹿皮.gif
必死的劇藥,材料,料理,,,配方材料（料理）；配方材料（藥水）,
櫻桃,材料,料理,,,配方材料（料理）,
水龍的鰭,材料,料理,,,配方材料（料理）,
深海魷魚,材料,料理,,,配方材料（料理）,
烏克蘭巧克力,材料,料理,,,配方材料（料理）,
瓶子,材料,料理,,,配方材料（料理）,
神聖油,材料,料理,,,配方材料（料理）,
神聖米,材料,料理,,,配方材料（料理）,
神聖醋,材料,料理,,,配方材料（料理）,
翡翠玉米,材料,料理,,,配方材料（料理）,
銀露蜂王漿,材料,料理,,,配方材料（料理）,
飯碗,材料,料理,,,配方材料（料理）,
勒格耐席鉧條,材料,武器,,,配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（鎧甲）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）,
奧利哈鋼條,材料,武器,,,配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（鎧甲）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）,
幻之銀條,材料,武器,,,配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（鎧甲）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）,
幻之鋼條,材料,武器,,,配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（鎧甲）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）,
木棉布,材料,武器,,,配方材料（弓）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（帽子）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）,
毛氈,材料,武器,,,配方材料（弓）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（帽子）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）,
火焰之魂,材料,武器,,,配方材料（投擲武器）；配方材料（靴子）,
生鏽的劍,材料,武器,,,配方材料（劍）,
生鏽的弓,材料,武器,,,配方材料（弓）,
生鏽的投擲武器,材料,武器,,,配方材料（投擲武器）,
生鏽的斧,材料,武器,,,配方材料（斧）,
生鏽的杖,材料,武器,,,配方材料（杖）,
生鏽的槍,材料,武器,,,配方材料（槍）,
生鏽的短劍,材料,武器,,,配方材料（小刀）,
白金條,材料,武器,,,配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（鎧甲）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）,
神眼,材料,武器,,,配方材料（小刀）；配方材料（衣服）；配方材料（長袍）,
純銀條,材料,武器,,,配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（鎧甲）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）,
細線,材料,武器,,,配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（帽子）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）,
絹布,材料,武器,,,配方材料（弓）；配方材料（頭盔）；配方材料（帽子）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）,
茱萸木,材料,武器,,,配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（頭盔）；配方材料（帽子）；配方材料（鎧甲）；配方材料（衣服）；配方材料（長袍）；配方材料（盾牌）,
誓言之證,材料,武器,,,配方材料（斧）；配方材料（弓）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）,
金條,材料,武器,,,配方材料（劍）；配方材料（斧）；配方材料（槍）；配方材料（弓）；配方材料（杖）；配方材料（投擲武器）；配方材料（小刀）；配方材料（頭盔）；配方材料（鎧甲）；配方材料（衣服）；配方材料（長袍）；配方材料（靴子）；配方材料（鞋子）；配方材料（盾牌）,
