技能,適用,等級,魔力消耗,成功率倍率,作用範圍,效果,學習資訊
潔淨魔法,人物,7,40,,,30%概率恢復全體異常狀態,
潔淨魔法,人物,8,60,,,60%概率恢復全體異常狀態,
潔淨魔法,人物,9,80,,,90%概率恢復全體異常狀態,
潔淨魔法,人物,10,100,,,大於90%概率恢復全體異常狀態,
恢復魔法,人物,1,15,,,單體6回合行動時恢復「回復*20%」的生命力,
恢復魔法,人物,2,30,,,單體6回合行動時恢復「回復*40%」的生命力,
恢復魔法,人物,3,45,,,單體6回合行動時恢復「回復*60%」的生命力,
恢復魔法,人物,4,60,,,單體6回合行動時恢復「回復*80%」的生命力,
恢復魔法,人物,5,75,,,單體6回合行動時恢復「回復*100%」的生命力,
恢復魔法,人物,6,90,,,單體6回合行動時恢復「回復*120%」的生命力,
恢復魔法,人物,7,105,,,單體6回合行動時恢復「回復*140%」的生命力,
恢復魔法,人物,8,120,,,單體6回合行動時恢復「回復*160%」的生命力,
恢復魔法,人物,9,135,,,單體6回合行動時恢復「回復*180%」的生命力,
恢復魔法,人物,10,150,,,單體6回合行動時恢復「回復*200%」的生命力,
恢復魔法,人物,11,165,,,單體6回合行動時恢復「回復*220%」的生命力（推估）,
恢復魔法,人物,12,180,,,單體6回合行動時恢復「回復*240%」的生命力（推估）,
強力恢復魔法,人物,1,18,,,1~4體6回合行動時恢復「回復*12%」的生命力,
強力恢復魔法,人物,2,36,,,1~4體6回合行動時恢復「回復*24%」的生命力,
強力恢復魔法,人物,3,54,,,1~4體6回合行動時恢復「回復*36%」的生命力,
強力恢復魔法,人物,4,72,,,1~4體6回合行動時恢復「回復*48%」的生命力,
強力恢復魔法,人物,5,90,,,1~4體6回合行動時恢復「回復*60%」的生命力,
強力恢復魔法,人物,6,108,,,1~4體6回合行動時恢復「回復*72%」的生命力,
強力恢復魔法,人物,7,126,,,1~4體6回合行動時恢復「回復*84%」的生命力,
強力恢復魔法,人物,8,144,,,1~4體6回合行動時恢復「回復*96%」的生命力,
強力恢復魔法,人物,9,162,,,1~4體6回合行動時恢復「回復*108%」的生命力,
強力恢復魔法,人物,10,180,,,1~4體6回合行動時恢復「回復*120%」的生命力,
強力恢復魔法,人物,11,198,,,1~4體6回合行動時恢復「回復*132%」的生命力（推估）,
強力恢復魔法,人物,12,216,,,1~4體6回合行動時恢復「回復*144%」的生命力（推估）,
超強恢復魔法,人物,1,24,,,全體6回合行動時恢復「回復*8%」的生命力,
超強恢復魔法,人物,2,48,,,全體6回合行動時恢復「回復*16%」的生命力,
超強恢復魔法,人物,3,72,,,全體6回合行動時恢復「回復*24%」的生命力,
超強恢復魔法,人物,4,96,,,全體6回合行動時恢復「回復*32%」的生命力,
超強恢復魔法,人物,5,120,,,全體6回合行動時恢復「回復*40%」的生命力,
超強恢復魔法,人物,6,144,,,全體6回合行動時恢復「回復*48%」的生命力,
超強恢復魔法,人物,7,168,,,全體6回合行動時恢復「回復*56%」的生命力,
超強恢復魔法,人物,8,192,,,全體6回合行動時恢復「回復*64%」的生命力,
超強恢復魔法,人物,9,216,,,全體6回合行動時恢復「回復*72%」的生命力,
超強恢復魔法,人物,10,240,,,全體6回合行動時恢復「回復*80%」的生命力,
超強恢復魔法,人物,11,264,,,全體6回合行動時恢復「回復*88%」的生命力（推估）,
超強恢復魔法,人物,12,288,,,全體6回合行動時恢復「回復*96%」的生命力（推估）,
攻擊吸收,人物,1,20,,,單體2次行動間處於物理攻擊吸收1回合狀態,
攻擊吸收,人物,2,30,,,單體3次行動間處於物理攻擊吸收1回合狀態,
攻擊吸收,人物,3,40,,,單體3次行動間處於物理攻擊吸收1回合狀態,
攻擊吸收,人物,4,50,,,單體4次行動間處於物理攻擊吸收1回合狀態,
攻擊吸收,人物,5,60,,,單體4次行動間處於物理攻擊吸收1回合狀態,
攻擊吸收,人物,6,70,,,單體5次行動間處於物理攻擊吸收1回合狀態,
攻擊吸收,人物,7,80,,,單體5次行動間處於物理攻擊吸收1回合狀態,
攻擊吸收,人物,8,90,,,單體6次行動間處於物理攻擊吸收1回合狀態,
攻擊吸收,人物,9,100,,,單體6次行動間處於物理攻擊吸收1回合狀態,
攻擊吸收,人物,10,110,,,單體7次行動間處於物理攻擊吸收1回合狀態,
攻擊吸收,人物,11,120,,,單體8次行動間處於物理攻擊吸收1回合狀態（推估）,
攻擊吸收,人物,12,130,,,單體9次行動間處於物理攻擊吸收1回合狀態（推估）,
魔法吸收,人物,1,20,,,單體2次行動間處於魔法吸收1回合狀態,
魔法吸收,人物,2,30,,,單體3次行動間處於魔法吸收1回合狀態,
魔法吸收,人物,3,40,,,單體3次行動間處於魔法吸收1回合狀態,
魔法吸收,人物,4,50,,,單體4次行動間處於魔法吸收1回合狀態,
魔法吸收,人物,5,60,,,單體4次行動間處於魔法吸收1回合狀態,
魔法吸收,人物,6,70,,,單體5次行動間處於魔法吸收1回合狀態,
魔法吸收,人物,7,80,,,單體5次行動間處於魔法吸收1回合狀態,
魔法吸收,人物,8,90,,,單體6次行動間處於魔法吸收1回合狀態,
魔法吸收,人物,9,100,,,單體6次行動間處於魔法吸收1回合狀態,
魔法吸收,人物,10,110,,,單體7次行動間處於魔法吸收1回合狀態,
魔法吸收,人物,11,120,,,單體8次行動間處於魔法吸收1回合狀態（推估）,
魔法吸收,人物,12,130,,,單體9次行動間處於魔法吸收1回合狀態（推估）,
攻擊反彈,人物,1,20,,,單體2次行動間處於物理攻擊反彈1回合狀態,
攻擊反彈,人物,2,30,,,單體3次行動間處於物理攻擊反彈1回合狀態,
攻擊反彈,人物,3,40,,,單體3次行動間處於物理攻擊反彈1回合狀態,
攻擊反彈,人物,4,50,,,單體4次行動間處於物理攻擊反彈1回合狀態,
攻擊反彈,人物,5,60,,,單體4次行動間處於物理攻擊反彈1回合狀態,
攻擊反彈,人物,6,70,,,單體5次行動間處於物理攻擊反彈1回合狀態,
攻擊反彈,人物,7,80,,,單體5次行動間處於物理攻擊反彈1回合狀態,
攻擊反彈,人物,8,90,,,單體6次行動間處於物理攻擊反彈1回合狀態,
攻擊反彈,人物,9,100,,,單體6次行動間處於物理攻擊反彈1回合狀態,
攻擊反彈,人物,10,110,,,單體7次行動間處於物理攻擊反彈1回合狀態,
攻擊反彈,人物,11,120,,,單體8次行動間處於物理攻擊反彈1回合狀態（推估）,
攻擊反彈,人物,12,130,,,單體9次行動間處於物理攻擊反彈1回合狀態（推估）,
魔法反彈,人物,1,20,,,單體2次行動間處於魔法反彈1回合狀態,
魔法反彈,人物,2,30,,,單體3次行動間處於魔法反彈1回合狀態,
魔法反彈,人物,3,40,,,單體3次行動間處於魔法反彈1回合狀態,
魔法反彈,人物,4,50,,,單體4次行動間處於魔法反彈1回合狀態,
魔法反彈,人物,5,60,,,單體4次行動間處於魔法反彈1回合狀態,
魔法反彈,人物,6,70,,,單體5次行動間處於魔法反彈1回合狀態,
魔法反彈,人物,7,80,,,單體5次行動間處於魔法反彈1回合狀態,
魔法反彈,人物,8,90,,,單體6次行動間處於魔法反彈1回合狀態,
魔法反彈,人物,9,100,,,單體6次行動間處於魔法反彈1回合狀態,
魔法反彈,人物,10,110,,,單體7次行動間處於魔法反彈1回合狀態,
魔法反彈,人物,11,120,,,單體8次行動間處於魔法反彈1回合狀態（推估）,
魔法反彈,人物,12,130,,,單體9次行動間處於魔法反彈1回合狀態（推估）,
攻擊無效,人物,1,20,,,單體2次行動間處於物理攻擊無效2回合狀態,
攻擊無效,人物,2,30,,,單體3次行動間處於物理攻擊無效2回合狀態,
攻擊無效,人物,3,40,,,單體3次行動間處於物理攻擊無效2回合狀態,
攻擊無效,人物,4,50,,,單體4次行動間處於物理攻擊無效2回合狀態,
攻擊無效,人物,5,60,,,單體4次行動間處於物理攻擊無效2回合狀態,
攻擊無效,人物,6,70,,,單體5次行動間處於物理攻擊無效2回合狀態,
攻擊無效,人物,7,80,,,單體5次行動間處於物理攻擊無效2回合狀態,
攻擊無效,人物,8,90,,,單體6次行動間處於物理攻擊無效2回合狀態,
攻擊無效,人物,9,100,,,單體6次行動間處於物理攻擊無效2回合狀態,
攻擊無效,人物,10,110,,,單體7次行動間處於物理攻擊無效2回合狀態,
攻擊無效,人物,11,120,,,單體8次行動間處於物理攻擊無效2回合狀態（推估）,
攻擊無效,人物,12,130,,,單體9次行動間處於物理攻擊無效2回合狀態（推估）,
魔法無效,人物,1,20,,,單體2次行動間處於魔法攻擊無效2回合狀態,
魔法無效,人物,2,30,,,單體3次行動間處於魔法攻擊無效2回合狀態,
魔法無效,人物,3,40,,,單體3次行動間處於魔法攻擊無效2回合狀態,
魔法無效,人物,4,50,,,單體4次行動間處於魔法攻擊無效2回合狀態,
魔法無效,人物,5,60,,,單體4次行動間處於魔法攻擊無效2回合狀態,
魔法無效,人物,6,70,,,單體5次行動間處於魔法攻擊無效2回合狀態,
魔法無效,人物,7,80,,,單體5次行動間處於魔法攻擊無效2回合狀態,
魔法無效,人物,8,90,,,單體6次行動間處於魔法攻擊無效2回合狀態,
魔法無效,人物,9,100,,,單體6次行動間處於魔法攻擊無效2回合狀態,
魔法無效,人物,10,110,,,單體7次行動間處於魔法攻擊無效2回合狀態,
魔法無效,人物,11,120,,,單體8次行動間處於魔法攻擊無效2回合狀態（推估）,
魔法無效,人物,12,130,,,單體9次行動間處於魔法攻擊無效2回合狀態（推估）,
鑑定,人物,1,10,,,可以鑑定等級1的不明道具,
鑑定,人物,2,20,,,可以鑑定等級2的不明道具,
鑑定,人物,3,30,,,可以鑑定等級3的不明道具,
鑑定,人物,4,40,,,可以鑑定等級4的不明道具,
鑑定,人物,5,50,,,可以鑑定等級5的不明道具,
鑑定,人物,6,60,,,可以鑑定等級6的不明道具,
鑑定,人物,7,70,,,可以鑑定等級7的不明道具,
鑑定,人物,8,80,,,可以鑑定等級8的不明道具,
鑑定,人物,9,90,,,可以鑑定等級9的不明道具,
鑑定,人物,10,100,,,可以鑑定等級10的不明道具,
鑑定,人物,11,110,,,可以鑑定等級11的不明道具（推估）,
鑑定,人物,12,120,,,可以鑑定等級12的不明道具（推估）,
治療,人物,1,30,,,可以治療相應階段的傷勢,
治療,人物,2,35,,,可以治療相應階段的傷勢,
治療,人物,3,40,,,可以治療相應階段的傷勢,
治療,人物,4,45,,,可以治療相應階段的傷勢,
治療,人物,5,50,,,可以治療相應階段的傷勢,
治療,人物,6,55,,,可以治療相應階段的傷勢,
治療,人物,7,60,,,可以治療相應階段的傷勢,
治療,人物,8,65,,,可以治療相應階段的傷勢,
治療,人物,9,70,,,可以治療相應階段的傷勢,
治療,人物,10,80,,,可以治療相應階段的傷勢,
治療,人物,11,90,,,可以治療相應階段的傷勢（推估）,
治療,人物,12,100,,,可以治療相應階段的傷勢（推估）,
急救,人物,1,10,,,回復對象約30的生命力,
急救,人物,2,17,,,回復對象約60的生命力,
急救,人物,3,24,,,回復對象約100的生命力,
急救,人物,4,20,,,回復對象約100的生命力,
急救,人物,5,35,,,回復對象約200的生命力,
急救,人物,6,40,,,回復對象約270的生命力,
急救,人物,7,40,,,回復對象約310的生命力,
急救,人物,8,45,,,回復對象約430的生命力,
急救,人物,9,45,,,回復對象約585的生命力,
急救,人物,10,50,,,回復對象約900的生命力,
急救,人物,11,55,,,回復對象約1215的生命力（推估）,
急救,人物,12,60,,,回復對象約1530的生命力（推估）,
調教,人物,1,,,,等級10以下的寵物忠誠提升，寵物使用技能消耗魔力減少,
調教,人物,2,,,,等級20以下的寵物忠誠提升，寵物使用技能消耗魔力減少,
調教,人物,3,,,,等級30以下的寵物忠誠提升，寵物使用技能消耗魔力減少,
調教,人物,4,,,,等級40以下的寵物忠誠提升，寵物使用技能消耗魔力減少,
調教,人物,5,,,,等級50以下的寵物忠誠提升，寵物使用技能消耗魔力減少,
調教,人物,6,,,,等級60以下的寵物忠誠提升，寵物使用技能消耗魔力減少,
調教,人物,7,,,,等級70以下的寵物忠誠提升，寵物使用技能消耗魔力減少,
調教,人物,8,,,,等級80以下的寵物忠誠提升，寵物使用技能消耗魔力減少,
調教,人物,9,,,,等級90以下的寵物忠誠提升，寵物使用技能消耗魔力減少,
調教,人物,10,,,,等級100以下的寵物忠誠提升，寵物使用技能消耗魔力減少,
調教,人物,11,,,,等級110以下的寵物忠誠提升，寵物使用技能消耗魔力減少（推估）,
調教,人物,12,,,,等級120以下的寵物忠誠提升，寵物使用技能消耗魔力減少（推估）,
刻印,人物,1,10,,,在道具上刻下想要的字,
武器修理,人物,1,10,,,可以修理等級1的武器,
武器修理,人物,2,20,,,可以修理等級2的武器,
武器修理,人物,3,30,,,可以修理等級3的武器,
武器修理,人物,4,40,,,可以修理等級4的武器,
武器修理,人物,5,50,,,可以修理等級5的武器,
武器修理,人物,6,60,,,可以修理等級6的武器,
武器修理,人物,7,70,,,可以修理等級7的武器,
武器修理,人物,8,80,,,可以修理等級8的武器,
武器修理,人物,9,90,,,可以修理等級9的武器,
武器修理,人物,10,100,,,可以修理等級10的武器,
武器修理,人物,11,110,,,可以修理等級11的武器（推估）,
武器修理,人物,12,120,,,可以修理等級12的武器（推估）,
防具修理,人物,1,10,,,可以修理等級1的防具,
防具修理,人物,2,20,,,可以修理等級2的防具,
防具修理,人物,3,30,,,可以修理等級3的防具,
防具修理,人物,4,40,,,可以修理等級4的防具,
防具修理,人物,5,50,,,可以修理等級5的防具,
防具修理,人物,6,60,,,可以修理等級6的防具,
防具修理,人物,7,70,,,可以修理等級7的防具,
防具修理,人物,8,80,,,可以修理等級8的防具,
防具修理,人物,9,90,,,可以修理等級9的防具,
防具修理,人物,10,100,,,可以修理等級10的防具,
防具修理,人物,11,110,,,可以修理等級11的防具（推估）,
防具修理,人物,12,120,,,可以修理等級12的防具（推估）,
寵物強化,人物,1,,,,寵物經驗值取得上升4%,
寵物強化,人物,2,,,,寵物經驗值取得上升8%,
寵物強化,人物,3,,,,寵物經驗值取得上升12%,
寵物強化,人物,4,,,,寵物經驗值取得上升16%,
寵物強化,人物,5,,,,寵物經驗值取得上升20%,
寵物強化,人物,6,,,,寵物經驗值取得上升24%,
寵物強化,人物,7,,,,寵物經驗值取得上升28%,
寵物強化,人物,8,,,,寵物經驗值取得上升32%,
寵物強化,人物,9,,,,寵物經驗值取得上升36%,
寵物強化,人物,10,,,,寵物經驗值取得上升40%,
寵物強化,人物,11,,,,寵物經驗值取得上升44%（推估）,
寵物強化,人物,12,,,,寵物經驗值取得上升48%（推估）,
精靈的盟約,人物,1,,,,封印成功率上升,
精靈的盟約,人物,2,,,,封印成功率上升,
精靈的盟約,人物,3,,,,封印成功率上升,
精靈的盟約,人物,4,,,,封印成功率上升,
精靈的盟約,人物,5,,,,封印成功率上升,
精靈的盟約,人物,6,,,,封印成功率上升,
精靈的盟約,人物,7,,,,封印成功率上升,
精靈的盟約,人物,8,,,,封印成功率上升,
精靈的盟約,人物,9,,,,封印成功率上升,
精靈的盟約,人物,10,,,,封印成功率上升,
伐木體驗,人物,1,1,,,能砍到竹子和孟宗竹,
狩獵體驗,人物,1,1,,,能獵到鹿皮和傳說中的鹿皮,
挖掘體驗,人物,1,1,,,能挖到銅及碎石頭,
鍛造體驗,人物,1,1,,,可以製作最基本的武器及防具，體驗生產物品的滋味,
伐木,人物,1,1,,,由原野取得香草、樹木取得木材的技能,
伐木,人物,2,1,,,由原野取得香草、樹木取得木材的技能,
伐木,人物,3,1,,,由原野取得香草、樹木取得木材的技能,
伐木,人物,4,1,,,由原野取得香草、樹木取得木材的技能,
伐木,人物,5,1,,,由原野取得香草、樹木取得木材的技能,
伐木,人物,6,1,,,由原野取得香草、樹木取得木材的技能,
伐木,人物,7,1,,,由原野取得香草、樹木取得木材的技能,
伐木,人物,8,1,,,由原野取得香草、樹木取得木材的技能,
伐木,人物,9,1,,,由原野取得香草、樹木取得木材的技能,
伐木,人物,10,1,,,由原野取得香草、樹木取得木材的技能,
伐木,人物,11,1,,,由原野取得香草、樹木取得木材的技能（推估）,
伐木,人物,12,1,,,由原野取得香草、樹木取得木材的技能（推估）,
狩獵,人物,1,1,,,能捕獲到動物的皮和肉，由草原取得食材,
狩獵,人物,2,1,,,能捕獲到動物的皮和肉，由草原取得食材,
狩獵,人物,3,1,,,能捕獲到動物的皮和肉，由草原取得食材,
狩獵,人物,4,1,,,能捕獲到動物的皮和肉，由草原取得食材,
狩獵,人物,5,1,,,能捕獲到動物的皮和肉，由草原取得食材,
狩獵,人物,6,1,,,能捕獲到動物的皮和肉，由草原取得食材,
狩獵,人物,7,1,,,能捕獲到動物的皮和肉，由草原取得食材,
狩獵,人物,8,1,,,能捕獲到動物的皮和肉，由草原取得食材,
狩獵,人物,9,1,,,能捕獲到動物的皮和肉，由草原取得食材,
狩獵,人物,10,1,,,能捕獲到動物的皮和肉，由草原取得食材,
狩獵,人物,11,1,,,能捕獲到動物的皮和肉，由草原取得食材（推估）,
狩獵,人物,12,1,,,能捕獲到動物的皮和肉，由草原取得食材（推估）,
挖掘,人物,1,1,,,能在礦坑中取得礦石的技能,
挖掘,人物,2,1,,,能在礦坑中取得礦石的技能,
挖掘,人物,3,1,,,能在礦坑中取得礦石的技能,
挖掘,人物,4,1,,,能在礦坑中取得礦石的技能,
挖掘,人物,5,1,,,能在礦坑中取得礦石的技能,
挖掘,人物,6,1,,,能在礦坑中取得礦石的技能,
挖掘,人物,7,1,,,能在礦坑中取得礦石的技能,
挖掘,人物,8,1,,,能在礦坑中取得礦石的技能,
挖掘,人物,9,1,,,能在礦坑中取得礦石的技能,
挖掘,人物,10,1,,,能在礦坑中取得礦石的技能,
挖掘,人物,11,1,,,能在礦坑中取得礦石的技能（推估）,
挖掘,人物,12,1,,,能在礦坑中取得礦石的技能（推估）,
製藥,人物,1,依等級提升變化所需魔力,,,製作等級1級的藥品,
製藥,人物,2,依等級提升變化所需魔力,,,製作等級2級的藥品,
製藥,人物,3,依等級提升變化所需魔力,,,製作等級3級的藥品,
製藥,人物,4,依等級提升變化所需魔力,,,製作等級4級的藥品,
製藥,人物,5,依等級提升變化所需魔力,,,製作等級5級的藥品,
製藥,人物,6,依等級提升變化所需魔力,,,製作等級6級的藥品,
製藥,人物,7,依等級提升變化所需魔力,,,製作等級7級的藥品,
製藥,人物,8,依等級提升變化所需魔力,,,製作等級8級的藥品,
製藥,人物,9,依等級提升變化所需魔力,,,製作等級9級的藥品,
製藥,人物,10,依等級提升變化所需魔力,,,製作等級10級的藥品,
製藥,人物,11,依等級提升變化所需魔力,,,製作等級11級的藥品（推估）,
製藥,人物,12,依等級提升變化所需魔力,,,製作等級12級的藥品（推估）,
料理,人物,1,依等級提升變化所需魔力,,,製作等級1級的料理,
料理,人物,2,依等級提升變化所需魔力,,,製作等級2級的料理,
料理,人物,3,依等級提升變化所需魔力,,,製作等級3級的料理,
料理,人物,4,依等級提升變化所需魔力,,,製作等級4級的料理,
料理,人物,5,依等級提升變化所需魔力,,,製作等級5級的料理,
料理,人物,6,依等級提升變化所需魔力,,,製作等級6級的料理,
料理,人物,7,依等級提升變化所需魔力,,,製作等級7級的料理,
料理,人物,8,依等級提升變化所需魔力,,,製作等級8級的料理,
料理,人物,9,依等級提升變化所需魔力,,,製作等級9級的料理,
料理,人物,10,依等級提升變化所需魔力,,,製作等級10級的料理,
料理,人物,11,依等級提升變化所需魔力,,,製作等級11級的料理（推估）,
料理,人物,12,依等級提升變化所需魔力,,,製作等級12級的料理（推估）,
鑄劍,人物,1,依等級提升變化所需魔力,,,可以製作等級1的劍,
鑄劍,人物,2,依等級提升變化所需魔力,,,可以製作等級2的劍,
鑄劍,人物,3,依等級提升變化所需魔力,,,可以製作等級3的劍,
鑄劍,人物,4,依等級提升變化所需魔力,,,可以製作等級4的劍,
鑄劍,人物,5,依等級提升變化所需魔力,,,可以製作等級5的劍,
鑄劍,人物,6,依等級提升變化所需魔力,,,可以製作等級6的劍,
鑄劍,人物,7,依等級提升變化所需魔力,,,可以製作等級7的劍,
鑄劍,人物,8,依等級提升變化所需魔力,,,可以製作等級8的劍,
鑄劍,人物,9,依等級提升變化所需魔力,,,可以製作等級9的劍,
鑄劍,人物,10,依等級提升變化所需魔力,,,可以製作等級10的劍,
鑄劍,人物,11,依等級提升變化所需魔力,,,可以製作等級11的劍（推估）,
鑄劍,人物,12,依等級提升變化所需魔力,,,可以製作等級12的劍（推估）,
造槍,人物,1,依等級提升變化所需魔力,,,可以製作等級1的槍,
造槍,人物,2,依等級提升變化所需魔力,,,可以製作等級2的槍,
造槍,人物,3,依等級提升變化所需魔力,,,可以製作等級3的槍,
造槍,人物,4,依等級提升變化所需魔力,,,可以製作等級4的槍,
造槍,人物,5,依等級提升變化所需魔力,,,可以製作等級5的槍,
造槍,人物,6,依等級提升變化所需魔力,,,可以製作等級6的槍,
造槍,人物,7,依等級提升變化所需魔力,,,可以製作等級7的槍,
造槍,人物,8,依等級提升變化所需魔力,,,可以製作等級8的槍,
造槍,人物,9,依等級提升變化所需魔力,,,可以製作等級9的槍,
造槍,人物,10,依等級提升變化所需魔力,,,可以製作等級10的槍,
造槍,人物,11,依等級提升變化所需魔力,,,可以製作等級11的槍（推估）,
造槍,人物,12,依等級提升變化所需魔力,,,可以製作等級12的槍（推估）,
造斧,人物,1,依等級提升變化所需魔力,,,可以製作等級1的斧,
造斧,人物,2,依等級提升變化所需魔力,,,可以製作等級2的斧,
造斧,人物,3,依等級提升變化所需魔力,,,可以製作等級3的斧,
造斧,人物,4,依等級提升變化所需魔力,,,可以製作等級4的斧,
造斧,人物,5,依等級提升變化所需魔力,,,可以製作等級5的斧,
造斧,人物,6,依等級提升變化所需魔力,,,可以製作等級6的斧,
造斧,人物,7,依等級提升變化所需魔力,,,可以製作等級7的斧,
造斧,人物,8,依等級提升變化所需魔力,,,可以製作等級8的斧,
造斧,人物,9,依等級提升變化所需魔力,,,可以製作等級9的斧,
造斧,人物,10,依等級提升變化所需魔力,,,可以製作等級10的斧,
造斧,人物,11,依等級提升變化所需魔力,,,可以製作等級11的斧（推估）,
造斧,人物,12,依等級提升變化所需魔力,,,可以製作等級12的斧（推估）,
造杖,人物,1,依等級提升變化所需魔力,,,可以製作等級1的杖,
造杖,人物,2,依等級提升變化所需魔力,,,可以製作等級2的杖,
造杖,人物,3,依等級提升變化所需魔力,,,可以製作等級3的杖,
造杖,人物,4,依等級提升變化所需魔力,,,可以製作等級4的杖,
造杖,人物,5,依等級提升變化所需魔力,,,可以製作等級5的杖,
造杖,人物,6,依等級提升變化所需魔力,,,可以製作等級6的杖,
造杖,人物,7,依等級提升變化所需魔力,,,可以製作等級7的杖,
造杖,人物,8,依等級提升變化所需魔力,,,可以製作等級8的杖,
造杖,人物,9,依等級提升變化所需魔力,,,可以製作等級9的杖,
造杖,人物,10,依等級提升變化所需魔力,,,可以製作等級10的杖,
造杖,人物,11,依等級提升變化所需魔力,,,可以製作等級11的杖（推估）,
造杖,人物,12,依等級提升變化所需魔力,,,可以製作等級12的杖（推估）,
造弓,人物,1,依等級提升變化所需魔力,,,可以製作等級1的弓,
造弓,人物,2,依等級提升變化所需魔力,,,可以製作等級2的弓,
造弓,人物,3,依等級提升變化所需魔力,,,可以製作等級3的弓,
造弓,人物,4,依等級提升變化所需魔力,,,可以製作等級4的弓,
造弓,人物,5,依等級提升變化所需魔力,,,可以製作等級5的弓,
造弓,人物,6,依等級提升變化所需魔力,,,可以製作等級6的弓,
造弓,人物,7,依等級提升變化所需魔力,,,可以製作等級7的弓,
造弓,人物,8,依等級提升變化所需魔力,,,可以製作等級8的弓,
造弓,人物,9,依等級提升變化所需魔力,,,可以製作等級9的弓,
造弓,人物,10,依等級提升變化所需魔力,,,可以製作等級10的弓,
造弓,人物,11,依等級提升變化所需魔力,,,可以製作等級11的弓（推估）,
造弓,人物,12,依等級提升變化所需魔力,,,可以製作等級12的弓（推估）,
造小刀,人物,1,依等級提升變化所需魔力,,,可以製作等級1的小刀,
造小刀,人物,2,依等級提升變化所需魔力,,,可以製作等級2的小刀,
造小刀,人物,3,依等級提升變化所需魔力,,,可以製作等級3的小刀,
造小刀,人物,4,依等級提升變化所需魔力,,,可以製作等級4的小刀,
造小刀,人物,5,依等級提升變化所需魔力,,,可以製作等級5的小刀,
造小刀,人物,6,依等級提升變化所需魔力,,,可以製作等級6的小刀,
造小刀,人物,7,依等級提升變化所需魔力,,,可以製作等級7的小刀,
造小刀,人物,8,依等級提升變化所需魔力,,,可以製作等級8的小刀,
造小刀,人物,9,依等級提升變化所需魔力,,,可以製作等級9的小刀,
造小刀,人物,10,依等級提升變化所需魔力,,,可以製作等級10的小刀,
造小刀,人物,11,依等級提升變化所需魔力,,,可以製作等級11的小刀（推估）,
造小刀,人物,12,依等級提升變化所需魔力,,,可以製作等級12的小刀（推估）,
造投擲武器,人物,1,依等級提升變化所需魔力,,,可以製作等級1的投擲武器,
造投擲武器,人物,2,依等級提升變化所需魔力,,,可以製作等級2的投擲武器,
造投擲武器,人物,3,依等級提升變化所需魔力,,,可以製作等級3的投擲武器,
造投擲武器,人物,4,依等級提升變化所需魔力,,,可以製作等級4的投擲武器,
造投擲武器,人物,5,依等級提升變化所需魔力,,,可以製作等級5的投擲武器,
造投擲武器,人物,6,依等級提升變化所需魔力,,,可以製作等級6的投擲武器,
造投擲武器,人物,7,依等級提升變化所需魔力,,,可以製作等級7的投擲武器,
造投擲武器,人物,8,依等級提升變化所需魔力,,,可以製作等級8的投擲武器,
造投擲武器,人物,9,依等級提升變化所需魔力,,,可以製作等級9的投擲武器,
造投擲武器,人物,10,依等級提升變化所需魔力,,,可以製作等級10的投擲武器,
造投擲武器,人物,11,依等級提升變化所需魔力,,,可以製作等級11的投擲武器（推估）,
造投擲武器,人物,12,依等級提升變化所需魔力,,,可以製作等級12的投擲武器（推估）,
造頭盔,人物,1,依等級提升變化所需魔力,,,可以製作等級1的頭盔,
造頭盔,人物,2,依等級提升變化所需魔力,,,可以製作等級2的頭盔,
造頭盔,人物,3,依等級提升變化所需魔力,,,可以製作等級3的頭盔,
造頭盔,人物,4,依等級提升變化所需魔力,,,可以製作等級4的頭盔,
造頭盔,人物,5,依等級提升變化所需魔力,,,可以製作等級5的頭盔,
造頭盔,人物,6,依等級提升變化所需魔力,,,可以製作等級6的頭盔,
造頭盔,人物,7,依等級提升變化所需魔力,,,可以製作等級7的頭盔,
造頭盔,人物,8,依等級提升變化所需魔力,,,可以製作等級8的頭盔,
造頭盔,人物,9,依等級提升變化所需魔力,,,可以製作等級9的頭盔,
造頭盔,人物,10,依等級提升變化所需魔力,,,可以製作等級10的頭盔,
造頭盔,人物,11,依等級提升變化所需魔力,,,可以製作等級11的頭盔（推估）,
造頭盔,人物,12,依等級提升變化所需魔力,,,可以製作等級12的頭盔（推估）,
造帽子,人物,1,依等級提升變化所需魔力,,,可以製作等級1的帽子,
造帽子,人物,2,依等級提升變化所需魔力,,,可以製作等級2的帽子,
造帽子,人物,3,依等級提升變化所需魔力,,,可以製作等級3的帽子,
造帽子,人物,4,依等級提升變化所需魔力,,,可以製作等級4的帽子,
造帽子,人物,5,依等級提升變化所需魔力,,,可以製作等級5的帽子,
造帽子,人物,6,依等級提升變化所需魔力,,,可以製作等級6的帽子,
造帽子,人物,7,依等級提升變化所需魔力,,,可以製作等級7的帽子,
造帽子,人物,8,依等級提升變化所需魔力,,,可以製作等級8的帽子,
造帽子,人物,9,依等級提升變化所需魔力,,,可以製作等級9的帽子,
造帽子,人物,10,依等級提升變化所需魔力,,,可以製作等級10的帽子,
造帽子,人物,11,依等級提升變化所需魔力,,,可以製作等級11的帽子（推估）,
造帽子,人物,12,依等級提升變化所需魔力,,,可以製作等級12的帽子（推估）,
造鎧甲,人物,1,依等級提升變化所需魔力,,,可以製作等級1的鎧甲,
造鎧甲,人物,2,依等級提升變化所需魔力,,,可以製作等級2的鎧甲,
