名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,技能,image,任務用途,新聞來源
光精靈,特殊系,19,6,12,45,43,,125,風10,攻擊、防禦,,,mlbb_news_10324.txt
天空元素使,特殊系,17,4,4,50,50,,125,風10,攻擊、防禦,,,mlbb_news_10324.txt
綠茶麻薯兔兔,特殊系,21,9,33,20,40,,123,地9風1,攻擊、防禦,,,mlbb_news_10334.txt
芋泥麻薯兔兔,特殊系,33,9,20,21,40,,123,地1水9,攻擊、防禦,,,mlbb_news_10334.txt
紅豆麻薯兔兔,特殊系,33,40,20,21,9,,123,水1火9,攻擊、防禦,,,mlbb_news_10334.txt
花生麻薯兔兔,特殊系,40,33,21,20,9,,123,火1風9,攻擊、防禦,,,mlbb_news_10334.txt
皎月之靈,人形系,20,8,13,34,50,,125,地5水5,攻擊、防禦,,,mlbb_news_10334.txt
暗月之靈,人形系,29,50,12,26,8,,125,火5風5,攻擊、防禦,,,mlbb_news_10334.txt
皎月公主,人形系,16,6,13,40,50,,125,地5水5,攻擊、防禦,,,mlbb_news_10334.txt
青蓮仙鳳,飛行系,14,6,15,45,45,,125,地5水5,攻擊、防禦,,,mlbb_news_10344.txt
黃金巨龍,龍系,39,6,12,19,49,,125,風10,攻擊、防禦,,,mlbb_news_10344.txt
暗裔龍王,龍系,26,50,15,28,6,,125,風5地5,攻擊、防禦,,,mlbb_news_10344.txt
閃光魷魚王,特殊系,30,52,15,22,6,,125,火10,攻擊、防禦,,,mlbb_news_10344.txt
雷伊,飛行系,23,10,28,20,44,,125,地10,攻擊、防禦,,,mlbb_news_10344.txt
海賊王,人形系,33,52,12,22,6,,125,水5火5,攻擊、防禦,,,mlbb_news_10344.txt
魯帕斯,野獸系,18,10,17,37,43,,125,地7水3,攻擊、防禦,,,mlbb_news_10344.txt
雛龍,龍系,12,32,22,22,27,,115,水5火5,攻擊、防禦,,,mlbb_news_10344.txt
戰爭女神,飛行系,32,8,17,22,46,,125,水6火4,攻擊、防禦,,,mlbb_news_10364.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_10364.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_10364.txt
和馬,人形系,21,33,25,31,16,,125,水5火5,攻擊、防禦,,,mlbb_news_10404.txt
武士和馬,人形系,18,42,12,47,6,,125,水5火5,攻擊、防禦,,,mlbb_news_10404.txt
勝利之翼,飛行系,29,50,13,25,8,,125,風1地9,攻擊、防禦,,,mlbb_news_10424.txt
諾爾特神鷹,飛行系,15,6,13,48,43,,125,地1水9,攻擊、防禦,,,mlbb_news_10424.txt
機甲D4型,金屬系,35,43,19,20,8,,125,水10,攻擊、防禦,,,mlbb_news_10424.txt
板龍,金屬系,32,12,27,15,39,,125,火10,攻擊、防禦,,,mlbb_news_10424.txt
牛頭狂戰士,不死系,25,44,20,30,6,,125,風1地9,攻擊、防禦,,,mlbb_news_10434.txt
死神格雷爾,不死系,27,40,24,19,10,,120,風10,攻擊、防禦,,,mlbb_news_10434.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_10434.txt
假面騎士,不死系,20,40,17,40,8,,125,地10,攻擊、防禦,,,mlbb_news_10474.txt
萬聖假面,不死系,35,10,16,19,45,,125,地9水1,攻擊、防禦,,,mlbb_news_10474.txt
改造暗黑僧侶,不死系,38,44,17,16,10,,125,水10,攻擊、防禦,,,mlbb_news_10474.txt
改造斬首者,不死系,16,38,17,44,10,,125,火10,攻擊、防禦,,,mlbb_news_10474.txt
改造冥界死神,不死系,16,10,17,38,44,,125,風10,攻擊、防禦,,,mlbb_news_10474.txt
古代白櫻長老,植物系,38,6,17,18,46,,125,地3水7,攻擊、防禦,,,mlbb_news_10524.txt
地鈴花妖,植物系,27,12,14,32,35,,120,風4地6,攻擊、防禦,,,mlbb_news_10524.txt
水鈴花妖,植物系,32,35,14,27,12,,120,地4水6,攻擊、防禦,,,mlbb_news_10524.txt
火鈴花妖,植物系,35,14,32,27,12,,120,水4火6,攻擊、防禦,,,mlbb_news_10524.txt
風鈴花妖,植物系,32,12,14,27,35,,120,火4風6,攻擊、防禦,,,mlbb_news_10524.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_10524.txt
牛丸,金屬系,25,25,25,25,25,,125,風2地8,攻擊、防禦,,,mlbb_news_10534.txt
石像魔王,飛行系,12,36,13,18,46,,125,風1地9,攻擊、防禦,,,mlbb_news_10534.txt
血腥魔刃,金屬系,14,6,31,34,40,,125,地9水1,攻擊、防禦,,,mlbb_news_10534.txt
深淵石像魔王,飛行系,18,40,15,46,6,,125,風1地9,攻擊、防禦,,,mlbb_news_10534.txt
血腥流刃,金屬系,15,6,16,42,46,,125,地9水1,攻擊、防禦,,,mlbb_news_10534.txt
殺龍逆刃,金屬系,16,46,13,44,6,,125,水9火1,攻擊、防禦,,,mlbb_news_10534.txt
珊瑚海豚,飛行系,31,7,20,20,47,,125,火10,攻擊、防禦,,,mlbb_news_10534.txt
劍次,人形系,33,24,30,16,17,,120,火5風5,攻擊、防禦,,,mlbb_news_10564.txt
刀客劍次,人形系,34,42,16,27,6,,125,火5風5,攻擊、防禦,,,mlbb_news_10564.txt
狂魔劍次,不死系,29,6,19,21,50,,125,火5風5,攻擊、防禦,,,mlbb_news_10564.txt
黯星使者,不死系,31,50,15,19,10,,125,火1風9,攻擊、防禦,,,mlbb_news_10704.txt
強襲地雷,金屬系,34,45,24,12,10,,125,火1風9,攻擊、防禦,,,mlbb_news_10704.txt
魔術地雷,金屬系,34,10,12,24,45,,125,風1地9,攻擊、防禦,,,mlbb_news_10704.txt
閃光地雷,金屬系,34,10,24,12,45,,125,地1水9,攻擊、防禦,,,mlbb_news_10704.txt
闇影地雷,金屬系,45,34,12,24,10,,125,水1火9,攻擊、防禦,,,mlbb_news_10704.txt
強襲機甲LMX,金屬系,50,39,16,14,6,,125,風10,攻擊、防禦,,,mlbb_news_10704.txt
魔術機甲ROX,金屬系,40,6,21,12,46,,125,地6水4,攻擊、防禦,,,mlbb_news_10704.txt
闇影機甲NXT,金屬系,39,50,14,16,6,,125,火6風4,攻擊、防禦,,,mlbb_news_10704.txt
閃光機甲AEX,金屬系,41,6,16,16,46,,125,水6火4,攻擊、防禦,,,mlbb_news_10704.txt
合金戰獅,金屬系,40,6,17,15,47,,125,風6地4,攻擊、防禦,,,mlbb_news_10704.txt
勝利女神,飛行系,34,6,16,24,45,,125,地2風8,攻擊、防禦,,,mlbb_news_10734.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_10734.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_10734.txt
蒼月聖鷹,飛行系,25,29,13,50,8,,125,風9地1,攻擊、防禦,,,mlbb_news_10764.txt
愛絲精靈,人形系,52,30,17,18,8,,125,地10,攻擊、防禦,,,mlbb_news_10764.txt
絲諾精靈,人形系,30,52,17,18,8,,125,水10,攻擊、防禦,,,mlbb_news_10764.txt
聖誕精靈,人形系,14,42,14,47,8,,125,火10,攻擊、防禦,,,mlbb_news_10764.txt
雪兒精靈,人形系,14,8,14,42,47,,125,風10,攻擊、防禦,,,mlbb_news_10764.txt
冰雪愛絲精靈,植物系,52,35,12,20,6,,125,地10,攻擊、防禦,,,mlbb_news_10764.txt
古代紅櫻長老,植物系,35,6,24,14,46,,125,水3火7,攻擊、防禦,,,mlbb_news_10774.txt
地鈴花妖,植物系,27,12,14,32,35,,120,風4地6,攻擊、防禦,,,mlbb_news_10774.txt
水鈴花妖,植物系,32,35,14,27,12,,120,地4水6,攻擊、防禦,,,mlbb_news_10774.txt
火鈴花妖,植物系,35,14,32,27,12,,120,水4火6,攻擊、防禦,,,mlbb_news_10774.txt
風鈴花妖,植物系,32,12,14,27,35,,120,火4風6,攻擊、防禦,,,mlbb_news_10774.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_10774.txt
陰影,特殊系,28,24,22,22,24,,120,地10,攻擊、防禦,,,mlbb_news_10804.txt
聖誕大公雞,飛行系,35,6,12,22,50,,125,火5風5,攻擊、防禦,,,mlbb_news_10844.txt
舞動花妖,植物系,36,12,17,16,39,,120,水5火5,攻擊、防禦,,,mlbb_news_10844.txt
蒼燄,特殊系,16,44,16,41,8,,125,風10,攻擊、防禦,,,mlbb_news_10844.txt
冰雪水藍鼠,野獸系,13,6,12,48,46,,125,水10,攻擊、防禦,,,mlbb_news_10844.txt
火焰巨龍,龍系,40,42,13,24,6,,125,火10,攻擊、防禦,,,mlbb_news_10884.txt
蛟龍,龍系,39,6,14,20,46,,125,水7火3,攻擊、防禦,,,mlbb_news_10884.txt
帝國少女士兵,人形系,44,41,17,17,6,,125,風8地2,攻擊、防禦,,,mlbb_news_10884.txt
帝國少年士兵,人形系,35,6,19,18,47,,125,風5地5,攻擊、防禦,,,mlbb_news_10884.txt
暗裔龍祖,龍系,20,47,13,38,7,,125,風5地5,攻擊、防禦,,,mlbb_news_10884.txt
新生阿爾卡迪亞,人形系,24,24,24,24,24,,120,火5風5,攻擊、防禦,,,mlbb_news_10894.txt
戰斧阿爾卡迪亞,人形系,40,40,15,24,6,,125,火5風5,攻擊、防禦,,,mlbb_news_10894.txt
弓箭手阿爾卡迪亞,人形系,24,40,15,40,6,,125,火5風5,攻擊、防禦,,,mlbb_news_10894.txt
格鬥家阿爾卡迪亞,人形系,22,40,17,40,6,,125,火5風5,攻擊、防禦,,,mlbb_news_10894.txt
劍士阿爾卡迪亞,人形系,32,42,13,32,6,,125,火5風5,攻擊、防禦,,,mlbb_news_10894.txt
魔法師阿爾卡迪亞,人形系,36,6,15,26,42,,125,火5風5,攻擊、防禦,,,mlbb_news_10894.txt
咒術師阿爾卡迪亞,人形系,16,6,15,44,44,,125,火5風5,攻擊、防禦,,,mlbb_news_10894.txt
戰魂阿爾卡迪亞,人形系,40,52,11,16,6,,125,火5風5,攻擊、防禦,,,mlbb_news_10894.txt
技魂阿爾卡迪亞,人形系,45,47,11,16,6,,125,火5風5,攻擊、防禦,,,mlbb_news_10894.txt
鬥魂阿爾卡迪亞,人形系,14,45,11,49,6,,125,火5風5,攻擊、防禦,,,mlbb_news_10894.txt
武魂阿爾卡迪亞,人形系,14,52,11,42,6,,125,火5風5,攻擊、防禦,,,mlbb_news_10894.txt
魔魂阿爾卡迪亞,人形系,46,6,11,14,48,,125,火5風5,攻擊、防禦,,,mlbb_news_10894.txt
靈魂阿爾卡迪亞,人形系,14,6,11,48,46,,125,火5風5,攻擊、防禦,,,mlbb_news_10894.txt
女帝阿爾卡迪亞,不死系,45,5,5,20,50,,125,火5風5,攻擊、防禦,,,mlbb_news_10894.txt
銅獅,野獸系,34,10,16,22,41,,123,地10,攻擊、防禦,,,mlbb_news_11014.txt
鐵獅,野獸系,22,32,18,41,10,,123,火10,攻擊、防禦,,,mlbb_news_11014.txt
月獅,野獸系,30,32,13,26,22,,123,風10,攻擊、防禦,,,mlbb_news_11014.txt
雪獅,野獸系,36,32,18,24,13,,123,水10,攻擊、防禦,,,mlbb_news_11014.txt
黃金帝獅,金屬系,40,6,14,19,46,,125,地10,攻擊、防禦,,,mlbb_news_11014.txt
赤焰獅王,金屬系,18,40,12,49,6,,125,火5風5,攻擊、防禦,,,mlbb_news_11014.txt
蝕月炎獸,金屬系,43,6,16,18,42,,125,風10,攻擊、防禦,,,mlbb_news_11014.txt
暴雪魔獸,金屬系,50,40,12,17,6,,125,水10,攻擊、防禦,,,mlbb_news_11014.txt
古代白櫻長老,植物系,38,6,17,18,46,,125,地3水7,攻擊、防禦,,,mlbb_news_11024.txt
地鈴花妖,植物系,27,12,14,32,35,,120,風4地6,攻擊、防禦,,,mlbb_news_11024.txt
水鈴花妖,植物系,32,35,14,27,12,,120,地4水6,攻擊、防禦,,,mlbb_news_11024.txt
火鈴花妖,植物系,35,14,32,27,12,,120,水4火6,攻擊、防禦,,,mlbb_news_11024.txt
風鈴花妖,植物系,32,12,14,27,35,,120,火4風6,攻擊、防禦,,,mlbb_news_11024.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_11024.txt
戰爭女神,飛行系,32,8,17,22,46,,125,水6火4,攻擊、防禦,,,mlbb_news_11474.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_11474.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_11474.txt
金鱗龍魚,金屬系,41,40,17,21,6,,125,火1風9,攻擊、防禦,,,mlbb_news_11534.txt
多足怪魚,金屬系,40,35,22,18,8,,123,火1風9,攻擊、防禦,,,mlbb_news_11534.txt
西比亞烏賊,植物系,29,8,20,23,45,,125,風1地9,攻擊、防禦,,,mlbb_news_11534.txt
鸚鵡綠螺,植物系,31,10,26,15,38,,120,風2地8,攻擊、防禦,,,mlbb_news_11534.txt
黃小鴨,飛行系,36,6,16,22,45,,125,風10,攻擊、防禦,,,mlbb_news_11534.txt
戰爭女神,飛行系,32,8,17,22,46,,125,水6火4,攻擊、防禦,,,mlbb_news_11554.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_11554.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_11554.txt
地龍寶,龍系,24,33,15,33,10,,115,風1地9,攻擊、防禦,,,mlbb_news_11584.txt
水龍寶,龍系,24,10,15,33,38,,120,地1水9,攻擊、防禦,,,mlbb_news_11584.txt
小神龍,龍系,21,45,6,47,6,,125,火5風5,攻擊、防禦,,,mlbb_news_11584.txt
衝浪小神龍,龍系,21,45,6,47,6,,125,火5風5,攻擊、防禦,,,mlbb_news_11584.txt
衝浪小魔龍,龍系,40,6,6,26,47,,125,地5水5,攻擊、防禦,,,mlbb_news_11584.txt
綠蒲團團,植物系,31,14,16,24,40,,125,地10,攻擊、防禦,,,mlbb_news_11584.txt
硝石蟲,金屬系,34,10,30,29,17,,120,地3水7,攻擊、防禦,,,mlbb_news_11584.txt
純白豬王,野獸系,33,6,12,26,48,,125,火10,攻擊、防禦,,,mlbb_news_11604.txt
白豬太郎,野獸系,33,38,24,13,15,,123,火8風2,攻擊、防禦,,,mlbb_news_11604.txt
白豬寶寶,野獸系,33,36,24,13,15,,121,火7風3,攻擊、防禦,,,mlbb_news_11604.txt
紅蓮,人形系,24,24,24,24,24,,120,水5火5,攻擊、防禦,,,mlbb_news_11634.txt
紅蓮法師,人形系,26,10,22,20,47,,125,水5火5,攻擊、防禦,,,mlbb_news_11634.txt
紅炎巨龍,龍系,26,45,23,22,9,,125,火6風4,攻擊、防禦,,,mlbb_news_11634.txt
辰龍神使紅蓮,龍系,30,6,12,28,49,,125,水5火5,攻擊、防禦,,,mlbb_news_11634.txt
辰龍紅炎,龍系,20,48,11,40,6,,125,火6風4,攻擊、防禦,,,mlbb_news_11634.txt
百步蛇,野獸系,23,36,16,31,14,,120,風7地3,攻擊、防禦,,,mlbb_news_11704.txt
元宵巨神兵,人形系,39,42,13,25,6,,125,火10,攻擊、防禦,,,mlbb_news_11704.txt
元宵精靈,特殊系,23,6,11,38,47,,125,水8火2,攻擊、防禦,,,mlbb_news_11704.txt
丘比特天使,飛行系,27,6,12,32,48,,125,火5風5,攻擊、防禦,,,mlbb_news_11704.txt
古代白櫻長老,植物系,38,6,17,18,46,,125,地3水7,攻擊、防禦,,,mlbb_news_11784.txt
地鈴花妖,植物系,27,12,14,32,35,,120,風4地6,攻擊、防禦,,,mlbb_news_11784.txt
水鈴花妖,植物系,32,35,14,27,12,,120,地4水6,攻擊、防禦,,,mlbb_news_11784.txt
火鈴花妖,植物系,35,14,32,27,12,,120,水4火6,攻擊、防禦,,,mlbb_news_11784.txt
風鈴花妖,植物系,32,12,14,27,35,,120,火4風6,攻擊、防禦,,,mlbb_news_11784.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_11784.txt
白銀騎士,人形系,45,32,15,27,6,,125,地10,攻擊、防禦,,,mlbb_news_11804.txt
百合少女,人形系,27,45,14,33,6,,125,風10,攻擊、防禦,,,mlbb_news_11804.txt
寒冰巨龍,龍系,29,45,21,24,6,,125,水10,攻擊、防禦,,,mlbb_news_11804.txt
寒冰龍王,龍系,34,6,12,23,50,,125,水10,攻擊、防禦,,,mlbb_news_11804.txt
蒼蠅王,飛行系,31,39,23,22,10,,125,地7水3,攻擊、防禦,,,mlbb_news_11824.txt
紫幽冥傘,植物系,23,20,29,19,34,,125,地1水9,攻擊、防禦,,,mlbb_news_11824.txt
別西卜,飛行系,29,45,21,24,6,,125,地7水3,攻擊、防禦,,,mlbb_news_11824.txt
雷鳴穴龍,龍系,46,40,15,18,6,,125,風10,攻擊、防禦,,,mlbb_news_11824.txt
櫻花冰冷樹精,植物系,21,8,23,29,44,,125,水7火3,攻擊、防禦,,,mlbb_news_11964.txt
青尾豹,野獸系,30,43,20,24,8,,125,風9地1,攻擊、防禦,,,mlbb_news_11964.txt
櫻花冰冷樹精長老,植物系,24,6,16,33,46,,125,水6火4,攻擊、防禦,,,mlbb_news_11964.txt
裂口食人花,植物系,26,39,26,10,19,,120,風5地5,攻擊、防禦,,,mlbb_news_11964.txt
勝利女神,飛行系,34,6,16,24,45,,125,地2風8,攻擊、防禦,,,mlbb_news_12004.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_12004.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_12004.txt
魔金女王,不死系,25,10,16,24,50,,125,風6地4,攻擊、防禦,,,mlbb_news_12074.txt
大地奇美拉,飛行系,31,46,13,29,6,,125,地6水4,攻擊、防禦,,,mlbb_news_12074.txt
亡靈骷髏士兵,不死系,29,50,17,19,10,,125,地5水5,攻擊、防禦,,,mlbb_news_12074.txt
青銅冥鬥士,不死系,39,10,19,13,44,,125,風8地2,攻擊、防禦,,,mlbb_news_12074.txt
蒼岩狨,野獸系,35,45,19,16,10,,125,風8地2,攻擊、防禦,,,mlbb_news_12074.txt
勝利女神,飛行系,34,6,16,24,45,,125,地2風8,攻擊、防禦,,,mlbb_news_12084.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_12084.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_12084.txt
紺青騎士,不死系,33,8,14,22,48,,125,水6火4,攻擊、防禦,,,mlbb_news_12174.txt
猩紅鬼靈,不死系,22,8,12,37,46,,125,火6風4,攻擊、防禦,,,mlbb_news_12174.txt
搗蛋鬼,不死系,26,10,18,29,40,,123,地10,攻擊、防禦,,,mlbb_news_12174.txt
皮皮鬼,不死系,40,26,29,18,10,,123,水10,攻擊、防禦,,,mlbb_news_12174.txt
鬧事鬼,不死系,26,40,18,29,10,,123,火10,攻擊、防禦,,,mlbb_news_12174.txt
淘氣鬼,不死系,17,10,18,36,42,,123,風10,攻擊、防禦,,,mlbb_news_12174.txt
冥凱,人形系,20,43,17,39,6,,125,風10,攻擊、防禦,,,mlbb_news_12184.txt
埃及三頭龍,龍系,30,40,16,33,6,,125,火10,攻擊、防禦,,,mlbb_news_12184.txt
埃及冥龍：卡洛斯,不死系,33,8,11,25,48,,125,火6風4,攻擊、防禦,,,mlbb_news_12184.txt
埃及冥龍：海因茨,不死系,39,8,23,11,44,,125,火6風4,攻擊、防禦,,,mlbb_news_12184.txt
埃及冥龍：索爾格,不死系,38,50,11,18,8,,125,火6風4,攻擊、防禦,,,mlbb_news_12184.txt
暗黑大公雞,不死系,36,43,11,26,9,,125,地5水5,攻擊、防禦,,,mlbb_news_12564.txt
浴火聖鳥,飛行系,28,6,16,25,50,,125,水1火9,攻擊、防禦,,,mlbb_news_12564.txt
碧空海豚,飛行系,32,9,11,30,43,,125,地10,攻擊、防禦,,,mlbb_news_12564.txt
魚人守衛,金屬系,35,45,19,16,10,,125,風8地2,攻擊、防禦,,,mlbb_news_12564.txt
純白雛龍,飛行系,20,20,20,20,20,,100,水10,攻擊、防禦,,,mlbb_news_12864.txt
純白幼龍,飛行系,25,8,20,28,44,,125,水10,攻擊、防禦,,,mlbb_news_12864.txt
碧空幼龍,飛行系,35,35,16,21,13,,120,地10,攻擊、防禦,,,mlbb_news_12864.txt
碧空飛龍,飛行系,43,39,20,17,6,,125,地10,攻擊、防禦,,,mlbb_news_12864.txt
赤天飛龍,飛行系,35,44,13,27,6,,125,火10,攻擊、防禦,,,mlbb_news_12864.txt
赤天幼龍,飛行系,32,35,16,29,13,,125,火10,攻擊、防禦,,,mlbb_news_12864.txt
聖魂阿爾卡迪亞,人形系,52,38,11,18,6,,125,火5風5,攻擊、防禦,,,mlbb_news_12864.txt
焰獄妖犬,不死系,18,42,12,45,8,,125,風6地4,攻擊、防禦,,,mlbb_news_12864.txt
小翠,人形系,31,6,16,26,46,,125,風10,攻擊、防禦,,,mlbb_news_12884.txt
暗黑魔龍,不死系,33,50,11,25,6,,125,風5地5,攻擊、防禦,,,mlbb_news_12884.txt
金翼幼龍,飛行系,32,13,16,25,39,,125,風10,攻擊、防禦,,,mlbb_news_12934.txt
哈士奇,野獸系,33,12,12,25,43,,125,地2水8,攻擊、防禦,,,mlbb_news_12934.txt
秋田犬,野獸系,25,33,12,43,12,,125,水2火8,攻擊、防禦,,,mlbb_news_12934.txt
比格犬,野獸系,25,12,12,33,43,,125,風2地8,攻擊、防禦,,,mlbb_news_12934.txt
青梟,飛行系,16,15,17,33,39,,120,水7火3,攻擊、防禦,,,mlbb_news_12934.txt
死亡木乃伊,不死系,39,44,16,20,6,,125,火10,攻擊、防禦,,,mlbb_news_13014.txt
藍色香煙鬼,植物系,43,40,15,21,6,,125,水7火3,攻擊、防禦,,,mlbb_news_13014.txt
拉布拉多犬,野獸系,33,43,12,25,12,,125,火2風8,攻擊、防禦,,,mlbb_news_13014.txt
守護天使,飛行系,22,40,16,39,8,,125,水10,攻擊、防禦,,,mlbb_news_13104.txt
深海飛龍,飛行系,16,42,15,46,6,,125,水10,攻擊、防禦,,,mlbb_news_13104.txt
深海幼龍,飛行系,21,35,19,40,10,,125,水10,攻擊、防禦,,,mlbb_news_13104.txt
坤斧妖精,飛行系,29,45,20,21,8,,123,地2水8,攻擊、防禦,,,mlbb_news_13104.txt
風暴天使,飛行系,38,6,8,29,44,,125,風10,攻擊、防禦,,,mlbb_news_13104.txt
改造貓妖,野獸系,20,10,14,37,44,,125,水7火3,攻擊、防禦,,,mlbb_news_13104.txt
改造赤熊,野獸系,42,39,14,20,10,,125,火8風2,攻擊、防禦,,,mlbb_news_13104.txt
改造地獄骷髏,不死系,34,35,33,10,13,,125,水7火3,攻擊、防禦,,,mlbb_news_13104.txt
改造水藍菇,植物系,45,10,10,18,42,,125,地4水6,攻擊、防禦,,,mlbb_news_13104.txt
改造迷你石像怪,飛行系,30,10,13,28,44,,125,火3風7,攻擊、防禦,,,mlbb_news_13104.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_13144.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_13144.txt
利刃勇士,人形系,40,33,27,15,10,,125,火8風2,攻擊、防禦,,,mlbb_news_13184.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_13184.txt
喜焰龍舟,植物系,19,40,12,48,6,,125,火8風2,攻擊、防禦,,,mlbb_news_13254.txt
瑞竹龍舟,植物系,37,6,12,20,50,,125,地8水2,攻擊、防禦,,,mlbb_news_13254.txt
紅糖粽子,植物系,35,40,21,11,16,,123,火5風5,攻擊、防禦,,,mlbb_news_13254.txt
猩紅騎士,金屬系,21,36,13,28,22,,120,火10,攻擊、防禦,,,mlbb_news_13264.txt
兵長麥,人形系,32,50,18,19,6,,125,火1風9,攻擊、防禦,,,mlbb_news_13264.txt
煉獄軍團長,金屬系,23,41,10,45,6,,125,火10,攻擊、防禦,,,mlbb_news_13264.txt
藍拉,飛行系,33,6,22,21,43,,125,地1水9,攻擊、防禦,,,mlbb_news_13264.txt
烏莉兒,人形系,33,50,6,30,6,,125,風5地5,攻擊、防禦,,,mlbb_news_13264.txt
改造墮天使,飛行系,32,33,20,30,10,,125,地1水9,攻擊、防禦,,,mlbb_news_13264.txt
改造殺人蜂,昆蟲系,16,40,12,47,10,,125,風5地5,攻擊、防禦,,,mlbb_news_13264.txt
改造布丁史萊姆,特殊系,40,10,17,16,42,,125,火1風9,攻擊、防禦,,,mlbb_news_13264.txt
改造火焰翼龍,龍系,32,47,18,18,10,,125,火10,攻擊、防禦,,,mlbb_news_13264.txt
山賊王,人形系,40,28,23,24,10,,125,風3地7,攻擊、防禦,,,mlbb_news_13264.txt
梅藏,人形系,42,46,11,20,6,,125,水10,攻擊、防禦,,,mlbb_news_13394.txt
赤焰獨角獸,野獸系,33,7,22,20,43,,125,水1火9,攻擊、防禦,,,mlbb_news_13394.txt
紫泉蛙,野獸系,37,33,23,19,13,,125,地2水8,攻擊、防禦,,,mlbb_news_13394.txt
地獄殺人螳螂,不死系,31,45,11,30,8,,125,水1火9,攻擊、防禦,,,mlbb_news_13394.txt
戰錘魔偶,金屬系,34,8,24,19,40,,125,風10,攻擊、防禦,,,mlbb_news_13394.txt
審判魔靈,金屬系,33,6,15,25,46,,125,風10,攻擊、防禦,,,mlbb_news_13394.txt
彼特,人形系,29,50,6,34,6,,125,火10,攻擊、防禦,,,mlbb_news_13394.txt
牛頭狂戰士,不死系,25,44,20,30,6,,125,風1地9,攻擊、防禦,,,mlbb_news_13464.txt
死神亞曆克斯,不死系,19,27,24,40,10,,120,地10,攻擊、防禦,,,mlbb_news_13464.txt
死神查理,不死系,19,10,24,27,40,,120,水10,攻擊、防禦,,,mlbb_news_13464.txt
死神埃文,不死系,40,27,24,19,10,,120,火10,攻擊、防禦,,,mlbb_news_13464.txt
死神格雷爾,不死系,27,40,24,19,10,,120,風10,攻擊、防禦,,,mlbb_news_13464.txt
番茄聖女,植物系,33,6,16,22,48,,125,水5火5,攻擊、防禦,,,mlbb_news_13464.txt
嗜血魔蛟,飛行系,34,45,18,22,6,,125,火10,攻擊、防禦,,,mlbb_news_13494.txt
神聖巨龍,龍系,45,6,14,15,45,,125,水5火5,攻擊、防禦,,,mlbb_news_13494.txt
深海巨鯊,飛行系,31,50,11,27,6,,125,水10,攻擊、防禦,,,mlbb_news_13524.txt
緣小鴨,飛行系,35,42,23,19,6,,125,地10,攻擊、防禦,,,mlbb_news_13524.txt
深海狼蛛,昆蟲系,34,6,18,17,50,,125,水10,攻擊、防禦,,,mlbb_news_13524.txt
黃銅豚魚,金屬系,33,34,31,17,10,,125,火1風9,攻擊、防禦,,,mlbb_news_13524.txt
阿魯巴斯試做體,人形系,30,40,24,21,10,,125,地10,攻擊、防禦,,,mlbb_news_13544.txt
艾克尼奇美拉,飛行系,39,45,10,25,6,,125,地5水5,攻擊、防禦,,,mlbb_news_13544.txt
地行布卡,特殊系,21,8,19,33,44,,125,風1地9,攻擊、防禦,,,mlbb_news_13544.txt
虛弱的大地詛咒者,人形系,10,10,10,10,10,,50,風3地7,攻擊、防禦,,,mlbb_news_13624.txt
虛弱的寒冰詛咒者,人形系,10,10,10,10,10,,50,地3水7,攻擊、防禦,,,mlbb_news_13624.txt
虛弱的火焰詛咒者,人形系,10,10,10,10,10,,50,水3火7,攻擊、防禦,,,mlbb_news_13624.txt
