日期,類別,重點標記,開放內容說明,公告,解析寵物數,公告連結
2024-03-01,活動／營運,,,關於遊戲登錄異常修復的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11794.html)
2024-02-29,賽事,,,任務爭霸賽第15季開啟,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11784.html)
2024-02-29,活動／營運,,,關於2月29日維護延遲的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11774.html)
2024-02-28,活動／營運,,,2月29日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11764.html)
2024-02-25,賽事,,,關於任務爭霸賽排行榜異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11754.html)
2024-02-24,賽事,,,關於比賽服登錄異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11744.html)
2024-02-23,職業／系統,,,關於百步蛇的卡片無法獲得與技能嘲諷的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11714.html)
2024-02-21,地圖／任務,,,元宵情人節 探尋天空城,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11704.html)
2024-02-21,活動／營運,新任務、限時任務,開放任務：天空之城；開放限時任務：元宵情人節活動,2月22日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11694.html)
2024-02-09,節慶／活動,,,新春獻祝福 領新春大禮包,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11644.html)
2024-02-07,寵物／秘寶,,,辰龍賜福 結締龍族羈絆,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11634.html)
2024-02-07,活動／營運,,,2月8日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11624.html)
2024-02-02,節慶／活動,,,新春特惠，8.5折新春王寵禮盒除夕上線！！！,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11614.html)
2024-02-01,節慶／活動,,,迎新回歸活動,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11604.html)
2024-02-01,賽事,,,任務爭霸賽第14季開啟,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11594.html)
2024-02-01,節慶／活動,,,新春遇神龍 龍寶大救援,9,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11584.html)
2024-01-31,活動／營運,,,2月1日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11574.html)
2024-01-29,賽事,,,PVP爭霸賽第七期正式開啟報名,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11554.html)
2024-01-24,活動／營運,,,1月25日取消維護及新版本預告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11544.html)
2024-01-18,寵物／秘寶,,,海巨獸之影 金鱗龍魚來襲,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11534.html)
2024-01-17,活動／營運,,,1月18日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11524.html)
2024-01-11,賽事,,,PVP爭霸賽第七期開啟預告,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11474.html)
2024-01-11,賽事,,,PVP爭霸賽第六期抽抽樂限時特惠,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11434.html)
2024-01-10,活動／營運,,,1月11日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11404.html)
2024-01-04,活動／營運,,,1月4日臨時維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11154.html)
2024-01-04,賽事,,,任務爭霸賽第13季開啟,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11024.html)
2024-01-04,節慶／活動,,,聖誕花環會 相遇帝王獅,8,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11014.html)
2024-01-03,活動／營運,,,1月4日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_11004.html)
2023-12-28,寵物／秘寶,,,女帝降臨 阿爾卡迪亞登場,14,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html)
2023-12-28,職業／系統,,,星圖第二季開啟,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10884.html)
2023-12-27,活動／營運,,,1月1日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10874.html)
2023-12-20,節慶／活動,,,冰雪奇緣 來自聖誕的新夥伴,7,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10844.html)
2023-12-20,活動／營運,,,12月21日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10834.html)
2023-12-14,地圖／任務,,,關於連破戰和星辰塔挑戰任務的積分公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10824.html)
2023-12-13,活動／營運,,,12月14日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10814.html)
2023-12-13,寵物／秘寶,,,黑夜之影 夢魘奪魂之主,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html)
2023-12-09,賽事,,,PVP爭霸賽部分隊伍重賽公告（2）,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10794.html)
2023-12-09,賽事,,,PVP爭霸賽部分隊伍重賽公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10784.html)
2023-12-07,賽事,,,任務爭霸賽第12季開啟,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10774.html)
2023-12-06,地圖／任務,,,蒼月聖域的呼喚 探尋元素秘境,9,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10764.html)
2023-12-06,活動／營運,新任務,開放天空之城前置任務：蒼月聖域,12月7日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10754.html)
2023-12-05,職業／系統,,,關於星圖重新開放的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10744.html)
2023-12-04,賽事,,,PVP爭霸賽第六期正式開啟報名,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10734.html)
2023-11-30,職業／系統,,,關於星圖活動暫時關閉的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10724.html)
2023-11-29,活動／營運,,,11月30日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10714.html)
2023-11-23,地圖／任務,,,挑戰星辰塔 鍛造傳奇套裝,10,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10704.html)
2023-11-22,活動／營運,,,11月24日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10694.html)
2023-11-16,賽事,,,PVP爭霸賽第五期抽抽樂限時特惠,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10684.html)
2023-11-15,活動／營運,,,11月16日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10674.html)
2023-11-13,活動／營運,,,11月13日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10664.html)
2023-11-11,寵物／秘寶,,,關於寵物狂魔劍次總檔異常的問題,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10654.html)
2023-11-10,寵物／秘寶,,,刀客之志 狂魔與少年,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10564.html)
2023-11-10,活動／營運,,,11月11日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10554.html)
2023-11-09,地圖／任務,,,關於任務賽第十季寶箱異常的問題,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10544.html)
2023-11-09,職業／系統,新職業,正式開放刀客與鍛刀工職業，並開放刀客專屬技能「燕斬」,新職業登場！無雙刀客參上,8,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10534.html)
2023-11-08,地圖／任務,,,任務賽第11季開啟,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10524.html)
2023-11-08,活動／營運,,,11月9日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10514.html)
2023-11-01,活動／營運,,,11月2日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10494.html)
2023-10-27,地圖／任務,,,關於任務賽無法領取的異常公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10484.html)
2023-10-25,節慶／活動,,,萬聖狂欢 百魅之夜,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10474.html)
2023-10-25,活動／營運,,,關於永恆雙子、摩羯合服的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10464.html)
2023-10-25,活動／營運,,,10月26日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10454.html)
2023-10-19,活動／營運,,,10月19日取消維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10444.html)
2023-10-12,賽事,,,任務爭霸賽第十季開啟,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10434.html)
2023-10-12,寵物／秘寶,,,勝利之翼 諾爾特神鷹,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10424.html)
2023-10-11,活動／營運,,,10月12日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10414.html)
2023-10-09,寵物／秘寶,,,劍之侍魂 武魂狂人,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10404.html)
2023-10-07,賽事,,,關於PVP爭霸賽延遲的公告2,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10394.html)
2023-10-07,賽事,,,關於PVP爭霸賽延遲的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10384.html)
2023-10-04,活動／營運,,,10月5日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10374.html)
2023-10-02,賽事,,,PVP爭霸賽第五期正式開啟報名,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10364.html)
2023-09-27,活動／營運,,,9月28日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10354.html)
2023-09-25,職業／系統,,,點亮法蘭的夜空 星圖系統上線,9,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10344.html)
2023-09-22,寵物／秘寶,,,嫦娥公主伴佳節 飛仙奔月共團圓（秘寶8折特惠！）,16,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html)
2023-09-21,寵物／秘寶,,,霸氣魔蛇現世 元素使限時返場,10,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10324.html)
2023-09-20,活動／營運,,,9月21日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10314.html)
2023-09-14,賽事,,,關於任務爭霸賽第八季頭飾顯示異常的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10304.html)
2023-09-13,賽事,,,PVP爭霸賽第五期預告,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10294.html)
2023-09-13,活動／營運,,,9月14日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10284.html)
2023-09-13,賽事,,,任務爭霸賽第九季開啟,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10274.html)
2023-09-13,賽事,,,PVP爭霸賽抽抽樂限時特惠,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10264.html)
2023-09-08,寵物／秘寶,,,開啟回憶的羈絆 白銀之魂猶大,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10254.html)
2023-09-08,活動／營運,,,關於生命之葉與幽靈之眼的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10244.html)
2023-09-08,地圖／任務,限時任務,開放限時任務：幽靈道場,不死的試煉 挑戰幽靈道場,10,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10234.html)
2023-09-06,活動／營運,限時任務,開放限時任務：幽靈道場,9月8日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10224.html)
2023-09-01,活動／營運,,,關於魔力盲盒（19）的概率公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10214.html)
2023-08-30,活動／營運,,,8月31日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10204.html)
2023-08-30,節慶／活動,,,幽靈重現 中元禮包限時回歸,8,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10194.html)
2023-08-24,寵物／秘寶,,,相遇花妖王 雷霆幻獸大加強,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10184.html)
2023-08-23,活動／營運,,,8月24日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10174.html)
2023-08-23,職業／系統,內容預告,預告第四季度推出新職業、全新任務與「天空之城」地圖,《魔力寶貝：永恆初心》新職業和地圖即將更新 第四季度全新資料篇搶先公佈,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10164.html)
2023-08-17,賽事,,,任務爭霸賽第八季開啟,1,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10154.html)
2023-08-16,活動／營運,,,8月17日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10144.html)
2023-08-11,賽事,,,PVP爭霸賽熱門寵物 限時返場,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10134.html)
2023-08-10,賽事,,,PVP爭霸賽第四期(懷舊系寵物賽)開啟預告,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10114.html)
2023-08-09,節慶／活動,,,22週年慶最終彈,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10104.html)
2023-08-09,活動／營運,,,8月10日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10094.html)
2023-08-07,寵物／秘寶,,,改造的巔峰藝術 紅翼奇美拉的崛起,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10084.html)
2023-08-07,賽事,,,PVP爭霸賽第三期獎勵發放通知及下期預告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10074.html)
2023-08-06,活動／營運,,,8月7日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10064.html)
2023-08-03,活動／營運,,,8月4日取消維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10044.html)
2023-08-02,活動／營運,,,8月4日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10034.html)
2023-08-02,活動／營運,,,關於魔力盲盒（18）概率的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10024.html)
2023-07-28,活動／營運,,,7月28日臨時維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10004.html)
2023-07-27,節慶／活動,,,22週年慶第一彈,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9994.html)
2023-07-26,活動／營運,,,7月27日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9984.html)
2023-07-22,賽事,,,關於PVP爭霸賽延賽的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9964.html)
2023-07-20,寵物／秘寶,,,被詛咒的魔靈 神隱魔偶之謎,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9954.html)
2023-07-20,賽事,,,任務爭霸賽第七季開啟,1,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9944.html)
2023-07-19,活動／營運,,,7月20日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9934.html)
2023-07-15,賽事,,,關於PVP爭霸賽重賽的公告2,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9924.html)
2023-07-15,賽事,,,關於PVP爭霸賽重賽的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9914.html)
2023-07-15,賽事,,,關於PVP爭霸賽延賽的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9904.html)
2023-07-15,賽事,,,關於PVP爭霸賽延遲的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9894.html)
2023-07-12,活動／營運,,,7月13日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9884.html)
2023-07-12,活動／營運,,,砸出無限驚喜 原石工坊勁爆來襲,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9874.html)
2023-07-10,賽事,,,PVP爭霸賽第三期 開啟公告,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9864.html)
2023-07-10,賽事,,,PVP爭霸賽第二期熱門寵物 限時返場,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9854.html)
2023-07-07,寵物／秘寶,,,魔族改造人 不死暗醫登場,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9844.html)
2023-07-06,寵物／秘寶,,,海洋之誓 美人魚之旅,8,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9834.html)
2023-07-05,活動／營運,,,7月6日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9824.html)
2023-07-01,活動／營運,,,關於魔力盲盒（17）概率的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9814.html)
2023-06-30,活動／營運,,,6月30日臨時維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9804.html)
2023-06-30,賽事,,,PVP爭霸賽第二期獎勵發放通知及下期預告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9794.html)
2023-06-28,活動／營運,,,6月30日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9784.html)
2023-06-24,賽事,,,關於比賽服延遲關閉的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9774.html)
2023-06-21,賽事,,,任務爭霸賽第六季開啟,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9764.html)
2023-06-21,節慶／活動,,,端午戰龍王 龍祖山激鬥,8,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9754.html)
2023-06-20,活動／營運,,,關於提高帳號安全性的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9744.html)
2023-06-20,活動／營運,,,6月21日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9734.html)
2023-06-15,寵物／秘寶,,,夏日的奇幻之旅 艷陽鼠王與百香公主的相遇,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9724.html)
2023-06-14,活動／營運,,,6月15日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9714.html)
2023-06-13,賽事,,,關於PVP爭霸賽第二期重新報名的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9704.html)
2023-06-12,賽事,,,PVP爭霸賽（第二期金屬系寵物賽）淘汰賽比賽時間調整公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9694.html)
2023-06-12,賽事,,,PVP爭霸賽（第二期金屬系寵物賽）開啟預告,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9684.html)
2023-06-08,賽事,,,PVP爭霸決賽熱門寵物 限時返場,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9674.html)
2023-06-07,活動／營運,,,6月8日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9664.html)
2023-06-05,寵物／秘寶,,,冠絕天際 龍威鎮魔界,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9654.html)
2023-06-01,寵物／秘寶,,,關於魔力盲盒（16）概率的公告,1,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9644.html)
2023-06-01,賽事,,,PVP爭霸賽第一期獎勵發放通知及下期預告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9634.html)
2023-06-01,寵物／秘寶,,,炎熱夏至 甜蜜律動蜜瓜公主,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9624.html)
2023-05-31,活動／營運,,,6月1日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9614.html)
2023-05-27,賽事,,,關於5月27日PVP爭霸賽八強賽的公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9604.html)
2023-05-25,賽事,,,任務爭霸賽第五季開啟,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9594.html)
2023-05-25,節慶／活動,,,《魔力寶貝：永恆初心》二週年最終彈,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9584.html)
2023-05-24,活動／營運,,,5月25日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9574.html)
2023-05-18,節慶／活動,,,《魔力寶貝：永恆初心》二週年第三彈,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9564.html)
2023-05-17,活動／營運,新任務、限時任務,開放傳說之劍任務：鎮魂之歌；開放限時任務：週年慶祝福活動,5月18日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9554.html)
2023-05-12,賽事,,,PVP爭霸賽正式賽（第一期）開啟預告,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9544.html)
2023-05-12,節慶／活動,,,《魔力寶貝：永恆初心》二週年第一彈首抽活動點數返還公告。,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9534.html)
2023-05-11,節慶／活動,,,《魔力寶貝：永恆初心》二週年第二彈,5,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9524.html)
2023-05-10,活動／營運,,,5月11日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9514.html)
2023-05-06,活動／營運,,,5月7日臨時維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9504.html)
2023-05-04,賽事,,,PVP爭霸賽測試賽獎勵發放通知及下期預告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9494.html)
2023-05-03,活動／營運,限時任務、新地圖,開放限時任務：尾狐棲息地；開放限時任務：二週年集字活動；開放地圖：白砂村,5月5日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9484.html)
2023-04-29,節慶／活動,,,《魔力寶貝：永恆初心》二週年活動盛大開啟,12,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9464.html)
2023-04-27,地圖／任務,,,任務賽第四季開啟公告,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9454.html)
2023-04-27,寵物／秘寶,,,強襲之心 永無止境,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9444.html)
2023-04-26,活動／營運,,,4月27日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9434.html)
2023-04-26,賽事,,,PVP爭霸正式賽報名規則公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9424.html)
2023-04-22,賽事,,,PVP爭霸賽參賽指引,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9414.html)
2023-04-19,活動／營運,,,4月20日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9404.html)
2023-04-17,賽事,,,關於PVP爭霸賽重新報名公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9394.html)
2023-04-17,賽事,,,關於PVP爭霸賽無法加入替補成員問題公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9334.html)
2023-04-17,賽事,,,PVP爭霸測賽（測試賽）開啟公告,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9324.html)
2023-04-14,賽事,,,PVP爭霸測試賽規則說明,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9304.html)
2023-04-13,地圖／任務,,,速通星辰塔 智鬥機甲巨獸,6,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9294.html)
2023-04-12,活動／營運,,,4月13日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9284.html)
2023-04-04,寵物／秘寶,,,神之使者 天使降臨,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9264.html)
2023-04-04,活動／營運,,,累積消費活動上線啦,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9254.html)
2023-03-30,活動／營運,,,四月商城特惠道具限時上線,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9234.html)
2023-03-30,活動／營運,,,3月30日臨時維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9224.html)
2023-03-29,寵物／秘寶,,,不屈意志 來自地獄的怒吼,9,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9214.html)
2023-03-29,活動／營運,,,3月30日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9204.html)
2023-03-22,活動／營運,,,3月23日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9194.html)
2023-03-16,寵物／秘寶,,,鬼焰燎原 冥府之主霸氣降臨,3,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9184.html)
2023-03-15,寵物／秘寶,,,連破競速賽 勇奪珍稀豪禮,1,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9174.html)
2023-03-15,活動／營運,,,3月16日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9164.html)
2023-03-08,活動／營運,,,3月9日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9154.html)
2023-03-03,寵物／秘寶,,,霸天巨獸 牛鬼領主,12,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9144.html)
2023-03-02,寵物／秘寶,,,公主的往事 聖晶之約,10,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9134.html)
2023-03-01,活動／營運,,,3月2日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9124.html)
2023-02-22,活動／營運,,,2月23日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9114.html)
2023-02-16,活動／營運,,,2月16日臨時維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9094.html)
2023-02-15,地圖／任務,,,探索冰原禁地 直面死亡的氣息,4,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9084.html)
2023-02-15,活動／營運,新任務,開放任務：冰原禁地,2月16日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9074.html)
2023-02-08,活動／營運,,,2月9日維護公告,0,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9064.html)
