活動日期,公告日,活動／期別,合成公式,公告連結
2024-01-01～2024-02-02,2023-12-28,女帝降臨 阿爾卡迪亞登場,任意等級的格鬥家阿爾卡迪亞 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1鬥魂阿爾卡迪亞（概率95%） / └ Lv1女帝阿爾卡迪亞（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html)
2024-01-01～2024-02-02,2023-12-28,女帝降臨 阿爾卡迪亞登場,任意等級的戰斧阿爾卡迪亞 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1戰魂阿爾卡迪亞（概率95%） / └ Lv1女帝阿爾卡迪亞（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html)
2024-01-01～2024-02-02,2023-12-28,女帝降臨 阿爾卡迪亞登場,任意等級的弓箭手阿爾卡迪亞 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1技魂阿爾卡迪亞（概率95%） / └ Lv1女帝阿爾卡迪亞（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html)
2024-01-01～2024-02-02,2023-12-28,女帝降臨 阿爾卡迪亞登場,任意等級的咒術師阿爾卡迪亞 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1靈魂阿爾卡迪亞（概率95%） / └ Lv1女帝阿爾卡迪亞（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html)
2024-01-01～2024-02-02,2023-12-28,女帝降臨 阿爾卡迪亞登場,任意等級的劍士阿爾卡迪亞 ＋ 閃耀變異之源×10 ＋ 阿爾卡迪亞記憶×30 ＝ / ├ Lv1武魂阿爾卡迪亞（概率95%） / └ Lv1女帝阿爾卡迪亞（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html)
2024-01-01～2024-02-02,2023-12-28,女帝降臨 阿爾卡迪亞登場,Lv40以上的新生阿爾卡迪亞 ＋ 女帝魔杖×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1魔法師阿爾卡迪亞,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html)
2024-01-01～2024-02-02,2023-12-28,女帝降臨 阿爾卡迪亞登場,Lv40以上的新生阿爾卡迪亞 ＋ 女帝長劍×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1劍士阿爾卡迪亞,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html)
2024-01-01～2024-02-02,2023-12-28,女帝降臨 阿爾卡迪亞登場,Lv40以上的新生阿爾卡迪亞 ＋ 女帝護腕×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1格鬥家阿爾卡迪亞,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html)
2024-01-01～2024-02-02,2023-12-28,女帝降臨 阿爾卡迪亞登場,Lv40以上的新生阿爾卡迪亞 ＋ 女帝獵弓×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1弓箭手阿爾卡迪亞,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html)
2024-01-01～2024-02-02,2023-12-28,女帝降臨 阿爾卡迪亞登場,Lv40以上的新生阿爾卡迪亞 ＋ 女帝戰斧×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1戰斧阿爾卡迪亞,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html)
2024-01-01～2024-02-02,2023-12-28,女帝降臨 阿爾卡迪亞登場,Lv40以上的新生阿爾卡迪亞 ＋ 女帝咒鈴×1 ＋ 阿爾卡迪亞記憶×10 ＝ Lv1咒術師阿爾卡迪亞,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html)
未載明（公告日 2023-12-20）,2023-12-20,冰雪奇緣 來自聖誕的新夥伴,"Lv1的舞動花妖 ＋ 變異之源×3 ＋ 琉璃草×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1琉璃花妖王",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10844.html)
未載明（公告日 2023-12-20）,2023-12-20,冰雪奇緣 來自聖誕的新夥伴,"Lv1水藍鼠 ＋ 變異之源×3 ＋ 聖誕冰雪×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1冰雪水藍鼠",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10844.html)
2023-12-14～2023-01-01,2023-12-13,黑夜之影 夢魘奪魂之主,Lv1陰影 ＋ 奪魂陰影設計圖ABCDE×1 ＝ Lv1奪魂陰影,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html)
2023-12-14～2023-01-01,2023-12-13,黑夜之影 夢魘奪魂之主,Lv1闇影 ＋ 奪魂闇影設計圖ABCDE×1 ＝ Lv1奪魂闇影,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html)
2023-12-14～2023-01-01,2023-12-13,黑夜之影 夢魘奪魂之主,Lv1奪魂陰影 ＋ 奪魂晶礦×1 ＝ / ├ Lv1奪魂陰影（概率95%） / └ Lv1奪魂陰影之主（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html)
2023-12-14～2023-01-01,2023-12-13,黑夜之影 夢魘奪魂之主,Lv1奪魂闇影 ＋ 奪魂晶礦×1 ＝ / ├ Lv1奪魂闇影（概率95%） / └ Lv1奪魂闇影之主（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html)
2023-12-14～2023-01-01,2023-12-13,黑夜之影 夢魘奪魂之主,任意等級的奪魂陰影之主 ＋ 轉生影珠×1 ＝ Lv1奪魂陰影,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html)
2023-12-14～2023-01-01,2023-12-13,黑夜之影 夢魘奪魂之主,任意等級的奪魂闇影之主 ＋ 轉生影珠×1 ＝ Lv1奪魂闇影,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10804.html)
未載明（公告日 2023-12-06）,2023-12-06,蒼月聖域的呼喚 探尋元素秘境,"任意等級的雪兒精靈 ＋ 變異之源×3 ＋ 極寒雪兒精靈進化卡×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1極寒雪兒精靈",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10764.html)
未載明（公告日 2023-12-06）,2023-12-06,蒼月聖域的呼喚 探尋元素秘境,"任意等級的聖誕精靈 ＋ 變異之源×3 ＋ 銀雪聖誕精靈進化卡×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1銀雪聖誕精靈",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10764.html)
未載明（公告日 2023-12-06）,2023-12-06,蒼月聖域的呼喚 探尋元素秘境,"任意等級的絲諾精靈 ＋ 變異之源×3 ＋ 寒晶絲諾精靈進化卡×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1寒晶絲諾精靈",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10764.html)
未載明（公告日 2023-12-06）,2023-12-06,蒼月聖域的呼喚 探尋元素秘境,"任意等級的愛絲精靈 ＋ 變異之源×3 ＋ 冰雪愛絲精靈進化卡×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1冰雪愛絲精靈",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10764.html)
未載明（公告日 2023-11-23）,2023-11-23,挑戰星辰塔 鍛造傳奇套裝,"Lv1魔術地雷 ＋ 變異之源×3 ＋ 魔術核心×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1魔術機甲ROX",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10704.html)
未載明（公告日 2023-11-23）,2023-11-23,挑戰星辰塔 鍛造傳奇套裝,"Lv1闇影地雷 ＋ 變異之源×3 ＋ 闇影核心×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1闇影機甲NXT",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10704.html)
未載明（公告日 2023-11-23）,2023-11-23,挑戰星辰塔 鍛造傳奇套裝,"Lv1閃光地雷 ＋ 變異之源×3 ＋ 閃光核心×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1閃光機甲AEX",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10704.html)
未載明（公告日 2023-11-23）,2023-11-23,挑戰星辰塔 鍛造傳奇套裝,"Lv1強襲地雷 ＋ 變異之源×3 ＋ 強襲核心×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1強襲機甲LMX",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10704.html)
2023-11-11～2023-12-12,2023-11-10,刀客之志 狂魔與少年,Lv1劍次 ＋ 刀客劍次設計圖ABCDE×1 ＝ Lv1刀客劍次,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10564.html)
2023-11-11～2023-12-12,2023-11-10,刀客之志 狂魔與少年,任意等級的狂魔劍次 ＋ 轉生刀魄×1 ＝ Lv1刀客劍次,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10564.html)
2023-11-11～2023-12-12,2023-11-10,刀客之志 狂魔與少年,Lv1刀客劍次 ＋ 狂魔刀譜×1 ＝ / ├ Lv1刀客劍次（概率95%） / └ Lv1狂魔劍次（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10564.html)
2023-11-09～2023-12-28,2023-11-09,新職業登場！無雙刀客參上,任意等級的牛丸 ＋ 變異之源×10 ＋ 精靈王契約×10 ＝ / ├ Lv1牛丸（概率98%） / └ Lv1牛鬼丸（概率2%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10534.html)
2023-11-09～2023-11-23,2023-11-09,新職業登場！無雙刀客參上,"任意等級的血腥魔刃 ＋ 閃耀變異之源×3 ＋ 流刃鍛刀石×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1血腥流刃",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10534.html)
2023-11-09～2023-11-23,2023-11-09,新職業登場！無雙刀客參上,"任意等級的石像魔王 ＋ 閃耀變異之源×3 ＋ 石像魔王塊×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1深淵石像魔王",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10534.html)
2023-11-09～2023-11-23,2023-11-09,新職業登場！無雙刀客參上,"Lv1的殺龍之刃 ＋ 變異之源×3 ＋ 逆刃鍛刀石×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1殺龍逆刃",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10534.html)
未載明（公告日 2023-10-25）,2023-10-25,萬聖狂欢 百魅之夜,任意等級的鐮刀魔 ＋ 鐮刀魔設計圖ABCDE×1 ＝ Lv1改造鐮刀魔,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10474.html)
未載明（公告日 2023-10-25）,2023-10-25,萬聖狂欢 百魅之夜,任意等級的暗黑僧侶 ＋ 暗黑僧侶設計圖ABCDE×1 ＝ Lv1改造暗黑僧侶,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10474.html)
未載明（公告日 2023-10-25）,2023-10-25,萬聖狂欢 百魅之夜,任意等級的斬首者 ＋ 斬首者設計圖ABCDE×1 ＝ Lv1改造斬首者,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10474.html)
未載明（公告日 2023-10-25）,2023-10-25,萬聖狂欢 百魅之夜,任意等級的冥界死神 ＋ 冥界死神設計圖ABCDE×1 ＝ Lv1改造冥界死神,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10474.html)
2023-10-10～2023-11-11,2023-10-09,劍之侍魂 武魂狂人,Lv1武士和馬 ＋ 侍魂之證×1 ＝ / ├ Lv1武士和馬（概率95%） / └ Lv1侍魂和馬（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10404.html)
2023-10-10～2023-11-11,2023-10-09,劍之侍魂 武魂狂人,Lv1和馬 ＋ 武士和馬設計圖ABCDE×1 ＝ Lv1武士和馬,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10404.html)
2023-10-10～2023-11-11,2023-10-09,劍之侍魂 武魂狂人,任意等級的侍魂和馬 ＋ 轉生武魂×1 ＝ Lv1武士和馬,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10404.html)
未載明（公告日 2023-09-22）,2023-09-22,嫦娥公主伴佳節 飛仙奔月共團圓（秘寶8折特惠！）,"任意等級的風月之靈 ＋ 變異之源×3 ＋ 月靈花×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1風月公主",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html)
未載明（公告日 2023-09-22）,2023-09-22,嫦娥公主伴佳節 飛仙奔月共團圓（秘寶8折特惠！）,"任意等級的皎月之靈 ＋ 閃耀變異之源×3 ＋ 皎月花×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1皎月公主",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html)
未載明（公告日 2023-09-22）,2023-09-22,嫦娥公主伴佳節 飛仙奔月共團圓（秘寶8折特惠！）,"任意等級的猩紅之靈 ＋ 變異之源×3 ＋ 月靈花×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1猩紅公主",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html)
未載明（公告日 2023-09-22）,2023-09-22,嫦娥公主伴佳節 飛仙奔月共團圓（秘寶8折特惠！）,"任意等級的水月之靈 ＋ 變異之源×3 ＋ 月靈花×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1水月公主",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html)
未載明（公告日 2023-09-22）,2023-09-22,嫦娥公主伴佳節 飛仙奔月共團圓（秘寶8折特惠！）,"任意等級的月宮之靈 ＋ 變異之源×3 ＋ 月靈花×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1月宮公主",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html)
未載明（公告日 2023-09-22）,2023-09-22,嫦娥公主伴佳節 飛仙奔月共團圓（秘寶8折特惠！）,"任意等級的暗月之靈 ＋ 閃耀變異之源×3 ＋ 暗月花×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1暗月公主",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html)
未載明（公告日 2023-09-21）,2023-09-21,霸氣魔蛇現世 元素使限時返場,Lv1炎精靈 ＋ 火元素之卵×3 ＋ 閃耀變異之源×10 ＋ 精靈王契約×100 ＝ 烈焰元素使,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10324.html)
未載明（公告日 2023-09-21）,2023-09-21,霸氣魔蛇現世 元素使限時返場,Lv1木精靈 ＋ 地元素之卵×3 ＋ 閃耀變異之源×10 ＋ 精靈王契約×100 ＝ 大地元素使,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10324.html)
未載明（公告日 2023-09-21）,2023-09-21,霸氣魔蛇現世 元素使限時返場,Lv1光精靈 ＋ 風元素之卵×3 ＋ 閃耀變異之源×10 ＋ 精靈王契約×100 ＝ 天空元素使,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10324.html)
未載明（公告日 2023-09-21）,2023-09-21,霸氣魔蛇現世 元素使限時返場,"Lv1冰精靈 ＋ 水元素之卵×3 ＋ 閃耀變異之源×10 ＋ 精靈王契約×100 ＋ 金幣50,000G ＝ Lv1海洋元素使",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10324.html)
2023-09-09～2023-10-10,2023-09-08,開啟回憶的羈絆 白銀之魂猶大,任意等級的天啟者猶大 ＋ 轉生鎧甲×1 ＝ Lv1猶大,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10254.html)
2023-09-09～2023-10-10,2023-09-08,開啟回憶的羈絆 白銀之魂猶大,Lv1地獄將軍 ＋ 猶大設計圖ABCDE×1 ＝ Lv1猶大,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10254.html)
2023-09-09～2023-10-10,2023-09-08,開啟回憶的羈絆 白銀之魂猶大,Lv1的猶大 ＋ 天啟鎧甲×1 ＝ / ├ Lv1猶大（概率95%） / └ Lv1天啟者猶大（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10254.html)
未載明（公告日 2023-09-08）,2023-09-08,不死的試煉 挑戰幽靈道場,"任意等級的符能青鸞 ＋ 閃耀變異之源×3 ＋ 青鸞之翼×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1青鸞聖鳥",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10234.html)
未載明（公告日 2023-09-08）,2023-09-08,不死的試煉 挑戰幽靈道場,"任意等級的幽紫妖靈 ＋ 閃耀變異之源×3 ＋ 幽靈魔鏡×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1幽紫魔靈",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10234.html)
未載明（公告日 2023-09-08）,2023-09-08,不死的試煉 挑戰幽靈道場,"Lv1的德魯伊之鬼 ＋ 變異之源×3 ＋ 德魯伊之血×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1德魯伊之魂",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10234.html)
未載明（公告日 2023-08-24）,2023-08-24,相遇花妖王 雷霆幻獸大加強,"任意等級的雷霆幻獸 ＋ 閃耀變異之源×3 ＋ 神獸之力×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1雷霆神獸",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10184.html)
未載明（公告日 2023-08-24）,2023-08-24,相遇花妖王 雷霆幻獸大加強,"任意等級的蟲毒魔蟹 ＋ 閃耀變異之源×3 ＋ 毒蟹精魄×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1噬魂毒蟹",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10184.html)
未載明（公告日 2023-08-24）,2023-08-24,相遇花妖王 雷霆幻獸大加強,"Lv1散步花妖 ＋ 變異之源×3 ＋ 星綠草×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1星綠花妖王",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10184.html)
未載明（公告日 2023-08-09）,2023-08-09,22週年慶最終彈,"任意等級的黃金鼠王 ＋ 變異之源×3 22週年鼠王彩帶×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1 22週年鼠王",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10104.html)
未載明（公告日 2023-08-09）,2023-08-09,22週年慶最終彈,"任意等級的純白液態史萊姆 ＋ 變異之源×3 22週年史萊姆精華×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1 22週年液態史萊姆",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10104.html)
未載明（公告日 2023-08-09）,2023-08-09,22週年慶最終彈,"任意等級的懷舊樹精 ＋ 變異之源×3 22週年樹精寶珠×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1 22週年樹精",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10104.html)
2023-08-08～2023-09-09,2023-08-07,改造的巔峰藝術 紅翼奇美拉的崛起,Lv1布雷歐 ＋ 布雷歐設計圖ABCDE×1 ＝ Lv1改造布雷歐,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10084.html)
2023-08-08～2023-09-09,2023-08-07,改造的巔峰藝術 紅翼奇美拉的崛起,任意等級的紅翼奇美拉 ＋ 轉生火蛋殼×1 ＝ Lv1改造布雷歐,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10084.html)
2023-08-08～2023-09-09,2023-08-07,改造的巔峰藝術 紅翼奇美拉的崛起,任意等級的改造布雷歐 ＋ 浴火雛菊×1 ＝ / ├ Lv1改造布雷歐（概率95%） / └ Lv1紅翼奇美拉（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10084.html)
未載明（公告日 2023-07-27）,2023-07-27,22週年慶第一彈,"任意等級的赤炎黃蜂 ＋ 變異之源×3 22週年黃蜂基因×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1 22週年黃蜂",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9994.html)
未載明（公告日 2023-07-27）,2023-07-27,22週年慶第一彈,"任意等級的櫻花螳螂 ＋ 變異之源×3 22週年螳螂基因×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1 22週年螳螂",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9994.html)
未載明（公告日 2023-07-27）,2023-07-27,22週年慶第一彈,"任意等級的暗黑水龍蜥 ＋ 變異之源×3 22週年水龍蜥基因×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1 22週年水龍蜥",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9994.html)
未載明（公告日 2023-07-20）,2023-07-20,被詛咒的魔靈 神隱魔偶之謎,"Lv1巨錘魔偶 ＋ 變異之源×3 ＋ 神隱之帽×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1神隱魔偶",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9954.html)
2023-07-07～2023-08-08,2023-07-07,魔族改造人 不死暗醫登場,任意等級的暗醫阿魯巴斯 ＋ 轉生手術刀×1 ＝ Lv1阿魯巴斯克隆體,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9844.html)
2023-07-07～2023-08-08,2023-07-07,魔族改造人 不死暗醫登場,任意等級的阿魯巴斯克隆體 ＋ 超級手術刀×1 ＝ / ├ Lv1阿魯巴斯克隆體（概率95%） / └ Lv1暗醫阿魯巴斯（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9844.html)
2023-07-07～2023-08-08,2023-07-07,魔族改造人 不死暗醫登場,Lv阿魯巴斯 ＋ 阿魯巴斯克隆體設計圖ABCDE×1 ＝ Lv1阿魯巴斯克隆體,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9844.html)
未載明（公告日 2023-07-06）,2023-07-06,海洋之誓 美人魚之旅,Lv1水母霸王 ＋ 變異之源×7 ＋ 海洋變異能量塊×100 ＝ Lv1雷暴娃娃水母,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9834.html)
未載明（公告日 2023-07-06）,2023-07-06,海洋之誓 美人魚之旅,Lv1水母霸王 ＋ 水母再生結晶×1 ＝ Lv1雷暴娃娃水母,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9834.html)
未載明（公告日 2023-07-06）,2023-07-06,海洋之誓 美人魚之旅,"Lv1小魚仙 ＋ 變異之源×3 ＋ 琴韻徽章×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1琴韻海妖",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9834.html)
未載明（公告日 2023-06-21）,2023-06-21,端午戰龍王 龍祖山激鬥,"Lv100的樹精 ＋ 古代巨櫻種子×3 ＋ 閃耀變異之源×10 ＋ 精靈王契約×100 ＋ 金幣100,000G ＝ Lv1古代巨櫻樹王",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9754.html)
未載明（公告日 2023-06-21）,2023-06-21,端午戰龍王 龍祖山激鬥,"任意等級的暗裔龍祖 ＋ 閃耀變異之源×3 ＋ 暗裔覺醒×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1暗裔龍王",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9754.html)
未載明（公告日 2023-06-21）,2023-06-21,端午戰龍王 龍祖山激鬥,"Lv1口袋龍 ＋ 變異之源×3 ＋ 元素感知×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1反轉袋龍",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9754.html)
2023-06-15～2023-06-21,2023-06-15,夏日的奇幻之旅 艷陽鼠王與百香公主的相遇,"Lv1鼠王 ＋ 變異之源×3 ＋ 艷陽傳承×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1艷陽鼠王",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9724.html)
2023-06-15～2023-06-21,2023-06-15,夏日的奇幻之旅 艷陽鼠王與百香公主的相遇,"Lv1百香小妖 ＋ 變異之源×3 ＋ 百香精華×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1百香公主",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9724.html)
2023-06-06～2023-07-07,2023-06-05,冠絕天際 龍威鎮魔界,Lv達哈卡 ＋ 九頭巨蛇設計圖ABCDE×1 ＝ Lv1九頭巨蛇,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9654.html)
2023-06-06～2023-07-07,2023-06-05,冠絕天際 龍威鎮魔界,任意等級的喪屍魔龍 ＋ 轉生蛇毒×1 ＝ Lv1九頭巨蛇,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9654.html)
2023-06-06～2023-07-07,2023-06-05,冠絕天際 龍威鎮魔界,任意等級的九頭巨蛇 ＋ 化龍泉水×1 ＝ / ├ Lv1九頭巨蛇（概率95%） / └ Lv1喪屍魔龍（概率5%）,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9654.html)
未載明（公告日 2023-06-01）,2023-06-01,炎熱夏至 甜蜜律動蜜瓜公主,"Lv1蜜瓜小妖 ＋ 變異之源×3 ＋ 蜜瓜精華×10 ＋ 精靈王契約×50 ＋ 金幣100,000G ＝ Lv1蜜瓜公主",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9624.html)
2023-05-25～2023-06-01,2023-05-25,《魔力寶貝：永恆初心》二週年最終彈,"任意等級的聖劍 ＋ 聖劍再生結晶×1 ＋ 金幣20,000G ＝ Lv1聖劍",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9584.html)
2023-05-25～2023-06-01,2023-05-25,《魔力寶貝：永恆初心》二週年最終彈,"Lv1隕星之刃或 Lv1冰霜之刃或 Lv1滅魔之刃或 Lv1碧空之刃 ＋ 變異之源×3 ＋ 聖晶石×10 ＋ 精靈王契約×100 ＋ 金幣100,000G ＝ Lv1聖劍",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9584.html)
2023-05-11～2023-05-18,2023-05-11,《魔力寶貝：永恆初心》二週年第二彈,"任意等級的魔劍 ＋ 魔劍再生結晶×1 ＋ 金幣20,000G ＝ Lv1魔劍",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9524.html)
2023-05-11～2023-05-18,2023-05-11,《魔力寶貝：永恆初心》二週年第二彈,"Lv1裁岩劍或 Lv1霧雨劍或 Lv1赤炎劍或 Lv1疾風劍 ＋ 變異之源×3 ＋ 魔晶石×10 ＋ 精靈王契約×100 ＋ 金幣100,000G ＝ Lv1魔劍",[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9524.html)
