日期,類別,重點標記,開放內容說明,公告,首次公開寵物,公告連結
2023-05-25,節慶／活動,,,《魔力寶貝：永恆初心》二週年最終彈,冰霜之刃、滅魔之刃、碧空之刃、聖劍、隕星之刃,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9584.html)
2023-05-18,節慶／活動,,,《魔力寶貝：永恆初心》二週年第三彈,地寶石精靈、水寶石精靈、火寶石精靈、破曉之刃、精靈女皇、風寶石精靈,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9564.html)
2023-05-17,地圖／任務,新任務、限時任務,開放傳說之劍任務：鎮魂之歌；開放限時任務：週年慶祝福活動,5月18日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9554.html)
2023-05-12,節慶／活動,,,《魔力寶貝：永恆初心》二週年第一彈首抽活動點數返還公告。,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9534.html)
2023-05-12,賽事,,,PVP爭霸賽正式賽（第一期）開啟預告,勝利女神、多刺甲龍、機甲R8型,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9544.html)
2023-05-11,節慶／活動,,,《魔力寶貝：永恆初心》二週年第二彈,疾風劍、裁岩劍、赤炎劍、霧雨劍、魔劍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9524.html)
2023-05-04,賽事,,,PVP爭霸賽測試賽獎勵發放通知及下期預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9494.html)
2023-05-03,地圖／任務,限時任務、新地圖,開放限時任務：尾狐棲息地；開放限時任務：二週年集字活動；開放地圖：白砂村,5月5日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9484.html)
2023-04-29,節慶／活動,,,《魔力寶貝：永恆初心》二週年活動盛大開啟,一尾狐、七尾狐、三尾狐、九尾狐、五尾狐、海洋元素使、神聖巨龍、銀狐、雷霆之怒,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9464.html)
2023-04-27,寵物／秘寶,,,強襲之心 永無止境,強襲地雷、強襲機甲LMX、水殼龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9444.html)
2023-04-27,地圖／任務,,,任務賽第四季開啟公告,古代緋櫻長老,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9454.html)
2023-04-26,賽事,,,PVP爭霸正式賽報名規則公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9424.html)
2023-04-22,賽事,,,PVP爭霸賽參賽指引,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9414.html)
2023-04-17,賽事,,,關於PVP爭霸賽重新報名公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9394.html)
2023-04-17,賽事,,,關於PVP爭霸賽無法加入替補成員問題公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9334.html)
2023-04-17,賽事,,,PVP爭霸測賽（測試賽）開啟公告,伏葉妖精、利刃勇士、斯巴達戰神,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9324.html)
2023-04-14,賽事,,,PVP爭霸測試賽規則說明,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9304.html)
2023-04-13,地圖／任務,,,速通星辰塔 智鬥機甲巨獸,土甲龍、機甲C2型、機甲G１型、赤甲黃尾龍、閃光地雷、閃光機甲AEX,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9294.html)
2023-04-04,活動／營運,,,累積消費活動上線啦,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9254.html)
2023-04-04,寵物／秘寶,,,神之使者 天使降臨,光明天使、大天使、天使路西法,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9264.html)
2023-03-29,寵物／秘寶,,,不屈意志 來自地獄的怒吼,地獄小惡魔、地獄星、天界小惡魔、太陽海豚、深淵小惡魔、魔弓巴克達、魔界小惡魔,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9214.html)
2023-03-16,寵物／秘寶,,,鬼焰燎原 冥府之主霸氣降臨,冥府之主、冥界騎士、玫瑰毒怪,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9184.html)
2023-03-15,寵物／秘寶,,,連破競速賽 勇奪珍稀豪禮,飛刃螳螂,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9174.html)
2023-03-03,寵物／秘寶,,,霸天巨獸 牛鬼領主,大地牛鬼領主、寒冰牛鬼領主、火焰牛鬼領主、烈風牛頭怪、烈風牛鬼領主、烈風牛魔王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9144.html)
2023-03-02,寵物／秘寶,,,公主的往事 聖晶之約,冰原獨角獸、古代紅櫻長老、地鈴花妖、橘子公主、水鈴花妖、火鈴花妖、聖晶獨角獸、風鈴花妖,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9134.html)
2023-02-15,地圖／任務,,,探索冰原禁地 直面死亡的氣息,冰霜巨龍、毒龍骨、炎心真龍、黃金龍骨,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9084.html)
2023-02-15,地圖／任務,新任務,開放任務：冰原禁地,2月16日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9074.html)
2023-02-02,寵物／秘寶,,,歡樂享不停 好寵與你度佳節,地獄護衛犬、海賊王、繽紛水藍鼠,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9034.html)
2023-02-02,地圖／任務,,,勇奪任務小達人 赤鳳陪伴共團圓,彩鳳、熾炎神鳳、番茄聖女、赤鳳、金鳳,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9044.html)
2023-02-02,寵物／秘寶,,,兄弟羈絆 一念仙魔,修羅歐茲尼克、羅剎歐茲那克、酒仙歐茲那克、鬥神歐茲尼克,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9024.html)
2023-01-19,節慶／活動,,,關於新春活動更新問題公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8994.html)
2023-01-18,節慶／活動,,,新春招財齊拜年,億萬兩招財貓、兔吉兆、兔吉利、兔吉星、兔吉祥、十萬兩招財貓、千兩招財貓、吉兆癸兔、吉利癸兔、吉星癸兔、吉祥癸兔、百兩招財貓、萬兩招財貓,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8984.html)
2023-01-05,寵物／秘寶,,,勇者派好物 月靈伴你迎新年,逐月仙靈、風暴仙靈,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8944.html)
2022-12-31,寵物／秘寶,,,新生露比賀新年 火力全開齊冒險,劍術大師露比、巫術大師露比、弓術大師露比、戰斧大師露比、新生露比、格鬥大師露比、槍術大師露比、見習劍士露比、見習巫師露比、見習弓箭手露比、見習戰斧露比、見習格鬥家露比、見習騎士露比,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html)
2022-12-21,節慶／活動,,,聖誕第二彈 聖誕王子,火柴小王子、碧燄、赤燄,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8854.html)
2022-12-21,地圖／任務,限時任務,開放限時任務：聖誕活動（二）,12月22日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8844.html)
2022-12-12,寵物／秘寶,,,邪魅的暗夜旅團 咒殺型改造人,咒殺型山吹、山吹,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8824.html)
2022-12-08,節慶／活動,,,聖誕第一彈 精靈花環大聚會,暴雪魔獸、月獅、蝕月炎獸、雪獅,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8814.html)
2022-12-07,地圖／任務,限時任務,開放限時任務：聖誕活動（一）,12月8日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8804.html)
2022-11-24,寵物／秘寶,,,感恩巡迴禮 仙靈降賜福,山隱仙靈、星輝仙靈、潮汐仙靈、焚炎仙靈、焦糖丸子炸彈,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8764.html)
2022-11-23,地圖／任務,限時任務,開放限時任務：感恩節活動,11月24日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8754.html)
2022-11-11,寵物／秘寶,,,至暗君王 撒旦降臨,地獄魔王、魔王撒旦,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8714.html)
2022-11-10,地圖／任務,,,相遇天空元素使 決戰落神峰,天空元素使,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8704.html)
2022-11-09,地圖／任務,新任務,開放傳說之劍任務：洛亞花園,11月10日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8694.html)
2022-11-03,寵物／秘寶,,,關於11月商城新品的公告,天然寶石鼠、強盾守護、碧角口袋龍、綠帽哥布林、逆刃死灰,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8684.html)
2022-11-01,賽事,,,關於精靈王國資料片與PVP賽事的最新資訊,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8664.html)
2022-10-28,節慶／活動,,,回歸迎新活動兌換頁面延長公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8644.html)
2022-10-27,節慶／活動,,,萬聖驚魂夜 百鬼會假面,巨斧假面、赤炎假面,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8614.html)
2022-10-26,地圖／任務,限時任務、新任務,開放限時任務：萬聖節晚會；開放任務：斷空學院；開放任務：師姐的回憶,10月27日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8604.html)
2022-10-13,地圖／任務,,,《魔力寶貝：永恆初心》精靈大陸活動第二彈,冰靴精靈、天狼星、岩鐵怪、檸檬蝙蝠、深綠蝙蝠、炎精靈、烈焰元素使、綠沼泥、鑽石蟲、靴怪精靈、風甲蜥蜴、黑曜蟲,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8484.html)
2022-10-12,地圖／任務,新任務,開放傳說之劍任務：真視之境；開放傳說之劍任務：狩獵女神；開放任務：競技場修行,10月13日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8474.html)
2022-10-09,寵物／秘寶,,,詛咒一族 赤紅與金黃的騎士,凱法、帕布提斯馬、死亡騎士、猩紅騎士,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8464.html)
2022-10-05,地圖／任務,地圖預告,預告 10月13日 開放：精靈城,10月6日不停機維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8434.html)
2022-09-29,節慶／活動,,,「10月回歸迎新活動」,舞動花妖,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8374.html)
2022-09-29,地圖／任務,,,《魔力寶貝：永恆初心》慶祝勇者踏足精靈大陸 好禮活動盛大開放,大地元素使、木精靈,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8364.html)
2022-09-28,地圖／任務,新任務,開放傳說之劍任務：沉睡之役,9月29日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8344.html)
2022-09-21,地圖／任務,地圖預告,預告 9月29日 開放：精靈王國,9月22日不停機維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8334.html)
2022-09-14,寵物／秘寶,,,殺戮魔劍現世 探尋精靈之謎,光精靈、冰精靈,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8314.html)
2022-09-14,地圖／任務,新任務,開放傳說之劍前置任務：精靈之謎,9月15日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8304.html)
2022-09-09,寵物／秘寶,,,再遇失翼之龍 神龍杜瓦的呼喚,大地巨龍、失翼之龍杜瓦,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8294.html)
2022-08-31,地圖／任務,,,廣寒宮大危機 降服暴走仙兔,廣寒仙兔、月兔卜樂、白櫻麻薯兔兔、紅豆麻薯兔兔、綠茶麻薯兔兔、芋泥麻薯兔兔、花生麻薯兔兔、黑醬麻薯兔兔,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8253.html)
2022-08-31,地圖／任務,限時任務,開放限時中秋任務：廣寒宮危機,9月1日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8243.html)
2022-08-18,寵物／秘寶,,,太陽風暴肆虐 冰與火的抉擇,暗影鳥人、曜玉金鵷、雛鳳,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8203.html)
2022-08-17,地圖／任務,限時任務,開放限時任務：冰與火的抉擇,8月18日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8193.html)
2022-08-12,寵物／秘寶,,,冥界幽靈鬧法蘭 中元祭掃願君安,卡卡特、卡爾克、巫妖王之魂、巫師之鬼、白銀之棺、血魔之棺、魔導師之魂、魔法師之鬼,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8073.html)
2022-08-05,寵物／秘寶,,,酒之殿堂的戰神 寒冰牛魔王震撼登場,寒冰牛頭怪、寒冰牛魔王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8033.html)
2022-08-03,節慶／活動,,,七夕的結晶 相遇布卡小精靈,寄生布卡、布卡、布卡四重奏、樹精布卡、連、陣,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8013.html)
2022-08-03,地圖／任務,限時任務,開放七夕限時任務：七夕精靈,8月4日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8003.html)
2022-08-01,寵物／秘寶,,,關於魔力盲盒（八）可獲得的寵物能力公告,北海響尾鯊、格陵蘭虎鯊,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7993.html)
2022-07-21,節慶／活動,,,《魔力寶貝：永恆初心》21週年慶最終彈,紅魔精靈箱、純白精靈箱、藍魔精靈箱,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7973.html)
2022-07-21,地圖／任務,限時任務,開放21週年限時任務：純白的連破戰,7月21日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7963.html)
2022-07-08,地圖／任務,,,21週年慶典寵物島任務賽排名獎勵說明,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7923.html)
2022-07-07,節慶／活動,,,《魔力寶貝：永恆初心》21週年慶第一彈,兔耳精靈箱、嚇人精靈箱、地獄亡靈、地獄惡魔、綠蛙精靈箱,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7913.html)
2022-07-06,地圖／任務,限時任務,開放21週年限時任務：寵物島狂歡,7月7日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7903.html)
2022-06-30,寵物／秘寶,,,糧倉大危機 智鬥魔鴨一族,披甲魔鴨、暴走使徒、暴走霸王、毒刺魔鴨、水藍魔鴨、赤目魔鴨,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7863.html)
2022-06-16,地圖／任務,,,野獸道場 速度與激情的歷練,蟲毒魔蟹、雷霆幻獸,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7823.html)
2022-06-02,寵物／秘寶,,,鬼魅無頭 沙海將軍來襲,沙海將軍、無頭將軍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7753.html)
2022-06-02,節慶／活動,,,超越變異! 端午再戰進化龍祖!,暗裔龍祖、甜心炸彈,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7743.html)
2022-05-26,節慶／活動,,,最終決戰！李貝留斯的逆襲！ 《魔力寶貝：永恆初心》一週年慶典活動最終彈！,李貝留斯、軍王李貝留斯,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7703.html)
2022-05-19,節慶／活動,,,週年慶祝福禮包領取方式,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7653.html)
2022-05-19,節慶／活動,,,破除各地結界 迎戰邪神降臨！ 《魔力寶貝：永恆初心》一週年慶典活動第三彈！,巴洛斯、邪神巴洛斯,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7643.html)
2022-05-11,節慶／活動,,,穿越遠古戰場 重鑄不朽神器！ 《魔力寶貝：永恆初心》一週年慶典活動第二彈！,狂魔阿卡斯、阿卡斯,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7583.html)
2022-05-05,節慶／活動,,,共赴週年慶典 並肩決戰逆神！ 《魔力寶貝：永恆初心》一週年慶典活動盛大開啟,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7493.html)
2022-05-05,活動／營運,,,儲值福利回饋活動,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7503.html)
2022-05-05,寵物／秘寶,,,「逆神再臨」,佛利波羅、魔化佛利波羅,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7473.html)
2022-05-05,節慶／活動,,,「回歸迎新活動」,兔耳初心粉紅雞、兔耳寶貝紫藍雞、兔耳永恆熒光雞、兔耳魔力小黃雞、初心粉紅雞、印第安魔力小雞、大法官魔力小雞、寶貝紫藍雞、永恆熒光雞、牛仔帽魔力小雞、紳士裝魔力小雞、週年慶禮盒地精靈、週年慶禮盒水精靈、週年慶禮盒火精靈、週年慶禮盒風精靈、魔力小黃雞,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7463.html)
2022-05-05,寵物／秘寶,,,「5月5日聖龍寶盒」,神聖翼龍、翼龍,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7483.html)
2022-04-28,節慶／活動,,,《魔力寶貝：永恆初心》初心網絡X大宇資訊1週年慶典預告！,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7433.html)
2022-04-21,寵物／秘寶,,,詛咒的不祥之地 鎮壓深淵魔王,暗黑龍骨、玄翼暴龍、闇影魔龍、龍骨,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7413.html)
2022-04-16,寵物／秘寶,,,寵物研究所開放公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7343.html)
2022-04-07,寵物／秘寶,,,拯救盜賊團 封印滅世魔刃,橙月、碧月、絳月、血腥魔刃、青月,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7303.html)
2022-04-02,寵物／秘寶,,,祭奠心美 忍王梅茲參見,忍王梅茲、梅茲,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7283.html)
2022-03-24,地圖／任務,,,幽靈道場 速度與技巧的挑戰,幽紫妖靈、惡夢貓、獅面女神、福爾菲斯、貓臉女神、貓隊長,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7223.html)
2022-03-24,地圖／任務,,,寵物裝備競技場PK時消耗耐久及任務賽排名優化公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7243.html)
2022-03-23,地圖／任務,限時任務,開放限時任務：幽靈道場試煉,3月24日停機公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7213.html)
2022-03-10,寵物／秘寶,,,物資大派送 寵物裝備爭奪賽,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7173.html)
2022-03-10,寵物／秘寶,,,一把斧頭現，千軍萬馬來相見,斧頭幫千軍、斧頭幫萬馬,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7163.html)
2022-03-03,寵物／秘寶,,,點燃它的怒火 召喚煉獄牛頭怪！,火焰牛頭怪、煉獄牛頭怪、艾兒卡絲,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7123.html)
2022-02-23,寵物／秘寶,,,晉升S階，邂逅天馬群,布偶凱琪、布偶夏莉、布偶米琪、布偶紫音、布偶艾菈、飛馬公主、飛馬王子,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7083.html)
2022-02-10,節慶／活動,,,情人節不孤單 與她共度元宵節,天使小熊、愛心小熊、愛情小熊、愛神丘比特、戀愛小熊、流沙元宵、紅豆元宵、芝麻元宵、花生元宵,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7023.html)
2022-01-29,節慶／活動,,,關於勇者回歸活動的問題,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6973.html)
2022-01-28,寵物／秘寶,,,一生的羈絆 打虎兄弟來拜年,歐茲尼克、歐茲那克、煞氣歐茲尼克、熊霸歐茲那克,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6963.html)
2022-01-27,節慶／活動,,,勇者回歸活動,刺豬寶寶、呆萌豬王、斑點豬寶寶、棕豬太郎、灰豬太郎、白眉豬王、白紋豬寶寶、粉心王妃、粉豬太郎、純金豬王、銀豬太郎、銅豬寶寶,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6943.html)
2022-01-26,寵物／秘寶,,,萌虎賀新年 年貨送萬家,喜慶虎寶寶、幸福虎寶寶、招財虎寶寶、歡樂虎寶寶、行大運白虎王、贏珍寶黑虎王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6933.html)
2022-01-26,地圖／任務,限時任務,開放限時任務：虎靈山救援,1月27日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6923.html)
2022-01-13,寵物／秘寶,,,光與闇的花火 大戰深淵小丑魚,小丑魚霸王、碧波小丑魚、蒼角小丑魚、赤丸小丑魚、風暴小丑魚王、魔方小丑魚,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6833.html)
2022-01-12,地圖／任務,新任務,開放海底世界任務：影子刺客,1月13日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6823.html)
2021-12-30,節慶／活動,,,關於聖誕火焰鼠能力問題的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6653.html)
2021-12-30,節慶／活動,,,聖誕活動第二彈 聖誕鼠王的求助,糖果大地鼠、聖誕寶石鼠、聖誕水藍鼠、聖誕火焰鼠、聖誕鼠王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6643.html)
2021-12-29,地圖／任務,限時任務,開放限時任務：聖誕鼠王的求助,12月30日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6633.html)
2021-12-23,節慶／活動,,,聖誕活動第一彈 尋找聖誕老人,白金雪橇鹿車、聖誕林鹿、聖誕梅花鹿、聖誕馴鹿、聖誕麋鹿、聖金雪橇鹿車、黃金雪橇鹿車、黑金雪橇鹿車,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6613.html)
2021-12-22,地圖／任務,限時任務,開放限時任務：尋找聖誕老人,12月23日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6603.html)
2021-12-15,地圖／任務,新任務,開放各職業專屬腕輪任務：公爵的贈禮,12月17日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6573.html)
2021-12-10,寵物／秘寶,,,進擊雙十二 歐特奇美拉降臨,歐特奇美拉、疾風奇美拉,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6553.html)
2021-12-09,寵物／秘寶,,,魔法大學來使 置換雪之精靈,可愛小熊、愛絲波波、愛絲精靈、搗蛋小熊、淘氣小熊、絲諾波波、絲諾精靈、聖誕小熊、聖誕波波、聖誕精靈、雪兒波波、雪兒精靈,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6533.html)
2021-11-25,寵物／秘寶,,,海族異動 風雨欲來,嗜血巡遊鯊、多雲娃娃水母、大雪娃娃水母、小雨娃娃水母、晴天娃娃水母、水母霸王、致幻海葵、迷幻海葵、迷魂草、雷暴娃娃水母、飛刺海馬,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6413.html)
2021-11-11,寵物／秘寶,,,四重驚喜，震撼雙十一,冷酷魷魚、呆萌魷魚、噩夢旋律影子、旋律影子、暴躁魷魚、瘋狂魷魚、閃光魷魚王、魷魚霸王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6373.html)
2021-11-10,地圖／任務,限時任務,開放限時任務：魷魚的遊戲,11月11日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6363.html)
2021-11-01,活動／營運,,,累計消費活動第三期公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6333.html)
2021-10-28,節慶／活動,,,狂歡萬聖節 扮鬼來要糖,晨曦南瓜怪、暮夜南瓜怪、白晝南瓜怪、萬聖南瓜精靈、黃昏南瓜怪,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6303.html)
2021-10-27,地圖／任務,限時任務,開放限時任務：萬聖節活動,10月28日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6293.html)
2021-10-14,地圖／任務,新任務,開放前置任務：魚人的歌聲,海底世界前置任務：魚人的歌聲,沼澤龍蝦、海龍蝦、火頸龍、烈焰龍蝦、烈風龍蝦、牛角寄居蟹、青銅刺豚、龍蝦霸王,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6223.html)
2021-10-13,地圖／任務,新任務,開放海底世界前置任務：魚人的歌聲,10月14日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6213.html)
2021-10-09,寵物／秘寶,,,霸氣外露，強襲牛鬼10月10日震撼登場！！！,強襲牛鬼、牛鬼,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6203.html)
2021-09-30,活動／營運,,,魔力扭蛋活動介紹,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6173.html)
2021-09-30,地圖／任務,限時任務,開放限時任務：青鸞迷蹤-抉擇,限時任務：青鸞迷蹤-抉擇,屠龍鬥士、符能青鸞、紫翎,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6143.html)
2021-09-30,活動／營運,,,累計消費活動第二期公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6153.html)
2021-09-29,活動／營運,,,關於艾爾巴尼亞王國提前體驗開啟公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6123.html)
2021-09-17,節慶／活動,,,關於本次中秋節活動將新增兌換NPC的公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6083.html)
2021-09-16,地圖／任務,,,中秋節限時任務,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5893.html)
2021-09-16,節慶／活動,,,中秋大富翁活動 與您共度佳節,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5903.html)
2021-09-15,地圖／任務,限時任務,開放活動：中秋節限時任務,9月16日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5863.html)
2021-09-10,地圖／任務,,,【海底世界資料片】 - 進度預告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5833.html)
2021-09-08,活動／營運,,,傳說降臨，深邃幻影９月９日限時登場！！！,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5763.html)
2021-09-01,活動／營運,,,累計消費活動公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5533.html)
2021-09-01,地圖／任務,新地圖,開放地圖與任務：蘇之國,9月3日維護公告,,[查看](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_5593.html)
