名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,技能,公告日,公告連結,image,任務用途
技魂阿爾卡迪亞,人形系,45,47,11,16,6,9,125,火5風5,亂射Lv5、必殺狙擊Lv10,2023-12-28,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html),/img/專屬寵物/技魂阿爾卡迪亞.gif,
戰魂阿爾卡迪亞,人形系,40,52,11,16,6,9,125,火5風5,潛龍殺Lv10、乾坤一擲Lv11,2023-12-28,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html),/img/專屬寵物/戰魂阿爾卡迪亞.gif,
咒術師阿爾卡迪亞,人形系,16,6,15,44,44,8,125,火5風5,強力混亂魔法Lv4,2023-12-28,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html),/img/專屬寵物/咒術師阿爾卡迪亞.gif,
魔法師阿爾卡迪亞,人形系,36,6,15,26,42,8,125,火5風5,混亂衝擊波Lv4,2023-12-28,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html),/img/專屬寵物/咒術師阿爾卡迪亞.gif,
劍士阿爾卡迪亞,人形系,32,42,13,32,6,8,125,火5風5,突襲之舞Lv4,2023-12-28,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html),/img/專屬寵物/劍士阿爾卡迪亞.gif,
格鬥家阿爾卡迪亞,人形系,22,40,17,40,6,8,125,火5風5,隔山打牛Lv4,2023-12-28,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html),/img/專屬寵物/格鬥家阿爾卡迪亞.gif,
弓箭手阿爾卡迪亞,人形系,24,40,15,40,6,8,125,火5風5,必殺狙擊Lv4,2023-12-28,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html),/img/專屬寵物/弓箭手阿爾卡迪亞.gif,
戰斧阿爾卡迪亞,人形系,40,40,15,24,6,8,125,火5風5,潛龍殺Lv4,2023-12-28,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html),/img/專屬寵物/戰斧阿爾卡迪亞.gif,
新生阿爾卡迪亞,人形系,24,24,24,24,24,8,120,火5風5,,2023-12-28,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10894.html),/img/專屬寵物/格鬥家阿爾卡迪亞.gif,
帝國少女士兵,人形系,44,41,17,17,6,9,125,風8地2,連擊Lv10、昏睡攻擊Lv11,2023-12-28,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10884.html),/img/專屬寵物/帝國少女士兵.gif,
帝國少年士兵,人形系,35,6,19,18,47,9,125,風5地5,強力石化魔法Lv5、混亂衝擊波Lv10,2023-12-28,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10884.html),/img/專屬寵物/帝國少年士兵.gif,
劍次,人形系,33,24,30,16,17,7,120,火5風5,,2023-11-10,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10564.html),/img/專屬寵物/劍次.gif,
刀客劍次,人形系,34,42,16,27,6,9,125,火5風5,諸刃Lv11,2023-11-10,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10564.html),/img/專屬寵物/劍次.gif,
侍魂和馬,人形系,15,44,10,50,6,9,125,水5火5,裂空斬Lv10、突襲之舞Lv10,2023-10-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10404.html),/img/專屬寵物/侍魂和馬.gif,
武士和馬,人形系,18,42,12,47,6,9,125,水5火5,裂空斬Lv10,2023-10-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10404.html),/img/專屬寵物/侍魂和馬.gif,
和馬,人形系,21,33,25,31,16,7,125,水5火5,,2023-10-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10404.html),/img/專屬寵物/侍魂和馬.gif,
皎月公主,人形系,16,6,13,40,50,9,125,地5水5,氣絕回復Lv1、超強昏睡魔法Lv5,2023-09-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html),/img/專屬寵物/皎月公主.gif,
暗月公主,人形系,17,50,12,40,6,9,125,火5風5,乾坤一擲Lv11、迅雷衝擊,2023-09-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html),/img/專屬寵物/暗月公主.gif,
月宮公主,人形系,22,9,43,9,42,9,125,地8風2,混亂衝擊波Lv10、強力石化魔法Lv5,2023-09-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html),/img/專屬寵物/月宮公主.gif,
水月公主,人形系,42,9,22,9,43,9,125,水8地2,混亂衝擊波Lv10、強力昏睡魔法Lv5,2023-09-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html),/img/專屬寵物/水月公主.gif,
猩紅公主,人形系,22,43,9,42,9,9,125,火8水2,乾坤一擲Lv11、毒性攻擊Lv11,2023-09-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html),/img/專屬寵物/猩紅公主.gif,
風月公主,人形系,43,42,9,22,9,9,125,風8火2,諸刃Lv11、遺忘攻擊Lv11,2023-09-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html),/img/專屬寵物/風月公主.gif,
阿魯巴斯,人形系,32,18,19,19,32,7,120,火3風7,,2023-07-07,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9844.html),/img/專屬寵物/阿魯巴斯.gif,
阿魯巴斯克隆體,人形系,35,52,13,19,6,9,125,火3風7,飛刃亂舞Lv10,2023-07-07,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9844.html),/img/專屬寵物/阿魯巴斯克隆體.gif,
斯巴達戰神,人形系,44,40,23,10,8,9,125,火10,潛龍殺Lv6,2023-04-17,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9324.html),/img/專屬寵物/斯巴達戰神.gif,
利刃勇士,人形系,40,33,27,15,10,8,125,火8風2,潛龍殺Lv3,2023-04-17,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9324.html),/img/專屬寵物/利刃勇士.gif,
伏葉妖精,人形系,28,39,16,25,12,8,120,地7水3,,2023-04-17,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9324.html),/img/專屬寵物/伏葉妖精.gif,
魔弓巴克達,人形系,28,48,19,24,6,9,125,地6水4,亂射Lv5,2023-03-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9214.html),/img/專屬寵物/魔弓巴克達.gif,
魔界小惡魔,人形系,27,42,21,18,12,8,120,地7水3,,2023-03-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9214.html),/img/專屬寵物/魔界小惡魔.gif,
天界小惡魔,人形系,18,12,21,27,42,8,120,水7火3,,2023-03-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9214.html),/img/專屬寵物/天界小惡魔.gif,
深淵小惡魔,人形系,27,12,18,21,42,8,120,火7風3,,2023-03-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9214.html),/img/專屬寵物/深淵小惡魔.gif,
地獄小惡魔,人形系,42,21,27,18,12,8,120,風7地3,,2023-03-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9214.html),/img/專屬寵物/地獄小惡魔.gif,
烈風牛頭怪,人形系,24,33,20,19,24,8,120,風10,,2023-03-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9144.html),/img/專屬寵物/烈風牛頭怪.gif,
烈風牛魔王,人形系,15,6,12,46,46,8,125,風10,,2023-03-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9144.html),/img/專屬寵物/烈風牛頭怪.gif,
大地牛鬼領主,人形系,50,35,13,21,6,9,125,地5水5,潛龍殺Lv6,2023-03-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9144.html),/img/專屬寵物/大地牛鬼領主.gif,[安默思的委託-突襲之舞](/職業技能任務/安默思的委託-突襲之舞) 攜帶即可直接入屋學技能，免收 777 片魔族靈魂碎片
寒冰牛鬼領主,人形系,34,52,13,20,6,9,125,水5火5,乾坤一擲點睛I,2023-03-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9144.html),/img/專屬寵物/寒冰牛鬼領主.gif,[安默思的委託-突襲之舞](/職業技能任務/安默思的委託-突襲之舞) 攜帶即可直接入屋學技能，免收 777 片魔族靈魂碎片
火焰牛鬼領主,人形系,14,6,12,48,45,9,125,火5風5,魔法反彈法Lv4,2023-03-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9144.html),/img/專屬寵物/火焰牛鬼領主.gif,[安默思的委託-突襲之舞](/職業技能任務/安默思的委託-突襲之舞) 攜帶即可直接入屋學技能，免收 777 片魔族靈魂碎片
烈風牛鬼領主,人形系,37,6,12,20,50,9,125,風5地5,混亂衝擊波Lv6,2023-03-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9144.html),/img/專屬寵物/烈風牛鬼領主.gif,[安默思的委託-突襲之舞](/職業技能任務/安默思的委託-突襲之舞) 攜帶即可直接入屋學技能，免收 777 片魔族靈魂碎片
海賊王,人形系,33,52,12,22,6,9,125,水5火5,潛龍殺Lv6,2023-02-02,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9034.html),/img/專屬寵物/海賊王.gif,
修羅歐茲尼克,人形系,38,50,11,20,6,9,125,水5火5,氣功彈I、隔山打牛Lv6,2023-02-02,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9024.html),/img/專屬寵物/修羅歐茲尼克.gif,
鬥神歐茲尼克,人形系,40,6,24,15,40,9,125,水5火5,恢復魔法Lv6,2023-02-02,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9024.html),/img/專屬寵物/鬥神歐茲尼克.gif,
酒仙歐茲那克,人形系,43,6,11,17,48,9,125,火5風5,混亂衝擊波Lv5、超強酒醉魔法Lv6,2023-02-02,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9024.html),/img/專屬寵物/酒仙歐茲那克.gif,
羅剎歐茲那克,人形系,45,45,11,18,6,9,125,火5風5,潛龍殺Lv6,2023-02-02,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_9024.html),/img/專屬寵物/羅剎歐茲那克.gif,
吉祥癸兔,人形系,40,40,15,15,15,8,125,地10,潛龍殺Lv4,2023-01-18,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8984.html),/img/專屬寵物/吉祥癸兔.gif,
吉利癸兔,人形系,15,40,40,15,15,8,125,水10,必殺狙擊Lv4,2023-01-18,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8984.html),/img/專屬寵物/吉利癸兔.gif,
吉星癸兔,人形系,40,15,15,15,40,8,125,火10,強力中毒魔法Lv4,2023-01-18,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8984.html),/img/專屬寵物/吉星癸兔.gif,
吉兆癸兔,人形系,15,15,15,40,40,8,125,風10,混亂衝擊波Lv3,2023-01-18,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8984.html),/img/專屬寵物/吉兆癸兔.gif,
露比,人形系,12,18,12,39,39,7,120,水5火5,,2026-02-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_16554.html),/img/專屬寵物/露比.gif,
魅影露比,人形系,17,6,10,42,50,9,125,水5火5,,2023-09-13,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10264.html),/img/專屬寵物/露比.gif,
新生露比,人形系,25,25,25,25,25,8,125,水5火5,,2022-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html),/img/專屬寵物/新生露比.gif,
見習戰斧露比,人形系,40,40,15,24,6,8,125,水5火5,,2022-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html),/img/專屬寵物/見習戰斧露比.gif,
見習弓箭手露比,人形系,24,40,15,40,6,8,125,水5火5,,2022-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html),/img/專屬寵物/見習弓箭手露比.gif,
見習格鬥家露比,人形系,22,40,17,40,6,8,125,水5火5,,2022-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html),/img/專屬寵物/新生露比.gif,
見習劍士露比,人形系,32,42,13,32,6,8,125,水5火5,,2022-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html),/img/專屬寵物/見習劍士露比.gif,
見習巫師露比,人形系,36,6,15,26,42,8,125,水5火5,,2022-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html),/img/專屬寵物/見習巫師露比.gif,
見習騎士露比,人形系,40,40,25,14,6,8,125,水5火5,,2022-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html),/img/專屬寵物/見習騎士露比.gif,
戰斧大師露比,人形系,43,52,11,13,6,9,125,水5火5,潛龍殺Lv6：犧牲一定速度後，提升傷害對單體目標造成強力一擊；傷害約為普攻的130%，並提升20點必殺值,2022-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html),/img/專屬寵物/戰斧大師露比.gif,
弓術大師露比,人形系,47,46,11,15,6,9,125,水5火5,亂射Lv5,2022-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html),/img/專屬寵物/弓術大師露比.gif,
格鬥大師露比,人形系,12,46,11,50,6,9,125,水5火5,氣功彈I,2022-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html),/img/專屬寵物/格鬥大師露比.gif,
劍術大師露比,人形系,14,52,11,42,6,9,125,水5火5,迅雷衝擊,2022-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html),/img/專屬寵物/劍術大師露比.gif,
巫術大師露比,人形系,46,6,11,12,50,9,125,水5火5,潔淨魔法Lv3,2022-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html),/img/專屬寵物/巫術大師露比.gif,
槍術大師露比,人形系,36,52,11,20,6,9,125,水5火5,魔刃斬,2022-12-31,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8914.html),/img/專屬寵物/槍術大師露比.gif,
山吹,人形系,13,23,25,22,37,7,120,水5火5,,2022-12-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8824.html),/img/專屬寵物/咒殺型小櫻.gif,
咒殺型山吹,人形系,15,6,11,47,46,9,125,水5火5,強力昏睡魔法LV3,2022-12-12,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8824.html),/img/專屬寵物/咒殺型小櫻.gif,[刀客就職任務](/任務攻略/專屬任務/刀客就職任務) 與任一紅水晶對話即可抵達隱密的據點，不需先取得傳送石符咒
暗影鳥人,人形系,15,8,16,44,42,8,125,地5風5,,2022-08-18,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8203.html),/img/專屬寵物/暗影鳥人.gif,
綠帽哥布林,人形系,29,41,23,21,11,8,125,地8水2,,2022-11-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8684.html),/img/專屬寵物/綠帽哥布林.gif,
寒冰牛頭怪,人形系,26,31,24,21,18,7,120,水9火1,,2022-08-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8033.html),/img/專屬寵物/寒冰牛頭怪.gif,
寒冰牛魔王,人形系,15,47,12,45,6,9,125,水9火1,,2022-08-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_8033.html),/img/專屬寵物/寒冰牛頭怪.gif,
魔化佛利波羅,人形系,37,43,21,18,6,9,125,地9水1,嗜血攻擊 將給予對象損傷的80%，轉換為自己的生命值，最大轉換值500,2022-05-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7473.html),/img/專屬寵物/魔化佛利波羅.gif,
狂魔阿卡斯,人形系,19,6,33,20,47,8,125,火10,強力石化魔法Lv3,2022-05-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7583.html),/img/專屬寵物/狂魔阿卡斯.gif,
邪神巴洛斯,人形系,43,27,32,15,8,8,125,地10,強力混亂魔法Lv3,2022-05-19,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7643.html),/img/專屬寵物/邪神巴洛斯.gif,
軍王李貝留斯,人形系,14,8,13,43,47,8,125,地5風5,吸血魔法Lv6,2022-05-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7703.html),/img/專屬寵物/軍王李貝留斯.gif,
佛利波羅,人形系,26,30,30,22,12,8,120,地5水5,,2022-05-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7473.html),/img/專屬寵物/虛弱的寒冰詛咒者.gif,
阿卡斯,人形系,25,17,34,17,32,8,125,水2火8,,2022-05-11,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7583.html),/img/專屬寵物/虛弱的火焰詛咒者.png,
巴洛斯,人形系,33,19,34,23,16,8,125,地8水2,,2022-05-19,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7643.html),/img/專屬寵物/虛弱的大地詛咒者.gif,
李貝留斯,人形系,17,18,27,23,40,8,125,地5風5,,2022-05-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7703.html),/img/專屬寵物/虛弱的雷霆詛咒者.gif,
梅茲,人形系,25,29,14,32,20,7,120,火5風5,,2022-04-02,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7283.html),/img/專屬寵物/梅茲.gif,
忍王梅茲,人形系,24,45,4,46,6,9,125,火5風5,,2022-04-02,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7283.html),/img/專屬寵物/梅茲.gif,
斧頭幫千軍,人形系,31,49,20,19,6,8,125,水2火8,,2022-03-10,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7163.html),/img/專屬寵物/斧頭幫千軍.gif,
斧頭幫萬馬,人形系,38,8,19,18,42,8,125,地5水5,,2022-03-10,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7163.html),/img/專屬寵物/斧頭幫萬馬.gif,
火焰牛頭怪,人形系,16,30,20,32,22,7,120,火6風4,,2022-03-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7123.html),/img/專屬寵物/火焰牛頭怪.gif,
煉獄牛頭怪,人形系,41,6,16,19,43,9,125,火6風4,,2022-03-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7123.html),/img/專屬寵物/火焰牛頭怪.gif,
艾兒卡絲,人形系,42,6,20,17,40,9,125,地6水4,,2022-03-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_7123.html),/img/專屬寵物/艾兒卡絲.gif,
毆茲那克,人形系,28,36,19,19,18,7,120,火10,,2022-01-28,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6963.html),/img/專屬寵物/毆茲那克.gif,
熊霸毆茲那克,人形系,50,37,12,20,6,9,125,火10,,2022-01-28,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6963.html),/img/專屬寵物/毆茲那克.gif,
歐茲尼克,人形系,21,36,13,28,22,7,120,水5火5,,2022-01-28,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6963.html),/img/專屬寵物/歐茲尼克.gif,
煞氣歐茲尼克,人形系,14,50,12,43,6,9,125,水5火5,氣功彈I,2022-01-28,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6963.html),/img/專屬寵物/歐茲尼克.gif,
愛絲精靈,人形系,52,30,17,18,8,8,125,地10,,2021-12-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6533.html),/img/專屬寵物/愛絲精靈.png,
絲諾精靈,人形系,30,52,17,18,8,8,125,水10,,2021-12-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6533.html),/img/專屬寵物/愛絲精靈.png,
雪兒精靈,人形系,14,8,14,42,47,8,125,風10,,2021-12-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6533.html),/img/專屬寵物/愛絲精靈.png,
聖誕精靈,人形系,14,42,14,47,8,8,125,火10,,2021-12-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6533.html),/img/專屬寵物/愛絲精靈.png,
牛鬼,人形系,24,29,24,29,14,7,120,地8水2,,2021-10-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6203.html),/img/專屬寵物/牛鬼.gif,
強襲牛鬼,人形系,28,50,21,20,6,8,125,地8水2,,2021-10-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6203.html),/img/專屬寵物/牛鬼.gif,
屠龍鬥士,人形系,51,24,30,13,6,8,124,地8水2,,2021-09-30,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_6143.html),/img/專屬寵物/屠龍鬥士.gif,
皎月之靈,人形系,20,8,13,34,50,9,125,地5水5,,2023-09-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html),/img/專屬寵物/皎月之靈.gif,
暗月之靈,人形系,29,50,12,26,8,9,125,火5風5,,2023-09-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html),/img/專屬寵物/暗月之靈.gif,
月宮之靈,人形系,22,9,43,9,41,8,124,地8風2,,2023-09-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html),/img/專屬寵物/月宮之靈.gif,
水月之靈,人形系,41,9,22,9,43,8,124,水8地2,,2023-09-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html),/img/專屬寵物/水月之靈.gif,
猩紅之靈,人形系,22,43,9,41,9,8,124,火8水2,,2023-09-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html),/img/專屬寵物/猩紅之靈.gif,
風月之靈,人形系,9,41,22,43,9,8,124,風8火2,,2023-09-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_10334.html),/img/專屬寵物/風月之靈.gif,
迷幻歌妖,人形系,16,21,8,41,36,8,122,地1水9,,,,/img/專屬寵物/迷幻歌妖.gif,
改造烈風哥布林,人形系,26,49,22,22,8,9,127,地5風5,,,,/img/專屬寵物/改造烈風哥布林.gif,
魔豬,野獸系,22,43,17,25,13,9,125,風4地6,諸刃LV11,2025-03-03,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14824.html),/img/專屬寵物/魔豬.gif,
情人節鼠王,野獸系,37,40,11,31,6,9,125,風10,乾坤一擲LV11、氣功彈I、裂空斬LV10,2025-02-06,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14704.html),/img/專屬寵物/情人節鼠王.gif,
吉利豬,野獸系,25,6,22,26,46,9,125,火10,氣絕回復LV1、強力補血魔法LV6、混亂衝擊波LV10,2025-02-06,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14704.html),/img/專屬寵物/吉利豬.gif,
雨傘節,野獸系,24,48,15,23,13,8,123,地8水2,石化攻擊LV11、毒性攻擊LV11,2025-01-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14624.html),/img/專屬寵物/雨傘節.gif,
醒獅年獸,野獸系,26,40,15,24,15,8,120,火7風3,潛龍殺LV3,2025-01-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14624.html),/img/專屬寵物/醒獅年獸.gif,
聖誕北極熊,野獸系,39,41,15,22,8,9,125,水10,乾坤一擲LV11、連擊LV12,2024-12-19,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14434.html),/img/專屬寵物/聖誕北極熊.gif,
聖誕豬王,野獸系,30,49,13,27,6,9,125,火10,連擊LV11、乾坤一擲LV11,2024-12-09,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14364.html),/img/專屬寵物/聖誕豬王.gif,
紅凱,野獸系,27,44,13,35,6,9,125,火10,裂空斬LV10、戰慄襲心LV11,2024-12-05,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14344.html),/img/專屬寵物/紅凱.gif,
火達雞,野獸系,25,10,19,29,42,9,125,水3火7,混亂衝擊波Lv5,2024-11-22,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14254.html),/img/專屬寵物/火達雞.gif,
沐火碧睛獸,野獸系,42,42,18,16,7,9,125,水1火9,氣功彈I、乾坤一擲Lv11,2024-11-08,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14164.html),/img/專屬寵物/沐火碧睛獸.gif,
戰鬥貓熊,野獸系,42,42,18,17,6,9,125,水10,氣絕回復Lv1、乾坤一擲Lv11,2024-09-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14004.html),/img/專屬寵物/戰鬥貓熊.gif,
戰鬥火焰鼠,野獸系,24,7,15,30,49,9,125,火10,超強中毒魔法Lv5,2024-09-26,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_14004.html),/img/專屬寵物/戰鬥火焰鼠.gif,
赤炎黑熊,野獸系,37,40,19,23,6,9,125,火1風9,潛龍殺Lv10、諸刃Lv11,2024-08-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13884.html),/img/專屬寵物/赤炎黑熊.gif,
速遞企鵝,野獸系,27,35,27,17,19,9,125,地3水7,潛龍殺Lv4,2024-08-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13884.html),/img/專屬寵物/速遞企鵝.gif,
碧魯猴,野獸系,37,34,16,19,17,7,123,地9水1,Lv1點於泰蘭島220.131附近,2024-08-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13884.html),/img/專屬寵物/碧魯猴.gif,
巴拿猴,野獸系,21,33,19,35,14,7,122,風9地1,Lv1點於泰蘭島200.320附近,2024-08-29,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13884.html),/img/專屬寵物/巴拿猴.gif,
七夕水藍鼠,野獸系,27,47,22,21,8,9,125,水10,氣功彈I、連擊Lv10,2024-08-08,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13754.html),/img/專屬寵物/七夕水藍鼠.gif,
赤焰獨角獸,野獸系,33,7,22,20,43,9,125,水1火9,混亂衝擊波Lv10,2024-06-19,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13394.html),/img/專屬寵物/赤焰獨角獸.gif,
紫泉蛙,野獸系,37,33,23,19,13,9,125,地2水8,,2024-06-19,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13394.html),/img/專屬寵物/紫泉蛙.gif,
改造貓妖,野獸系,20,10,14,37,44,9,125,水7火3,混亂衝擊波Lv10,2024-05-23,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13104.html),/img/專屬寵物/改造貓妖.gif,
改造赤熊,野獸系,42,39,14,20,10,9,125,火8風2,諸刃LV11,2024-05-23,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13104.html),/img/專屬寵物/改造赤熊.gif,
拉布拉多犬,野獸系,33,43,12,25,12,8,125,火2風8,石化攻擊Lv11,2024-05-16,[公告](https://cg.originmood.com/NewsContent/zh_TW/mlbb_news_13014.html),/img/專屬寵物/拉布拉多犬.png,
